"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.119200168797126,0.0309156775476531,0.0592044150468501,0.071619173621877,0.0806078168162137,0.0174714876790639,0.0904847694884051,0.106708518767159,0,0.125419240425366,0,0.203227101777619,0.0240187989002406,0,0.119126277804821,0.0698668964448264
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0,0.0445185756686204,0,0,0.0412767613696819,0.0792766616661715,0,0.052814354688553,0.0192502461836066,0.0526578602657591,0,0,0.0281470299612194,0,0.0415693154666062,0.0239673870180146
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.255531430359426,0.307436830504608,0.0916205260251874,0,0,0.103257225760226,0,0,0.0240026507101845,0.0447925858662023,0.0438193814674797,0.252540508660274,0,0.262496395749189,0.11640153300461,0.100126604540492
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.216939434547688,0,0.0405973131749829,0,0,0.152613947470131,0,0,0.44121963416773,0.137630125928549,0.118677491474424,0.127709317930169,0.105459273715203,0,0,0.0893897692272585
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0363738595185126,0.115213705146533,0.107276536453989,0.0652814488917053,0,0.0131599148603046,0.0151435177819241,0.0386170979344852,0.0649917926921918,0,0,0,0,0,0.0277128769777375,0.0322513833504922
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0.0342953532603119,0.0504956066611667,0.348016641499539,0.0435525076714955,0.0928909127120177,0,0,0,0.135075234366943,0.232363590123501,0,0.0842781262656404,0.196426465248558,0.190259049649231,0,0.0938435658305603
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0320089963762911,0.0890371513372409,0.328208602462101,0,0.0893136742805574,0.0567313976750947,0.0316028595174606,0.105721956361182,0.169161538338443,0.300731695537232,0.0454070402163014,0.558419368041809,0,0.0313612146312872,0.201880603018539,0.135972406519569
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0.083799671846815,0.097766049015835,0.0852776373987324,0.0441759624658857,0.238088691933313,0.130288389630068,0.0571275214971991,0.29244867056323,0.114760902044896,0,0.0936089241372964,0.0415061166086689,0,0.198364752085591,0.0984808859485021
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.11558804246994,0.0366106707801155,0.26348372035427,0,0,0.207523145208246,0.0537459671278111,0.115375131639217,0.0962963486825258,0.196420499120937,0,0.164484252412678,0,0.0275862536108545,0.0811892882214678,0.0905535546418708
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.0320089963762911,0.0908315376316789,0,0,0.0805406436355335,0,0,0,0,0,0.350638610376802,0.0819078086201344,0.131704248392525,0,0,0.051175456335531
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0.037343829105673,0.113063049317131,0.109774852899368,0.0123178809575947,0,0.111619087213186,0.0449500183457339,0,0.173743862564933,0.102383053408462,0.09889790956202,0.33746602559212,0.0286587941423325,0,0.0498437831077573,0.0813374764144208
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0.12875616359329,0,0,0,0,0.36583024092586,0,0.0845171389326468,0.199726917494429,0.065525154181416,0.197100273386461,0.0986561277513491,0.1187417492801,0.0312644207589684,0.052773545025965,0.0895261154220323
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.329209033175702,0.119587285024582,0.297182928422398,0,0.124263069291944,0.153889067612943,0,0,0.0810756201766232,0.268282729781159,0.0706413639728714,0.0526550198272292,0.243197718534392,0,0.104977927832677,0.122997450910168
