"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0,0,0,1,0.113641339765914,0,0,0,0,0,0,0,0,0,0,0.0742427559843943
"m__C00042_Succinate",0,0,0,0,0,0,0.0256993505990948,0,0,0,0,0,0,0,0,0.00171329003993966
"m__C00055_CMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540765124426796,0,0.00360510082951197
"m__C00065_Ser",0,0,0,0.0680011058487044,0,0,0,0,0,0,0,0,0,0,0,0.00453340705658029
"m__C00073_Met",0,0,0,0.0451872108846731,0,0,0,0,0,0,0,0,0,0,0,0.00301248072564487
"m__C00077_Ornithine",0,0,0,0.0734475427507788,0,0,0,0,0,0,0,0,0,0.167954291055575,0,0.0160934555870902
"m__C00092_G6P",0,0,0,0,0,0,0,0,0,0,0,0.0595376278666719,0,0,0,0.00396917519111146
"m__C00122_Fumarate",0,0,0,0.0247377533637576,0,0,0,0,0,0,0,0,0,0,0,0.00164918355758384
"m__C00147_Adenine",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452362235140816,0,0.00301574823427211
"m__C00148_Pro",0,0,0,0.0673968867234193,0,0,0,0,0,0,0,0,0,0,0,0.00449312578156129
"m__C00152_Asn",0,0,0,0.0166540954251488,0,0,0,0,0,0,0,0,0,0,0,0.00111027302834325
"m__C00153_Nicotinamide",0,0,0,0.000163739106554053,0,0,0,0,0,0,0,0,0,0,0,1.09159404369369e-05
"m__C00179_Agmatine",0,0,0,0.0457670442709174,0,0,0,0,0,0,0,0,0,0,0,0.00305113628472783
"m__C00186_Lactate",0,0,0,0.034655667056506,0,0,0,0,0,0,0,0,0,0,0,0.00231037780376706
"m__C00188_Thr",0,0,0,0.0767921996149334,0,0,0,0,0,0,0,0,0,0,0,0.0051194799743289
"m__C00212_Adenosine",0,0,0,0,0,0,0,0,0,0,0,0,0,0.102265126188371,0,0.00681767507922477
"m__C00214_Thymidine",0,0,0,0.0306202820251614,0,0,0,0,0,0,0,0,0,0,0,0.00204135213501076
"m__C00250_Pyridoxal",0,0,0,0.0111322127360675,0,0,0,0,0,0,0,0,0,0,0,0.00074214751573783
"m__C00294_Inosine",0,0,0,0.0446894395996528,0,0,0,0,0,0,0,0,0,0,0,0.00297929597331019
"m__C00318_Carnitine",0,0,0,0.05452703695923,0.105426627916033,0,0,0,0,0,0,0,0,0,0,0.0106635776583509
"m__C00357_N-Acetylglucosamine 6-phosphate",0,0,0,0.0876686499960977,0.107179447249361,0,0,0,0,0,0,0,0,0,0,0.0129898731496972
"m__C00386_Carnosine",0,0,0,0.0531744518141611,0,0,0,0,0,0,0,0,0,0,0,0.00354496345427741
"m__C00388_Histamine",0,0,0,0.0253203374349591,0,0,0,0,0,0,0,0,0,0.173598704352753,0,0.0132612694525141
"m__C00429_Dihydrouracil",0,0,0,0.00117349354887358,0,0,0,0,0,0,0,0,0,0,0,7.82329032582389e-05
"m__C00430_5-Aminolevulinate",0,0,0,0.104077109254566,0,0,0,0,0,0,0,0,0,0,0,0.00693847395030439
"m__C00431_5-Aminovalerate",0,0,0,0,0.0740660852532413,0,0,0,0,0,0,0,0,0,0,0.00493773901688275
"m__C00438_Carbamoylaspartate",0,0,0,0.0517709239836843,0.412243882722383,0,0,0.177601028400123,0,0,0,0,0,0,0,0.0427743890070793
"m__C00449_Saccharopine",0,0,0,0.0569319498145965,0,0,0,0,0,0,0,0,0,0,0,0.0037954633209731
"m__C00493_Shikimate",0,0,0,0.0337779234866538,0,0,0,0,0,0,0,0,0,0,0,0.00225186156577692
"m__C00534_Pyridoxamine",0,0,0,0.0306086502953722,0,0,0,0,0,0,0,0,0,0,0,0.00204057668635815
"m__C00588_Phosphorylcholine",0,0,0,0.00114716582625295,0,0,0,0,0,0,0,0,0,0,0,7.64777217501965e-05
"m__C00612_N1-Acetylspermidine",0,0,0,0.00545360014415056,0,0,0,0,0,0,0,0,0,0,0,0.000363573342943371
"m__C00624_N-Acetylglutamate",0,0,0,0.0631871431077957,0,0,0,0,0,0,0,0,0,0,0,0.00421247620718638
"m__C00630_Isobutyryl CoA",0,0,0,0.0440978222790518,0,0,0,0,0,0,0,0,0,0,0,0.00293985481860345
"m__C00637_Indole-3-acetaldehyde",0,0,0,0.00413165992174265,0,0,0,0,0,0,0,0,0,0,0,0.000275443994782843
"m__C00719_Betaine",0,0,0,0.00333463336817045,0,0,0,0,0,0,0,0,0,0,0,0.000222308891211363
"m__C00785_Urocanate",0,0,0,0.00937980636351527,0,0,0,0,0,0,0,0,0,0,0,0.000625320424234351
"m__C00803_Valerate",0,0,0,0.00923051752193653,0,0,0,0,0,0,0,0,0,0,0,0.000615367834795769
