"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0,1,0,1,0,0.618156499565422,0.819432298708348,0,0.487131391924902,0,1,1,1,0,NA,0.494622870728477
"m___Diazoxide",0,0.0285552998022647,0,0,0,0,0.0677210869869266,0,0,0,0.0147097733090775,0,0,0,NA,0.00792758286416206
"m__2-Hydroxyoctanoate",0,0,0,0.0325781668202933,0,0,0,0,0,0,0.0338680142978552,0,0,0,NA,0.00474615579415347
"m__2-Hydroxypentanoate",0,0,0,0.00979246036823401,0,0,0.0570834235644076,0,0,0,0,0,0,0,NA,0.00477684885233154
"m__C00003_NAD+",0,0,0,0.00929732767917527,0,0.139127181170124,0.0994617972899799,0,0,0,0.00349381132517891,0,0,0,NA,0.0179557226760328
"m__C00008_ADP",0,0,0,0,0,0,0.0524876724002165,0,0,0,0.0353379678982255,0,0,0,NA,0.00627326002131729
"m__C00019_SAM+",0,0.0410286123807655,0,0,0,0,0,0,0,0,0.0128449907220579,0,0,0,NA,0.00384811450734453
"m__C00020_AMP",0,0,0,0,0,0,0.05383650923169,0,0,0,0.030176843062141,0,0,0,NA,0.00600095373527364
"m__C00024_Acetyl CoA",0,0.0370741092118754,0,0,0,0,0.0469227739060546,0,0,0,0.064894666914849,0,0,0,NA,0.0106351107166271
"m__C00025_Glu",0,0.158624798260796,0,0.0171667987507932,0,0,0,0,0,0,0.0604102258076787,0,0,0,NA,0.0168715587728048
"m__C00029_UDP-glucose",0,0,0,0,0,0,0.0729813315691434,0,0,0,0,0,0,0,NA,0.00521295225493882
"m__C00037_Gly",0,0.0249547788312453,0,0,0,0,0,0,0,0,0.0562959287891529,0,0,0,NA,0.00580362197288558
"m__C00041_Ala",0,0,0,0,0,0,0.0133911155305557,0,0,0,0.0406980867592169,0,0,0,NA,0.00386351444926947
"m__C00042_Succinate",0,0.0715002248841035,0.239971558353085,0,0,0,0.132266157887864,0,0,0,0,0.157876269307366,0.995797668027495,0,NA,0.114100848461422
"m__C00043_UDP-N-acetylglucosamine",0,0.0983899518879736,0,0.00797663873533475,0,0,0.0465217627932863,0,0,0,0.0389794782297205,0,0,0,NA,0.0137048451175939
"m__C00047_Lys",0,0.251442828051207,0,0.011415071429877,0,0,0.0865818538296288,0,0,0,0.00854074829214361,0,0,0,NA,0.0255700358287754
"m__C00049_Asp",0,0.0976106913451627,0,0.00947831856471774,0,0,0.0943054908324892,0,0,0,0.0210886981269968,0,0,0,NA,0.0158916570620976
"m__C00055_CMP",0,0,0,0,0,0,0.111004353090121,0,0,0,0.0370869918447437,0,0.282767966678789,0,NA,0.0307756651152609
"m__C00062_Arg",0,0,0,0,0,0,0,0,0,0.468273223704092,0.0765449953668511,0,0,0,NA,0.038915587076496
"m__C00064_Gln",0,0.152605341695895,0,0.0109697836344503,0,0,0.235330327806045,0,0,0,0.199962142994595,0,0,0,NA,0.042776256866499
"m__C00065_Ser",0,0.599239622422904,0,0.0728477228870674,0,0,1,0,0,0,0.0826495776515839,0,0,0,NA,0.125338351640111
"m__C00073_Met",0,0,0,0.0097148778080389,0,0,0.0284783944593781,0,0,0,0.0424337305098741,0,0,0,NA,0.00575907162694936
"m__C00077_Ornithine",0,0.0574866072098993,0,0.0096400223389727,0,0,0.197757889828682,0,0,0,0.0276560238655254,0,0,0,NA,0.0208957530887914
"m__C00078_Trp",0,0.0661403507520844,0,0,0,0,0.138908846802806,0,0,0,0.0295788178496686,0,0,0,NA,0.0167591439574685
"m__C00079_Phe",0,0.0329881011727616,0,0.0107358641696456,0,0,0.0405898895585105,0,0,0,0,0,0,0,NA,0.00602241820720841
"m__C00082_Tyr",0,0.0709935749676181,0,0,0,0,0.0440757985088478,0,0,0,0.0270320172453366,0,0,0,NA,0.0101500993372716
"m__C00085_F6P",0,0,0,0,0,0,0.00154724848874303,0,0,0,0.184399411849286,0,0,0,NA,0.0132819043098592
"m__C00086_Urea",0,0.0298299262056301,0,0,0,0,0,0,0.27718021003225,0,0.024002052485387,0,0,0,NA,0.0236437277659477
"m__C00092_G6P",0,0.0558459778381142,0,0,0,0,0.130769448891808,0,0,0,0.0520682397320528,0,0,0,NA,0.0170488333187125
"m__C00093_Glycerophosphate",0,0,0,0,0,0,0.0836839310919161,0,0,0,0.0441054975720713,0,0,0,NA,0.00912781633314195
"m__C00099_beta-Ala",0,0.197796475565656,0,0.0102806912808809,0,0,0.011377776871823,0,0,0.829400990705075,0.0851591676185546,0,0,0,NA,0.081001078717285
"m__C00103_G1P",0,0,0,0,0,0,0,0,0,0,0.0205113928108952,0,0,0,NA,0.00146509948649251
"m__C00105_UMP",0,0.102527687255972,0,0.0123732579909809,0,0,0.0816537823756326,0,0,0,0.156186163743236,0,0,0,NA,0.0251957779547015
"m__C00114_Choline",0,0,0,0,0,0.287297262096392,0,0,0,0,0.0825267299870869,0,0,0,NA,0.0264159994345342
"m__C00120_Biotin",0,0,0,0,0,0,0,0,0,0,0.000621009283807388,0,0,0,NA,4.4357805986242e-05
"m__C00122_Fumarate",0,0,0,0.00955751273621734,0,0,0.102795570594404,0,0,0,0.101112274873083,0,0,0,NA,0.0152475255859789
"m__C00123_Leu",0,0,0,0,0,0,0.122725411687475,0,0,0,0.025444728168329,0,0,0,NA,0.0105835814182718
"m__C00134_Putrescine",0,0,0,0,0,0,0.030617816958975,0,0,0,0.0664274217205711,0,0,0,NA,0.00693180276282472
"m__C00135_His",0,0.156085812267036,0,0,0,0,0.172269520235744,0,0,0,0.074722560938005,0,0,0,NA,0.0287912781029132
"m__C00140_N-Acetylglucosamine",0,0,0,0,0,0,0.0448071789692742,0,0,0,0.0428409235090969,0,0,0,NA,0.00626057874845508
"m__C00147_Adenine",0,0.0280644486127868,0,0,0,0,0.117318501665667,0,0,0,0.139633524521705,0,0,0,NA,0.0203583196285828
"m__C00148_Pro",0,0,0,0.0218495291973376,0,0,0.189304558416691,0,0,0,0.121633570754001,0,0,0,NA,0.0237705470262878
"m__C00152_Asn",0,0.093995210610402,0,0.00951073276008387,0,0,0.087214110451446,0,0,0,0.00211699820082188,0,0,0,NA,0.0137740751444824
"m__C00153_Nicotinamide",0,0.0611031681098653,0,0,0,0,0.0283757934027613,0,0,0,0.0866588708606892,0,0,0,NA,0.0125812737409511
"m__C00156_p-Hydroxybenzoate",0,0,0,0.010901882982168,0,0,0,0,0,0,0,0,0,0,NA,0.000778705927297714
"m__C00163_Propionate",0,0,0,0,0,0,0.120772686783033,0,0,0,0.237678381407302,0,0,0,NA,0.0256036477278811
"m__C00170_5-Methylthioadenosine",0,0,0,0,0,0,0,0,0,0,0.122673808205146,0,0,0,NA,0.00876241487179613
"m__C00178_Thymine",0,0,0,0,0,0,0,0,0,0,0.0080105681390733,0,0,0,NA,0.000572183438505236
"m__C00179_Agmatine",0,0.0481642885973231,0,0,0,0,0.0956717305724676,0,0.355167634664915,0,0.0106365805002179,0,0,0,NA,0.036402873881066
"m__C00183_Val",0,0,0,0,0,0,0.0969210903775295,0,0,0,0,0,0,0,NA,0.00692293502696639
"m__C00186_Lactate",0,0.111373065738729,0,0.0345461637286109,0,0,0.265455935516115,0,0,0,0.0526259275893558,0,0,0,NA,0.0331429351837721
"m__C00188_Thr",0,0.064496171516979,0,0.0202296076905602,0,0,0.0713613768484924,0,0,0,0.0034556916485238,0,0,0,NA,0.0113959176931825
"m__C00191_Glucuronate",0,0.0331298833429968,0,0.0829348592422767,0,0,0.0188559063058016,0,0,0,0.113411790805414,0,0,0,NA,0.0177380314068921
"m__C00197_3PG",0,0.0371475578240749,0,0,0,0,0,0,0,0,0.0762224312978156,0,0,0,NA,0.00809785636584933
"m__C00212_Adenosine",0,0.0309119161560247,0,0.00932414489128193,0,0,0,0,0,0,0.00581426788398488,0,0,0,NA,0.00328930920937796
"m__C00213_Sarcosine",0,0.0311958868693272,0.22298366716026,0,0,0,0.0884846278877223,0,0,0,0.0521013613772463,0,0,0,NA,0.028197538806754
"m__C00214_Thymidine",0,0.035455867050498,0,0.00930574069818755,0,0,0.160532635461145,0,0,0.70456176494082,0.0603083163707095,0,0,0,NA,0.0692974517515257
"m__C00242_Guanine",0,0.246619145829686,0,0.0230310140927453,0,0,0.04051395418098,0,0,0,0.0560804332414696,0,0,0,NA,0.0261603248103486
"m__C00245_Taurine",0,0.234293558951809,0.217667431078512,0,0,0,0.0694474899884713,0,0,0,0.0467031855087282,0,0,0,NA,0.0405794046805372
"m__C00246_Butyrate",0,0.0450737209606499,0,0.0191310208166324,0,0,0.0276504591811438,0,0,0,0.0255069821980645,0,0,0,NA,0.00838301308260647
"m__C00250_Pyridoxal",0,0,0,0,0,0,0.00638630400266727,0,0,0,0,0,0,0,NA,0.000456164571619091
"m__C00255_Riboflavin",0,0.178613601457044,0,0,0,0,0.145308878878986,0,0,0,0,0,0,0,NA,0.0231373200240022
