"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.0605658946603981,0.0947472692640974,0.0507651525858601,0.0305908713884391,0,0,0.0610604423453252,0.0598418453537354,0.0567702300625458,0.0513447722410736,0,0.0914081639565526,0.0353405604077648,0.0355238541803351,0.106750064808227,0.0489806080836236
"m___Diazoxide",0,0,0,0.00387939761764544,0,0,0,0,0.0435437875401553,0.0338083603679516,0,0.026700647358652,0,0.0089626092727945,0.0119785060256532,0.0085915538788568
"m__2-Hydroxyisobutyrate",0,0,0,0.015348213918854,0,0,0,0.00926979744728562,0.0353504983903928,0.0200005304894685,0,0.0145645843792453,0,0.0135622955634861,0,0.00720639467924882
"m__2-Hydroxyoctanoate",0.0300832226826964,0,0,0.0180335763314549,0,0,0,0,0.0348976252010115,0.0297340754171124,0.00570659204930297,0.0334984329137187,0.0325053017001351,0.0227821768684456,0,0.0138160668775918
"m__2-Hydroxypentanoate",0,0,0.0374353832624642,0.00233869428262014,0,0,0,0.0052205250299391,0.00733271105037328,0.0158846935308124,0,0.00979328913306911,0,0.00333683073457712,0,0.00542280846825702
"m__2-Oxooctanoate",0,0,0,0,0,0,0,0,0.116306217535817,0.119753567535433,0,0.162943518221126,0,0.107099149776338,0,0.0337401635379142
"m__3-Indoxyl sulfate",0,0,0,0.00374691798177357,0,0,0,0,0.0040934043677654,0.0155775905500685,0,0.00954304405619018,0.0134606595276431,0.0303152667384372,0,0.00511579221479186
"m__4-Oxohexanoate",0,0.0261017902293257,0.449718171918683,0.0622489424121963,0,0,0,0,0.0407213298453946,0.0387875584603719,0,0.261312797954684,0.088266133995114,0.103479183849852,0.254738109963633,0.088358267908617
"m__4-Oxopentanoate",0,0,0,0.0153354165462577,0,0,0,0,0.0369545853027713,0.0300332237230189,0,0.0257868030177004,0,0.0376921672676082,0.0290816243685983,0.011658921348397
"m__C00002_ATP",0,0.0527643216970845,0,0.066886658701014,0,0,0,0,0.097604374495673,0.0930329364294854,0,0.109802016795582,0.0129610822087589,0.081804715843678,0,0.0343237404114184
"m__C00003_NAD+",0,0.00199031771051168,0,0.0158632086999845,0,0,0,0,0.0141716329882481,0.0241507198674433,0,0.00873430386262383,0.0291002304461508,0.0182539078452833,0,0.00748428809468304
"m__C00006_NADP+",0,0.0142144735792167,0,0.00277859036830286,0,0,0,0,0.0118096725489363,0.0185279084393617,0,0.0330310430175711,0,0.013066906245631,0,0.00622857294660131
"m__C00008_ADP",0,0.00518142086685893,0.0635091371331958,0.0260849062382658,0,0,0,0,0.00999164299054351,0.00511310311150603,0,0.0174244376717097,0.00902133997571893,0.0184859734542749,0,0.0103207974294716
"m__C00015_UDP",0,0,0.0774030824031137,0.0289408974458253,0,0,0,0,0.0151593159084037,0.014096856689176,0,0.00424595893685354,0.021623882622118,0.0121946980678366,0,0.0115776461382218
"m__C00016_FAD",0,0,0,0.00182489446485773,0,0,0,0,0.0216054880408145,0.00966354318320014,0,0.00478930932711176,0,0.0125469054908105,0.060465304806434,0.00739302968754858
"m__C00019_SAM+",0,0,0,0.0268392707183988,0,0,0,0,0.0532486337475406,0.0581035504476628,0,0.00659659934659473,0,0.0564502023019885,0,0.0134158837708124
"m__C00020_AMP",0,0.0279591811465534,0.0685959501176437,0.0434342234637854,0,0,0.0604483033581213,0.04771455896996,0.0678924710454612,0.0747859603255371,0.00515805362550487,0.0648901397699982,0.00561232079366283,0.0547090755083701,0.0381854827550727,0.0372923813919781
"m__C00021_SAH",0,0.118283123830258,0.233341649395535,0.0128530843159019,0,0,0,0,0.0305018970292688,0.0405622231715697,0,0.000859656805351354,0,0.0136472509218076,0,0.0300032590313128
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00024_Acetyl CoA",0,0,0,0.016360395931932,0,0,0,0,0.00268989863867264,0.00211256535872181,0,0.0201936542218736,0,0.00947652083403256,0,0.00338886899901551
"m__C00025_Glu",0,0,0,0.00569555536981147,0,0,0,0,0.00375439760316176,0.0240117482738924,0,0.0430401719962315,0,0.0155373375119448,0,0.00613594738366946
"m__C00026_2-Oxoglutarate",0,0,0,0.0440353702406571,0,0,0,0,0.0576541111160197,0.0610307447313211,0,0.0480266601461722,0,0.0633554900903504,0,0.018273491754968
"m__C00029_UDP-glucose",0,0,0,0.0157031064737078,0,0,0,0,0.00365077748274764,0.0171469732196072,0,0.0444259424377847,0,0.0325310735479097,0.0305331181613395,0.00959939942153977
"m__C00035_GDP",0,0,0,0.0291590500983876,0,0,0,0,0.0521447371002434,0.0450257525040286,0,0,0,0,0,0.00842196931351064
"m__C00037_Gly",0,0.0194998052857086,0,0.0408062290210691,0,0,0,0,0.0179437048190968,0.039343343957645,0,0.0473662088124943,0.0214733631858344,0.0279362638263428,0,0.0142912612605461
"m__C00041_Ala",0,0,0,0.000569122117111954,0,0,0,0,0.0105558728979951,0.0318979750654069,0,0.00958089174422667,0,0.00324562799588252,0,0.00372329932137487
"m__C00042_Succinate",0,0.00404393997603617,0.0415511485509894,0.0377732227606419,0,0,0,0.0265458026014961,0.0532227179664367,0.0518984596905262,0.0725411297510283,0.0557193142008218,0.0525551856701004,0.0576208546071263,0.0139206052031998,0.0311594920652269
"m__C00043_UDP-N-acetylglucosamine",0,0,0,0.0175099753871564,0,0,0,0,0.00453972486210563,0.00855292478230929,0,0.0207585650017325,0.0162472257630282,0.0135373437071632,0,0.00540971730023301
"m__C00044_GTP",0,0.0119434803443706,0.0150227405439899,0.0284239724304799,0,0,0,0.0228655556100408,0.0317390826339872,0.0284111604440525,0,0.0319527006639587,0.00555985000983472,0.0231743765993769,0.0283025333056086,0.0151596968390467
"m__C00047_Lys",0,0,0,0.0460817606316624,0,0,0.0182743668545729,0.0401674089415483,0.0590538824292617,0.0627654453009428,0,0.0333116182689914,0,0.0740887965795321,0.10178985623991,0.0290355423497614
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0,0,0,0.0060893527330845,0,0,0,0,0.0334734597944925,0.135498742597197,0,0.102065659543293,0.0743600834079568,0.0338867821954332,0,0.0256916053514305
"m__C00051_Glutathione(red)",0,0.193782814572554,0.329971385746586,0.146193022315463,0,0,0.047893880955664,0,0.204165671517325,0.18621851206612,0.00118829245006399,0.237669396085741,0.0958832058887532,0.178359297404408,0.1802881676852,0.120107576445859
"m__C00054_Adenosine 3',5'-diphosphate",0,0,0,0.0893184323590921,0,0,0,0,0.130853316353924,0.108174097530863,0,0.155712794005397,0.0754313955549448,0.0981878231017498,0,0.0438451905937314
"m__C00055_CMP",0,0,0,0.0147839643160353,0,0,0,0,0.0148342958885781,0.00971163699360617,0,0.012023945038546,0.0113214508703858,0.0138470820028885,0,0.00510149167400266
"m__C00062_Arg",0,0,0,0.00577182530002041,0,0,0,0.0897813274299436,0.0143784076520117,0.0140725230134895,0,0.100819326340998,0,0.000358536916909957,0,0.0150121297768915
"m__C00064_Gln",0,0.0513337885061989,0.0934974175196575,0.0382924516862211,0,0,0,0,0.0761167808407865,0.0536045185699289,0,0.0672417462563277,0.0498438597235476,0.0187023369492647,0,0.0299088600034622
"m__C00065_Ser",0.295366117879612,0.428507877616458,0.614393432744849,0.179521516134928,0.597229113200915,0,0.292509261325355,0.508213263371691,0.195663735765674,0.184622999553992,0.162061091306309,0.191692767133531,0.133312143393012,0.147444748801152,0.293142498680512,0.281578704460533
"m__C00073_Met",0,0,0,0.00274528239563004,0,0,0,0,0.0102469545831311,0.0101616651866443,0,0.00118677943701332,0,0.00707955650157949,0.00518187332261168,0.002440140761774
"m__C00074_PEP",0,0,0,0.00220610044130721,0,0,0,0,0.0197084288443278,0.00979723419106645,0,0.00938355775308559,0.00313680550821084,0.00950919594132886,0,0.00358275484528845
"m__C00075_UTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00077_Ornithine",0,0,0,0.0116179949798741,0,0,0.0433953976873875,0,0.0237213031058242,0.0441427892964383,0,0.0314247572465069,0,0.0468627292344474,0,0.0134109981033652
"m__C00078_Trp",0,0,0,0.00675874502741076,0,0,0,0.0527722280900125,0.0050094942327867,0.0157739918397356,0,0.00756656445835649,0,0.00305263021564845,0,0.00606224359093004
"m__C00079_Phe",0,0,0,0.0205926680028061,0,0,0,0,0.0332815083668195,0.0435684716746568,0,0.0355224374518743,0.0139869609825783,0.0246138618231281,0,0.0114377272201242
"m__C00082_Tyr",0,0.0097901004938733,0,0.0121393056877813,0,0,0,0,0.026104809483913,0.0311819557663653,0,0.0244622826665633,0.00465554294181965,0.0142213194063506,0,0.00817035442977776
"m__C00083_Malonyl CoA",0,0,0,0.0185958657542941,0,0,0,0,0.0179046439074152,0.0192973579136197,0,0.0318382633182547,0,0.0627679940029435,0.0159131689428364,0.0110878195892909
"m__C00085_F6P",0,0,0,0.018884351330152,0,0,0,0,0.00635653761778624,0.0341254722435149,0,0.0137345533186204,0,0.00913922030795473,0,0.00548267565453522
"m__C00086_Urea",0,0,0,0.0107180697422078,0,0,0,0,0.00274202622466436,0.000250504778210323,0,0.00338063434884467,0.00927453250498439,0.0168273818862561,0,0.00287954329901118
"m__C00092_G6P",0,0.00452726953057861,0.00033369164502159,0.00112915681838529,0,0,0,0,0.00236977048883418,0.0108531537992289,0,0.00241196811711272,0,0.00438962511821192,0,0.00173430903449154
"m__C00093_Glycerophosphate",0.00219394758766471,0.0365177856783061,0.0195644630330303,0.0223960261318453,0,0,0.0100849300422407,0.00280168302039368,0.0421533088640977,0.0498204981037705,0.0527382177038029,0.0452620097842609,0.0212997429680471,0.0347511141367033,0.00921004348248206,0.0232529180357764
"m__C00097_Cys",0.792083854225624,0.158695009731208,0.570346020527122,0.285959315023535,0.488484664955161,0,0.864561766016109,0.451168977528417,0.391901757818262,0.415308709040596,1,0.406538471246767,0.234401819264045,0.350599837376255,0.339037656815328,0.449939190637895
"m__C00099_beta-Ala",0,0,0,0.0257411565103973,0,0,0,0,0.0202878933956571,0.0417957005334006,0,0.0377686330934627,0,0.0399267241856323,0,0.0110346738479033
"m__C00103_G1P",0,0,0.0652354151708782,0.00296381279433187,0,0,0,0,0.0239488512048426,0.0124585500895984,0,0.0372753384616628,0,0.0282440262296311,0,0.011341732930063
"m__C00104_IDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00105_UMP",0,0,0,0.0104359021911092,0,0,0,0,0.013005851097981,0.0116647786525627,0,0.00860041129473428,0,0.00492152029350253,0,0.00324189756865932
"m__C00106_Uracil",0,0.0265416513179987,0.021399084189338,0.0142647685908328,0,0,0,0,0.0143707466197788,0.0017467258836976,0,0.00238587010294266,0.0476446834313747,0.0436484699330222,0,0.011466800004599
"m__C00108_Anthranilate",0,0.176383320660955,0.405797563199647,0.137273478909066,0,0,0.342706142280714,0.181882768817907,0.198301883058213,0.209350519424003,0,0.217737380500533,0.0758063446889057,0.182714774435986,0.208038962064532,0.155732875869364
"m__C00109_2-Oxobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
