"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.0130885414063616,0.0737623343125613,0.0375139544333861,0.0849528791919679,0,0.00672453793228555,0.0331892335155706,0,0.0496425896317631,0.0598382996311217,0,0.070176048584746,0.00613621736918972,0.0165129112745091,0.206193979749076,0.0438487684688359
"m___Diazoxide",0,0.00769957649586818,0,0,0,0,0,0,0,0,0,0,0.0165834872397611,0,0.0138376883362828,0.00254138347146081
"m__2-Hydroxyisobutyrate",0,0,0,0.0148791748756683,0,0,0.0239343873890817,0,0,0,0,0,0.00568384132614228,0.03816317272331,0,0.00551070508761349
"m__2-Hydroxyoctanoate",0,0.00923949179504182,0,0,0,0.0235795485937286,0,0,0.0303428797981498,0,0,0.0138305623712927,0,0,0,0.00513283217054752
"m__2-Hydroxypentanoate",0.00838006337382533,0.026806981402894,0,0,0,0,0,0.0112301892716755,0.0267667546790821,0,0.00847737644258498,0,0,0,0,0.00544409101133746
"m__2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__3-Indoxyl sulfate",0.0084938198902121,0,0,0.0218811395230417,0,0,0,0,0.00768686288219795,0,0.026159640259386,0.0145393786928214,0,0.0363344204364426,0,0.00767301744560678
"m__4-Oxohexanoate",0,0,0,0,0,0,0,0,0,0,0,0.0309528232623542,0,0,0,0.00206352155082361
"m__4-Oxopentanoate",0.0333988880848722,0,0,0,0,0,0.00932596365089869,0,0,0,0,0,0,0.0220172150326788,0,0.00431613778456331
"m__C00002_ATP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00003_NAD+",0.0255080028577932,0.0640503585673236,0.00416228797411681,0.215150983250719,0.0381337732846881,0.0310737078640731,0.0322115106120293,0.0582509943458404,0.0716739022297057,0.161254927430343,0,0,0,0.0250493477306317,0.0500496115000892,0.0517712938431569
"m__C00006_NADP+",0,0,0.00791541922517989,0.00835939445464669,0,0,0.0350939177435358,0.00379126594337897,0,0,0,0.0163003056518807,0,0,0,0.00476402020124147
"m__C00008_ADP",0.0397988548230751,0,0,0.00839020138822409,0.0324099007982198,0.0172916689687343,0,0,0,0,0,0.169840683606783,0,0,0,0.0178487539723357
"m__C00015_UDP",0.0380632711433234,0.0300427919838781,0,0,0,0.022645764129099,0,0,0.0244553052755925,0.0236316688068316,0.0440086915956877,0.0163917776252357,0,0,0,0.0132826180373099
"m__C00016_FAD",0,0,0.00846540868914042,0,0,0,0,0,0,0,0,0,0.0204680924390541,0.0651005665091914,0,0.00626893784249239
"m__C00019_SAM+",0.0318590299404797,0.0414922287421563,0.03047355039884,0.0431127513237449,0.0417167066392029,0,0.0845439961179928,0,0.0721518002232548,0.0298466262239646,0.0758954412887179,0.0493237370052786,0.0231909158746697,0,0.0395756802564796,0.0375454976023188
"m__C00020_AMP",0.114970193081625,0.0798132029445476,0.0620800127494014,0,0.0866339857508395,0.050433174178164,0.14152097314431,0.0579479614248856,0.134252292217526,0.185352026049995,0.110460825738775,0.190105817083699,0.00818162315891962,0.108801274965308,0.153106833096484,0.098910679705632
"m__C00021_SAH",0,0,0,0,0,0.0112075632204759,0,0,0,0,0,0,0,0,0,0.000747170881365061
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00024_Acetyl CoA",0,0,0.00866171280752538,0,0,0,0,0,0.0115302943232969,0,0.00576026860842313,0,0,0,0,0.0017301517159497
"m__C00025_Glu",0,0.0237848197005011,0.0337519246884942,0.0250631575592885,0,0.03548808801064,0,0.0422838727647072,0.0750758720502227,0.0806286184782561,0.00417619474110677,0.0163892164099818,0.0195736708872015,0.184360015737351,0.0114698113440818,0.0368030174914555
"m__C00026_2-Oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00029_UDP-glucose",0,0.0658841061601749,0.0539250342055729,0.00835805502275197,0.0116436076849128,0.0224555383275641,0.008719928612341,0,0,0.0254412986467987,0.00576026860842313,0,0,0.021437814637082,0.0111617079982327,0.015652490660257
"m__C00035_GDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00037_Gly",0,0,0.00888547367553021,0.00801186339459065,0.00792082155436246,0.00827831374239698,0.0197106719674791,0.0847304152798695,0.00640571906849829,0,0,0.0110644498970341,0,0,0,0.0103338485719841
"m__C00041_Ala",0.014879984324036,0.100857343754575,0,0.0152680924254531,0.0335649168824615,0.0521913073123087,0.0364042503463161,0.0663069504370477,0.0421114693278226,0.0154536330973232,0.0440702841856241,0,0.0059865535309168,0.058745932837193,0,0.0323893812307385
"m__C00042_Succinate",0.0798589923918596,0.0643476004803937,0.0620937288546641,0.012295984793087,0.0342260499550719,0,0.0889371481997181,0.0727073818122658,0.018807294295277,0.070909801785878,0.0153536123637832,0.0471947915974844,0.0439186505038656,0.0523251969115784,0.0338534160957281,0.0464553100027103
"m__C00043_UDP-N-acetylglucosamine",0.0325338116115684,0.043258352459758,0.00868528943431287,0,0,0,0,0.066545770816815,0,0.0461912072513739,0.0222377889613793,0.0367120074708578,0,0.018347679193899,0.0137502700736268,0.0192174784849061
"m__C00044_GTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00047_Lys",0.0327811449778144,0.0379341960824883,0.0117566053626058,0.00694361494197856,0,0.0675745572309418,0.0286218833275663,0.0455011408179691,0,0.121099556948945,0.0168073590903305,0,0.0224143199584981,0.0894721551547762,0.0511226243441253,0.0354686105492027
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0.133033702147511,0.0381126547994571,0.00842761246137605,0.00824799458503386,0,0.00829790738439084,0.035016329851399,0.0111814644871913,0.0368421369310039,0,0.0346889852683209,0.0211439961100521,0,0.0352275440522861,0.0194597141765059,0.0259786694836352
"m__C00051_Glutathione(red)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00054_Adenosine 3',5'-diphosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00055_CMP",0.011087824778802,0.0501345749651175,0,0,0,0,0.00912458232766462,0,0,0,0,0,0,0.018347679193899,0.0169050336203782,0.00703997965905743
"m__C00062_Arg",0.0165642919978691,0.00972578083688612,0.0158288782598287,0.00850933203673843,0,0,0,0,0,0.00458822359654115,0,0,0,0,0.00578926496751051,0.00406705144635827
"m__C00064_Gln",0.0187619733230562,0.0511657297639223,0,0.0687652863035064,0.0117184757242623,0.0298868352546024,0,0.0268300260018332,0.0990540331624652,0.062835271519385,0.0209152610186792,0.0757226744014681,0.0394303185080938,0.0412822781862728,0,0.0364245442111698
"m__C00065_Ser",0.0896128226400726,0.0528916776639244,0.281398135323933,0.195677319986827,0.19569606836904,0.0328962265703268,0.236527767504648,0.259842981762698,0.153834375690777,0.0375214962459284,0.0666936604548327,0.015822821950967,0.111973701325836,0.200168536110762,0.195955163382388,0.141767516998864
"m__C00073_Met",0,0.0255290997873613,0,0.0296550221480334,0.0937778103381076,0.0227755874054897,0,0,0,0,0.0408489636610398,0.15524040922074,0.0340156139317267,0.0653844567637129,0.00514601330445379,0.031491531770711
"m__C00074_PEP",0.0176854687330979,0.0457636446081448,0.00439515342682509,0.0317068526224573,0,0,0,0.0111898256269307,0,0,0,0.0641540514565533,0,0,0,0.0116596664316006
"m__C00075_UTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00077_Ornithine",0.00840503105993371,0,0.0060207581189385,0,0,0.0324875162454791,0.0721909938851063,0.0487097120877608,0.0183326513778769,0,0.0321501192504555,0,0.0628407176312892,0.0217026833893549,0.0145845878385489,0.0211616513923163
"m__C00078_Trp",0.049121194688543,0.0431509238427899,0.0495225920927787,0.0465756262999441,0.0254445392255242,0,0.0473525661837085,0.117402094184944,0.0160142976712457,0.0435973197411279,0.053330400597853,0,0.0822477730857578,0.0606899420776948,0.0253280342328585,0.0439851535949847
"m__C00079_Phe",0,0,0.0388422239890744,0.00835805502275197,0.0285873522013093,0,0.00873334388712919,0.192871135137031,0.0233924539096722,0.0298889994288966,0.107984350572452,0,0.0622463658050828,0.134837203064849,0.039387677725384,0.0450086107162422
"m__C00082_Tyr",0.0619005086054426,0.0723933764817654,0.030963898897398,0.0331526896866271,0.0505536596177303,0,0.0413621954874023,0.0786290195276815,0.00946299407846338,0.0398637267308331,0.0438703534209456,0,0.0105600019841869,0.0219716442150475,0.0337735913370791,0.0352305106713735
"m__C00083_Malonyl CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00085_F6P",0,0,0,0.0155846529947733,0,0,0,0,0,0,0,0.0312407997092729,0,0,0.00926282394801681,0.00373921844347087
"m__C00086_Urea",0,0,0,0,0,0.0200218447115794,0,0,0.0242216252277591,0,0,0.0374568629390973,0.0140205189855246,0.0548363542389989,0.0236994781641001,0.0116171122844706
"m__C00092_G6P",0,0,0,0,0.0651159846546569,0,0.01740603955282,0,0,0.017176393095682,0.00774212326250996,0,0,0.0402970540682139,0.00739441730659086,0.0103421341293649
"m__C00093_Glycerophosphate",0.0796358192873353,0.0293357421687426,0,0.00810088409897499,0.0699001309082654,0.0107662787103718,0.319310430861561,0.00891809148044817,0.122196942565402,0.189421703997048,0.113948088430888,0.355947208864932,0.0896493307244736,0.150146134379166,0.0702855274374645,0.107837487594338
"m__C00097_Cys",0.0177961322645596,0.0100978052404828,0.0157953492351099,0,0.011706508326668,0,0,0.0323111275547764,0.0371569861061437,0,0,0.0297235545800065,0,0,0,0.0103058308871831
"m__C00099_beta-Ala",0,0.05543999125342,0,0.0582187044252824,0.0703211851759755,0.061463171702622,0.043298665291809,0.0252829308671519,0,0.0827831222158936,0.136442046986452,0.0804148412159446,0,0.171183866126145,0.128219115410563,0.0608711760447506
"m__C00103_G1P",0.0234016673123526,0.024499090236384,0,0,0.0116926413421541,0,0,0,0,0.0174814218853527,0,0,0,0,0,0.00513832138508289
"m__C00104_IDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00105_UMP",0.0497497492247171,0.0529600499715801,0.0561943909840924,0,0,0.0369596490325936,0.0208576417102391,0.0983952024270858,0.0515255798444425,0.254479718901414,0,0.22648857854649,0.0366388838556336,0.0280696451365228,0.0752600809424588,0.065838611371818
"m__C00106_Uracil",0,0.0131873505295087,0,0,0.0108011203014034,0,0,0,0.0181678700187006,0,0,0,0.0121714401697597,0,0,0.00362185206795816
"m__C00108_Anthranilate",0,0,0,0,0,0.00802359639647708,0,0,0,0.00860291924351466,0,0,0,0,0,0.00110843437599945
"m__C00109_2-Oxobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00112_CDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00114_Choline",0,0.0349014721075866,0,0.0784241107626921,0.0126733144869799,0.00810546982909419,0.00851501028995096,0.0189265270805688,0,0.0172058384870293,0.0207369669903233,0,0.00511351447432476,0,0,0.01364014830057
"m__C00120_Biotin",0.015749598852888,0.025173583434767,0,0.00830399815498238,0.0107313585384909,0.00826787450690845,0,0.011145925866292,0,0,0.00850539661712477,0.0192451336670585,0,0,0,0.00714152464256747
"m__C00122_Fumarate",0.0975090218022302,0,0.0638624939553079,0.0560496958176002,0.0818852102367628,0.0800499517113286,0.117558212335548,0.138134391623634,0.135577914834118,0.0482756804394835,0.152928429272299,0,0.123827064977798,0.0863454603914464,0.0890188229120266,0.0847348233539722
"m__C00123_Leu",0.0366251744120135,0,0.0296720797987855,0.042466716573611,0,0.111113098270355,0,0.00951263091247805,0,0.0578248825887214,0.0378109939424698,0.0158063569957631,0.107159303452187,0.123094972863482,0.0316567304936582,0.0401828626869016
"m__C00127_Glutathione(ox)",0.0783473851631168,0.0674525629001856,0,0.00783950892216843,0.0253041988932556,0.00820065601498239,0,0,0.137157438622794,0.0743532639941169,0,0,0.005541326454521,0,0.039595253806386,0.0295861063181018
"m__C00128_CMP-N-acetylneuraminate",0.0467413791082957,0,0.00847240701436389,0.0154079690808085,0.00950498586523496,0,0,0.0223828349651026,0.0349715632820768,0,0,0.0162949171210866,0.0106412190595047,0.0209744129894004,0.00757057726520604,0.012864151050072
"m__C00130_IMP",0.02508095130316,0.00327537539824238,0,0,0.02069120493294,0.0107709049131847,0.00919831358482356,0,0,0.047977296223098,0,0.031437484248554,0,0.0361738272869018,0.0144917766610406,0.013273142303463
"m__C00134_Putrescine",0.0205707710423553,0,0,0.00578634578498213,0.0445546212432889,0,0,0,0.0521775322789434,0.0142744734114614,0.00777636262137122,0,0.00736346084302766,0.0110086075163394,0.0208413538830378,0.0122902352416538
"m__C00135_His",0,0.103998844619614,0.0171390508193467,0.00852452727251832,0.021254204504206,0.0832686925082612,0.0392862277164071,0,0.00947873294595353,0,0.0821206928195695,0.0347570922849858,0.0690579449371138,0.180122574172627,0,0.0432672389733736
"m__C00140_N-Acetylglucosamine",0,0,0.0060207581189385,0.0043397593387366,0,0.00806944551874267,0.00840988670612441,0.0281519745145568,0,0.0438063659677153,0,0.0539930785559816,0.005369190198041,0.0610890347255914,0.0365842626518311,0.017055583753084
"m__C00141_2-Oxoisopentanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00144_GMP",0.0992927607805574,0.110654186480505,0.00833120098493312,0.0310529880519069,0,0,0,0.0425571687715069,0,0.0567172791558887,0,0.0396057013359744,0.0118492473336077,0.037743797198878,0.0127608629513277,0.030037679536339
"m__C00147_Adenine",0,0,0,0.0130192780162098,0,0.00829359678315216,0,0.0274386631218809,0.0244582000797207,0.0469018412090873,0.0204893282462904,0,0,0.0396309870588219,0,0.0120154596343442
"m__C00148_Pro",0,0.0167679665910018,0,0,0.0446206280895752,0,0,0,0.0219624653777084,0.0501216472417478,0.00648030218447602,0.0201588187547993,0.035409592779193,0.0367787569295885,0.0287103831078599,0.0174007040703967
"m__C00152_Asn",0.0527465410843167,0,0,0,0,0,0.0233659207096289,0,0,0,0.0158961258713215,0.0142257212961868,0.00511351447432476,0,0,0.00742318822905191
"m__C00153_Nicotinamide",0.00752056969445863,0,0,0,0.0342292645742092,0.0268647738691661,0.0302409228706176,0.0228342620203561,0.0171942985522849,0.0257298045322918,0.00845256806670786,0,0.00585729839786291,0.0376956579745504,0.0337596313771707,0.0166919367953118
