"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.458953654205932,0.650353690387451,0.641367164616769,0.57636338910977,0.499316120912157,0.833547520959395,0.449500614082685,0.325264054835505,0.501557846043107,0.347303991085368,0.385481221788021,0.533348296671678,0.200342073138401,0.309576828287195,0.645772452131038,0.490536594550298
"m___Diazoxide",0.0553217147634632,0.217231050766155,0.206767395572363,0.144907619362447,0.106675930647872,0.206594879594259,0.0186313896896688,0.068071867810775,0.0510662290325347,0.053931735879314,0.0924180758810901,0.129916617274739,0.0427464569298523,0.0525028954876711,0.113338076403798,0.1040081290064
"m__2-Hydroxyisobutyrate",0.0434319907589111,0.200597680758654,0.181227694546121,0.318813075141854,0.132023415442813,0.154912666442124,0.0782000269079467,0.0726634091663299,0.103079954710332,0.103629630345368,0.118783637519257,0.111664978379212,0.023941097632711,0.0803187323427411,0.101941643291337,0.121681975559047
"m__2-Hydroxyoctanoate",0.0519878724366374,0.169717969867388,0.276448209542605,0.294054052931751,0.132119156426877,0.310315536855347,0.0470668245775074,0.0523857664394176,0.0595944838093217,0.0574620987252354,0.066699996226654,0.114253051968976,0.0931971206207844,0.0570664029659775,0.0769374100312771,0.123953730228384
"m__2-Hydroxypentanoate",0.129483667588724,0.424226561900982,0.353582788230764,0.356100514294072,0.31863385024004,0.303014120804473,0.162271050890854,0.215182201368507,0.111587512047849,0.0943634223881746,0.109281363197364,0.0924461462644187,0.0810253771468262,0.151871484162462,0.149291825754048,0.203490792418637
"m__2-Oxooctanoate",0,0.00214975552285676,0.00848782293605532,0,0,0.00381961701343315,0,0,0,0,0,0,0,0,0,0.000963813031489683
"m__3-Indoxyl sulfate",0.0482251942428623,0.153919990137943,0.13212773638272,0.153068570605465,0.135750930641798,0.166647920608682,0.065041084864237,0.0216391641979937,0.0713610249166073,0.0888732300253543,0.0597261169087443,0.0277642024326807,0.0692718440340726,0.0271292090276973,0.0497336665977622,0.084685325708308
"m__4-Oxohexanoate",0.0175416536339977,0.0744207626387286,0.0554194245918447,0.106647531453763,0.0222962493282375,0.0951960189887465,0.00963966345154092,0.0464207423217451,0.0263560786979616,0.0188400334455808,0.0466509243875461,0.0124136494038306,0.0336359774480458,0.0363944951517374,0.0502072505850409,0.0434720303685565
"m__4-Oxopentanoate",0.00443731489414694,0.10456654282771,0.0933434409884988,0.0774520112257194,0.0399449049015366,0.0948070715613788,0.0444651748790409,0.0451050443977398,0.0458030579851572,0.029151134586719,0.0271784186163367,0.021743173312359,0.00357548907518182,0,0.0165290648465656,0.0432067896065394
"m__C00002_ATP",0,0.0238749561070678,8.63032090172006e-05,0.00662065380000454,0,0.00372197266872882,0,0,0.0165434309326781,0,0,0,0.00345396363636041,0.00501077517404708,0,0.00395413703519359
"m__C00003_NAD+",0.498087656155127,0.541601206034496,0.36575186325518,0.601159289934068,0.310949103756896,0.494965144982652,0.321536067284439,0.426583730295968,0.616961823659675,0.420966623488752,0.45695137814283,0.359693250765395,0.206579362850607,0.39728806334754,0.585806972952609,0.440325435793749
"m__C00006_NADP+",0.0521977761163296,0.0750087529568047,0.0800887965038165,0.114473879025094,0.0412225044482324,0.215393620545372,0.0778161088409135,0.0297501746615151,0.058773697559152,0.0634387066422444,0.10734449870114,0.0883945621082561,0.00695559509666155,0.0200527822590935,0.0260433160772798,0.070463651436127
"m__C00008_ADP",0.084606328412712,0.522991524153342,0.337074399519908,0.37556404574078,0.21451750235852,0.337732369061681,0.213001610744174,0.183433440209503,0.218953111026856,0.181277202347049,0.184168272244013,0.124865554640079,0.165388972516154,0.107052844339256,0.260426738531904,0.234070261056396
"m__C00015_UDP",0.154121666200933,0.193676194260515,0.178384478770841,0.213556180245831,0.173559253871848,0.270516289499919,0.0679721076821399,0.102134397363044,0.239074188280166,0.108330211676429,0.132549085582893,0.110931306594257,0.0343430804744289,0.0280108341939172,0.119553926132377,0.141780880055303
"m__C00016_FAD",0.0378549831940485,0.11335458348951,0.0549623401648193,0.12143924089945,0.12328570953626,0.131139863761401,0.00698893598114706,0.0270744287202808,0.0170034900249946,0.0591322307855985,0.048041173646561,0.0725464612732391,0.0460270990694189,0.049536971115946,0.0522825899898081,0.0640446734434988
"m__C00019_SAM+",0.388833846807054,0.859142099787834,0.42062202244817,0.784754865674496,0.450439429057444,0.798095121099919,0.506052225630249,0.37087706072537,0.694197822821692,0.447537827884764,0.480822126533194,0.32891487744476,0.389758108908152,0.323198211875168,0.635232872579945,0.525231901285214
"m__C00020_AMP",0.569074140691759,0.349584114580268,0.738573729738468,0.8960442670642,0.70242508793849,0.473575546585958,0.60117740372489,0.404408193978468,0.996285280561843,0.808398988313969,0.601826221914307,0.594627325321027,0.32007183760307,0.450619813550761,0.498290778411107,0.600332181998572
"m__C00021_SAH",0.0118634690609539,0.0778627217427097,0.111700975298979,0.167113660223435,0.0246711173769404,0.0610673145069655,0.055211266692785,0.0358344152166115,0.0533387549745403,0.0492421762508629,0.0306442857225703,0.0459570671210898,0.0195625443096081,0.0696167151633809,0.0614428438835055,0.0583419551696625
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00024_Acetyl CoA",0.152859934191473,0.297712175603349,0.335517398850038,0.406779635309812,0.129641698239523,0.446861688487369,0.119286838085421,0.0909495551211461,0.19332857473242,0.105318185980636,0.17613885041712,0.0943766249876811,0.0926207321962003,0.102374265958201,0.110862367654957,0.19030856838769
"m__C00025_Glu",0.356095952606855,0.370214409756111,0.450450909209376,0.630606392885885,0.534895737828431,0.519012342594367,0.258668572936758,0.303625181946412,0.349239696033919,0.251618981763167,0.276701860863903,0.179894622801009,0.22213275790992,0.273315786229336,0.232950318781707,0.34729490160981
"m__C00026_2-Oxoglutarate",0,0,0,0.0392994313188963,0,0.0137762141454467,0,0,0.0176239393958424,0,0,0,0,0,0,0.00471330565734569
"m__C00029_UDP-glucose",0.104771629592184,0.30316456902633,0.257245579138696,0.283082912455161,0.108400937640939,0.202257217825039,0.0763484050063235,0.0515675211390597,0.0985854000461818,0.117002155511119,0.0702564003790777,0.175506523000906,0.0266598398675366,0.0575338340489074,0.0445822512016759,0.131797678391942
"m__C00035_GDP",0,0.00302791717737284,0.00193382042076172,0.000301515070122881,0,5.32018084013869e-05,0,0,0,0,0,0,0,0,0,0.000354430298443922
"m__C00037_Gly",0.226264357929655,0.449215164453089,0.484329870777949,0.42028767919472,0.275128605845614,0.381493523980329,0.150366563718682,0.175356563978326,0.220359031040419,0.130037383074573,0.167543759809616,0.227721704805044,0.177033908997204,0.221933840303663,0.345113799082028,0.270145717132728
"m__C00041_Ala",0.264094745707008,0.347921311506909,0.414446784163873,0.445455795701805,0.180998770320491,0.459066558483673,0.210797202817538,0.255774696983214,0.419380751115899,0.29261008725978,0.39913173043806,0.230467870091287,0.133271361974361,0.251351382388169,0.226337831277587,0.30207379201531
"m__C00042_Succinate",0.38916005093917,0.475986435400257,0.84121264753187,0.664766358692805,0.564542712671329,0.526613969740518,0.350151369219606,0.489253304334861,0.406026277938948,0.3592630541675,0.621330893661736,0.320498570669006,0.402433687752235,0.426147633647566,0.789253171324649,0.508442675846137
"m__C00043_UDP-N-acetylglucosamine",0.250664779970975,0.290032680807454,0.323780959282479,0.42300441666185,0.398261666641266,0.58342917312083,0.160962897470527,0.217235948405518,0.201660505561091,0.309766314687773,0.326218777173421,0.216492974012112,0.0980108830271527,0.186653249188335,0.15910994333151,0.276352344622819
