"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0,0.441501439789443,0,0.0587351727946645,0.47036366618415,0,0,0.403616681662305,0.457283744600519,0,0.0912979722815507,0.151970780448653,0.0455174232041892,0,0,0.141352458731032
"m___Diazoxide",0,0.0215425422043689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143616948029126
"m__2-Hydroxyisobutyrate",0,0,0,0,0.0868273318812626,0,0,0,0,0,0,0,0,0,0,0.00578848879208417
"m__2-Hydroxyoctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0.0105682193618705,0,0,0.000704547957458032
"m__2-Hydroxypentanoate",0,0,0,0.0117830529398472,0,0,0,0.0105037219458134,0,0,0,0,0.000869201779907768,0,0,0.00154373177770456
"m__C00003_NAD+",0,0.117961629162027,0,0.0534993723523799,0.115766331484657,0,0.0153206048597121,0.0551996756248297,0.0228100795254732,0,0.0941063758340294,0.0106420366879196,0,0,0.259481441251917,0.0496525031188629
"m__C00008_ADP",0,0.0761575519385903,0,0,0,0,0,0.00113034185933446,0,0,0.00822870984318731,0,0,0,0.193484312647853,0.018600061085931
"m__C00015_UDP",0,0.00725848081245927,0,0,0,0,0,0.00361544975499019,0.0107101239648848,0,0.00543830107081339,0,0,0,0,0.00180149037354317
"m__C00019_SAM+",0,0.186624011600856,0,0,0.0417970668425965,0,0,0,0.137718986836995,0,0,0.0227664693213208,0,0,0,0.0259271023067845
"m__C00020_AMP",0.165076746467432,0,0,0,0.0487769164983868,0,0,0.125166798070114,0.167647718587755,0,0.0473030177229852,0.0579966268754135,0,0,0.449988133481284,0.0707970638468913
"m__C00024_Acetyl CoA",0.132796462406132,0,0,0,0,0,0.0258255985074174,0.00741041308359701,0,0,0,0.00403859470030634,0.0135913198596401,0,0,0.0122441592371395
"m__C00025_Glu",0.143908639119438,0.0493275522231534,0,0,0,0.0134607481646363,0,0.000892999008289834,0.117584081535706,0,0,0.0204418466958909,0,0,0,0.023041057783141
"m__C00029_UDP-glucose",0,0,0,0,0,0,0,0.0164205762495723,0,0,0,0.102897825633795,0,0,0,0.00795456012555785
"m__C00037_Gly",0,0.00938101953405039,0,0,0.035737786046721,0,0,0,0.109003770595683,0,0,0,0,0,0,0.0102748384117637
"m__C00041_Ala",0,0.0122708879612668,0,0.0103188138573272,0,0,0,0.10364513941504,0.0194759995529042,0,0,0,0,0,0,0.00971405605243588
"m__C00042_Succinate",0.301521063681543,0.36542886155456,0.239675881131034,0.023683984116293,0.0648545745295458,0.122737437261904,0.0460633376141277,0.0126640629484618,0.155244504762242,0,0.205719537365836,0.0745322779620935,0.129464983777996,0,0,0.116106033780376
"m__C00043_UDP-N-acetylglucosamine",0,0.00877489284888767,0,0,0.0291397005870896,0,0,0,0,0,0,0,0.00169417635317175,0,0,0.00264058465260993
"m__C00047_Lys",0,0.0130552865126076,0,0,0.076755861911734,0,0.100823359357991,0,0,0,0.0536097867486942,0.010860189805782,0.0270531137874528,0,0,0.0188105065416174
"m__C00049_Asp",0.0640954110996976,0.00408742561108678,0,0,0.05850073127868,0.0373087285445336,0,0.0145934015079893,0.0654616770092315,0,0.0228230908974614,0.0102820482725701,0.0327771582188164,0,0,0.0206619781626711
"m__C00055_CMP",0,0,0,0.00926516203659839,0,0,0.0145415737706725,0,0,0,0,0,0,0,0,0.00158711572048473
"m__C00062_Arg",0,0,0,0,0,0,0,0.0135837702127943,0.0805286117018226,0,0.0247375771246991,0,0.00406444529029068,0,0,0.00819429362197378
"m__C00064_Gln",0,0.240370014404551,0,0.186007582580164,0.0757055249812195,0.0464795711524668,0.0874405419706168,0.187897857500098,0.484045772671066,0.17297851650433,0.0626756607290045,0.131234223018637,0.0824057498132413,0,0.153923812889939,0.127410988547689
"m__C00065_Ser",0.170442297448602,0.851992740479118,0.419582277992393,0.050939190811272,1,0,0.214791338832225,0.258041649131231,0.147831345910528,0.179106778442063,0,0.0128496738572656,0.0341330280433519,0,0.164978176857296,0.23364589985369
"m__C00077_Ornithine",0,0,0,0,0,0,0.149151961770485,0,0,0,0,0.0124956009364985,0.00221854360032796,0,0,0.0109244070871541
"m__C00078_Trp",0.0661028058332861,0.010568046011066,0,0,0.0499344179065145,0,0.163781558227531,0.0537798206802808,0.0617098823926451,0,0.0380483596581038,0.0204868012786133,0.00423952538088453,0,0,0.0312434144912617
"m__C00079_Phe",0,0.0447420196275319,0,0,0.100475541752386,0,0.088457480963785,0.0110378573343896,0.10546197188252,0,0.215598851864218,0,0,0,0,0.037718248228322
"m__C00082_Tyr",0.221469801154779,0,0,0,0,0.023135305594374,0,0,0,0,0.0223914865062414,0,0.00280247672583744,0,0,0.0179866046654155
"m__C00086_Urea",0,0.022495971601601,0,0,0.0788744623347712,0,0,0.00390989715922768,0,0,0.0159196979743,0.0474625967962304,0,0,0,0.011244175057742
"m__C00092_G6P",0.037312062437099,0,0,0,0,0,0,0,0.0702222740566235,0,0,0,0,0,0,0.00716895576624817
"m__C00093_Glycerophosphate",0.136898013396545,0.0427740983343573,0,0,0.508568518199434,0,0,0.0395893237262931,0.660207011855218,0,0.535997118563308,0.0564776295019756,0.00501125706212641,0,0,0.132368198042617
"m__C00099_beta-Ala",0.21901123061262,0,0.106274818893526,0,0.379283107324278,0.029620555825709,0.0165005125929764,0,0,0,0.253100650796104,0.00414286104901192,0.0123866172364636,0,0.262595416438249,0.0855277180512626
"m__C00103_G1P",0,0,0,0,0.0157060212318943,0,0,0,0,0,0,0,0,0,0,0.00104706808212628
"m__C00105_UMP",0.335673646104267,0,0,0,0.173033560630183,0,0.0239685995463828,0,0.434376297066157,0,0.206418291880205,0.482384867229178,0.00747949051925273,0,0,0.110888983531708
"m__C00114_Choline",0.0504860566273845,0,0,0,0.0657871012866056,0.038399862183793,0,0.0810839610940082,0.044035615559954,0,0.00218435877766478,0.0328201421837797,0.102155310055758,0,0,0.0277968271845965
"m__C00122_Fumarate",0.0715676118814901,0.0746580312859656,0,0.00975262858160047,0.09240846544417,0,0.235377155439686,0.336943280965413,0,0.227649570004067,0.895855584238464,0,0.0771369785208418,0,1,0.20142328709078
"m__C00123_Leu",0,0.0528769880726458,0,0,0.0622163999790969,0.0834737740924733,0,0.0430410378356298,0.117567311582337,0.25121039449866,0,0.0334460761490612,0.107911203603456,0.21156393391291,0,0.064220474648418
"m__C00127_Glutathione(ox)",0,0,0,0,0,0,0,0,0.224453301449966,0,0.0270307701892586,0,0,0,0,0.0167656047759483
"m__C00134_Putrescine",0.0502853438743216,0.0290960336188838,0,0,0.0470189616461411,0,0.028664771083142,0,0,0,0.0355456052279691,0.01189426113621,0.00946286597826603,0,0,0.0141311895043289
"m__C00135_His",0.0912311282493324,0.00824201243024876,0,0,0.0361767688012861,0,0,0,0,0,0,0.0184075073149497,0.0121968092799069,0,0,0.0110836150717149
"m__C00140_N-Acetylglucosamine",0,0.0260566818078643,0,0,0,0,0,0,0.107197555917277,0,0.0200853639600741,0.00679843892178317,0,0,0,0.0106758693737999
"m__C00147_Adenine",0,0.0106458503835445,0,0,0.0989350667838889,0,0,0.0190297482623665,0.219746386586446,0,0.135423352132517,0.00413270823404831,0,0,0,0.0325275408255207
"m__C00148_Pro",0.17148399902016,0.0564272299762431,0,0,0,0,0,0,0,0,0.0281314445342223,0.0364417556560323,0.00468368451709318,0,0,0.01981120758025
"m__C00152_Asn",0.0313826337719121,0.030143053698222,0,0,0.099263873990765,0.0688448568988919,0,0.0874380954185654,0,0,0,0.0245383322524415,0.0115348929394865,0,0.33596933218295,0.045941004743549
"m__C00153_Nicotinamide",0.261221022200088,0.172863451148004,0,0.150941687574437,0,0,0.0170988822166064,0,0,0,0.0905018384275618,0.0341036409387975,0.00402333469377547,0.110992730717853,0,0.0561164391944749
"m__C00163_Propionate",0,0,0,0,0.0802243020142117,0.019443483675797,0.0198235412458214,0.10864568212819,0,0,0,0.0145374764193299,0.00503303085696618,0.159617288699773,0.171122391714827,0.0385631464503278
"m__C00170_5-Methylthioadenosine",0.292244383538218,0.0600035100276043,0,0,0.0548762585121141,0,0,0.159847476593959,0.0152192513159492,0,0,0.0172808223661175,0.000374061177125579,0,0,0.0399897175687392
"m__C00178_Thymine",0.0662838466711422,0.0254147169171266,0,0,0.0377190413621647,0,0.0118831866747873,0.0108611237286082,0.0145836599518152,0,0.23793968538549,0.0111219222531295,0.0508247423708012,0,0.152997270352704,0.0413086130445179
"m__C00179_Agmatine",0,0.0897728770427803,0,0,0.033861519176008,0.0170065350358907,0.0215370624013052,0.0358104629029992,0.031493793920778,0,0,0.0564391033547083,0.00210317324034482,0,0,0.019201635138321
"m__C00183_Val",0.149653502756379,0.0350801636928436,0,0,0,0,0,0,0,0,0.0197052153558486,0,0.0505234772321068,0,0,0.0169974906024785
"m__C00186_Lactate",0.173043597701535,0,0,0.0112113030578087,0,0.0412722621326811,0,0.0214495777065331,0.083261737790181,0,0,0.00317341193124735,0,0,0,0.0222274593546657
"m__C00188_Thr",0.168268854129716,0.0217114027388283,0,0,0.0101515594973626,0.000209015638536713,0,0.0820271283631962,0.275550558148048,0,0,0.0237398405310975,0.00266376577073819,0,0.158534834090293,0.049523797260521
"m__C00191_Glucuronate",0,0.0245208289165035,0.127450711636669,0,0,0,0.355532531740804,0,0.0268742820665245,0,0,0.00216422776145006,0.00654607059969763,0,0,0.0362059101814433
"m__C00197_3PG",0,0,0,0,0,0,0,0,0.0135445645011003,0,0,0,0,0,0,0.000902970966740017
"m__C00212_Adenosine",0,0.0339862936687872,0,0.0102317972567316,0,0,0,0.10038228968022,0.329880459758403,0,0.0109391660872657,0.00726202313078121,0.106588070928089,0,0,0.0399513400340185
"m__C00213_Sarcosine",0.728763402033862,0.0763096673490634,0,0,0.112208752190183,0,0.0202554146077975,0,0,0,0.314935761420257,0.111886131420394,0,0,0.157422884447947,0.1014521342313
"m__C00214_Thymidine",0,0.0268855472439648,0,0,0.134491370042808,0,0.0569801728485563,0,0.215886807870832,0,0.0293780404351829,0.0621071412854249,0.0174749615518029,0,0,0.0362136027519048
"m__C00242_Guanine",0,0.361683362144654,0,0,0.341037581182069,0,0,0.107798262699488,0.227226036662939,0,0.0408375860723919,0.0721837202133488,0.0124555009465705,0.216063706935511,0,0.0919523837904648
"m__C00245_Taurine",0.205781564324563,0.00549851107765877,0.148793475416053,0,0,0.0940354169539075,0.0458617624930759,0.324642760753649,0.171294594856839,0,0.108213409638046,0,0.0506674518205942,0,0.170727363078586,0.0883677540275314
"m__C00246_Butyrate",0,0.039562687774204,0,0.0439008021264339,0.0939183114129626,0.235136456751653,0,0,0.0240553354040849,0,0.070167846133937,0.00517351687609137,0,0,0.207211383761359,0.0479417560160484
"m__C00250_Pyridoxal",0,0,0,0,0.0355790179159657,0,0,0.0786153496563266,0.0534471729486642,0,0,0,0.0310810426919066,0,0,0.0132481722141909
"m__C00253_Nicotinate",0,0,0,0,0,0,0,0,0.00363436152252496,0,0.105275328982809,0.00780415399146893,0,0,0,0.00778092296645352
"m__C00255_Riboflavin",0.0360760573726641,0,0,0.69596208034837,0,0,0.0924462328550051,0.0281228805842369,0.022546020302875,0,0.129026254225797,0.0264195405203343,0.170097107296476,0,0.238307390161624,0.0959335709111588
"m__C00262_Hypoxanthine",0,0.0047056853606596,0,0,0.207095032135851,0,0.0296365068166598,0.104420349055338,0.132671211574904,0,0.11516709510445,0.00855041705681934,0.0106757902676676,0,0.20713014218711,0.0546701486372972
"m__C00263_Homoserine",0.0368610671710688,0.0215802941383995,0,0,0,0,0.00998021969845203,0.177981945134674,0,0,0.0552866271925452,0.0230228015970368,0.0347296116723036,0,0.223832006286123,0.0388849715260402
"m__C00270_N-Acetylneuraminate",0,0,0,0,0,0.0432406515052343,0,0.0257441795501245,0,0,0,0.0109928525135488,0,0,0,0.0053318455712605
"m__C00294_Inosine",0.279288159760216,0.0545415834056113,0,0,0.476734103228302,0.0475938098411501,0.0402426445663767,0.0795929964552784,0,0,0.0982867025139434,0.0357323758979101,0.0589032540785173,0,0,0.0780610419831537
"m__C00296_Quinate",0,0.01367100004127,0,0,0.0406681171249,0,0.032780293280347,0,0,0,0.178769986712152,0.00208562235182761,0.00528762839776767,0,0,0.0182175098605509
"m__C00299_Uridine",0,0,0,0,0.0966739670581694,0.0629863937673501,0,0.10612432563233,0,0,0.034561367213574,0.0181917005442674,0,0,0,0.0212358502810461
"m__C00300_Creatine",0,0.0271996847298781,0.325343813853341,0,0.0883072975043856,0,0,0.00335810947043565,0.00352221125324467,0,0.0498588171604514,0.0160764117886021,0.0396054805399385,0,0,0.0368847884200185
"m__C00311_Isocitrate",0,0,0,0,0,0,0,0.0565284853839301,0,0,0,0.0157553838528068,0,0,0,0.00481892461578246
"m__C00314_Pyridoxine",0,0,0,0,0.0271902116495965,0,0,0,0,0,0,0,0,0,0,0.00181268077663976
"m__C00315_Spermidine",0,0.043711461253156,0,0,0.0957544635905355,0,0,0.249853518985367,0.225733066959317,0,0,0.00727213902353031,0,0,0,0.0414883099874604
"m__C00318_Carnitine",0,0.00206091653531278,0.0825382308788341,0,0.0455217810936917,0.0528832268451402,0,0,0.137111283480758,0,0.0688393835406667,0.0102019254790353,0,0,0.404786962929831,0.0535962473855513
"m__C00327_Citrulline",0.0347428229284982,0,0,0,0,0.097677001628476,0.244398929617677,0.317851036697082,0.0420239544792835,0,0.00981418923199349,0.00810297936894006,0,0,0,0.0503073942634634
"m__C00328_Kynurenine",0,0,0.145761243702419,0,0.139170770387709,0,0,0,0,0,0,0.012860475788581,0.113848255849146,0,0,0.027442716381857
"m__C00329_Glucosamine",0,0,0,0.0101064113354617,0,0,0.0389742869859257,0,0,0,0,0.0250089134195953,0,0,0,0.00493930744939885
"m__C00330_2'-Deoxyguanosine",0,0,0,0,0,0,0,0.133987611234392,0,0,0,0,0,0,0,0.00893250741562614
"m__C00334_GABA",0.309041859293521,0.895076093171617,0,0.600945326497566,0.173922764176809,0.267713796991897,1,0.139700261786746,0.635121863333641,0.167304522428563,0.0446022606380771,0.0910556375244598,0.0606833929161077,0,0,0.292344518583934
"m__C00346_Ethanolamine phosphate",0,0,0,0,0,0,0,0,0.308292222825091,0,0,0,0,0,0,0.0205528148550061
"m__C00357_N-Acetylglucosamine 6-phosphate",0.0508656834271769,0.00178105715025531,0,0,0.0919975531024421,0,0,0,0.0320116771944922,0,0,0.0760417851353635,0,0.123292827150472,0.162058787058512,0.0358699580145809
"m__C00364_dTMP",0,0,0,0,0.0149191117981689,0,0,0.0203086016030375,0,0,0.0271893918548558,0.00392951774436211,0,0,0,0.00442310820002829
"m__C00366_Urate",0,0.00951269952283261,0,0,0,0,0,0.034670282137895,0,0.138367875511928,0,0,0,0,0,0.0121700571448437
"m__C00371_trans-Zeatin",0,0.0700874964970449,0,0,0.0141099237366702,0,0,0,0,0,0,0.0107024430189071,0,0,0,0.00632665755017481
"m__C00378_Thiamine",0,0,0,0.063179270585705,0.0602182176781866,0,0,0.0181300483423027,0.0304855125357042,0,0,0.0242899847033727,0,0,0,0.0130868689230181
"m__C00380_Cytosine",0,0,0,0,0,0,0,0.0531053192152328,0,0,0,0.0119356950071231,0,0,0,0.00433606761482373
"m__C00383_Malonate",0,0.00746815888672259,0,0,0,0,0,0,0,0,0.0193479329562661,0,0.00240174086603862,0,0,0.00194785551393516
"m__C00386_Carnosine",0.642324544426175,0.00506920861150347,0.238731694757011,0.096582719562377,0,0.35128588044058,0.307226679086482,0.030378675821142,1,1,0.126487302708398,0.177259254584033,0.177505167807396,0,0.489250998794325,0.309473475106628
"m__C00387_Guanosine",0.0581985378654037,0.00962124510875969,0,0.0101451683465325,0.153787985389432,0.00087003656524084,0,0.225759612088145,0.0382946010128975,0,0.122152215458345,0.0320185664649917,0.0256014587479752,0,0,0.0450966284698482
"m__C00388_Histamine",0.10848412727758,0.154528778066076,0.171110569330544,0,0,0,0,0.0190503316694887,0.252179727276173,0,0.00408548135485195,0.0818553775819061,0.196206378105532,0,0,0.0658333847108102
"m__C00398_Tryptamine",0.13983782369111,0,0,0,0,0,0,0.0135063746198629,0.00667270462179915,0,0,0.000938227613773906,0,0,0,0.0107303420364364
"m__C00407_Ile",0.090134079556576,0,0,0,0,0,0,0,0,0,0.0503900754970317,0.0239154886368129,0,0,0,0.0109626429126947
"m__C00408_Pipecolate",0.0543174076517684,0.0197336917885407,0,0,0.0912724857828131,0,0,0.00471048949158283,0,0,0.0124029417811903,0.018482256933741,0,0,0,0.0133946182286424
"m__C00417_cis-Aconitate",0.473837334926344,0.139218763208887,0.184786822897424,0,0.0959440787356323,0,0,0.134752761454538,0.460156404806064,0,0.840334014575477,0.367236114249102,0.112886887814631,0,0.21087041552767,0.201334906546385
"m__C00423_trans-Cinnamate",0,0,0,0,0.0437701363254573,0,0.0141707844050477,0.0579988108675196,0.240833416121711,0,0,0,0,0,0,0.023784876514649
"m__C00429_Dihydrouracil",0,0.00466637462199703,0,0,0.0702700005146791,0,0,0.126889129372349,0.0782607794519942,0,0.0258621908076263,0.00648001539165637,0,0,0,0.0208285660106868
"m__C00430_5-Aminolevulinate",0.218210993856354,0.00435082004096377,0,0,0.0142423532312303,0,0.0506818795626976,0.0375955862951173,0.200650118408607,0,0.0738467055320421,0.0963909658071264,0,0,0.362974072062596,0.070596232986449
"m__C00431_5-Aminovalerate",0,0.0344280061179403,0,0,0.0221795195536587,0,0,0.0290129410525511,0,0,0.0413888844228096,0,0.0168448637449541,0,0,0.00959028099279425
"m__C00437_N-Acetylornithine",0.137215074984372,0.0677701377485101,0,0,0.120028871390385,0,0,0.312716411328521,0.0108079744235246,0,0.017541434523991,0.00717983825141677,0.0292115546120257,0,0,0.0468314198175164
"m__C00438_Carbamoylaspartate",0,0,0,0,0,0,0,0,0.0269812242907352,0,0,0.011339493349847,0,0,0,0.00255471450937215
"m__C00440_5-Methyltetrahydrofolate",0,0.198550533747187,0,0,0.0946285372833658,0,0,0.0801415123548312,0,0,0.00246319458540507,0.0106552897778627,0,0,0,0.0257626045165768
"m__C00449_Saccharopine",0.423438985865108,0.0939313153704679,0,0,0.161055589684673,0.00759274608096296,0.122915909948989,0.545904216401497,0.281002549110104,0,0.0225097796578224,0.0131799077318782,0.0167329330963313,0,0.392230057578715,0.138699599368437
"m__C00475_Cytidine",0.359643398151476,0.288955232399855,0.304399652930514,0.0312519689860711,0.238088881391745,0,0,0.120201646676534,0.0435483895557116,0.62002685000326,0.264329328046622,0.089095371252057,0.0843807710807215,0.129297239993731,0.406040429217666,0.198617277312398
"m__C00482_Sinapate",0,0.0249528141127323,0,0,0.0325790275086097,0,0,0,0.0475873479135052,0,0.0904030937783739,0,0,0,0,0.0130348188875481
"m__C00483_Tyramine",0.113747151760882,0.00961064224706168,0,0,0.0355835509750141,0.023709029953151,0,0.108974441818137,0.319849789076828,0,0.0786475107981787,0.00852626516437433,0.0181183141548447,0,0,0.0477844463965648
"m__C00489_Glutarate",0.519874469493799,0.291622824257157,0,0,0.419676497212638,0,0.0413224864341993,0.0197585445804958,0.450756624015793,0,0.0389686656866729,0.0489436428973106,0.0943213018778813,0,0,0.128349670430396
"m__C00491_Cystine",0,0,0,0,0,0,0,0,0.0195310036490955,0,0.00403873315524745,0,0,0,0,0.0015713157869562
"m__C00493_Shikimate",0,0,0,0,0.0526478568684055,0,0,0.0288690294021291,0.0170794364419539,0,0,0.0299943016874414,0.0220747020468613,0,0.206449470321755,0.0238076531179031
"m__C00506_Cysteate",0,0,0,0,0,0,0,0.00174798034593464,0,0,0,0,0,0,0,0.000116532023062309
"m__C00534_Pyridoxamine",0.0360422561982421,0.0122469260528668,0,0,0.223088750418424,0,0,0.038278967800024,0.0504726145310623,0,0.0066402390611179,0,0,0,0,0.0244513169374491
"m__C00547_Noradrenaline",0,0,0,0,0.0298073560145779,0,0,0,0,0,0,0,0,0,0.161294640671837,0.0127401331124277
"m__C00568_p-Aminobenzoate",0,0,0,0,0,0,0,0,0,0,0,0.000451804037504661,0.0207234445561231,0,0,0.00141168323957519
"m__C00571_Cyclohexylamine",0.0617993360656401,0.0044532461161297,0,0.0545627432660084,0.0355585656749595,0,0,0,0,0,0,0.00730855941353155,0,0,0,0.0109121633690846
"m__C00576_Betaine aldehyde",0.56616384365536,0.733995405720417,0.165141813007513,0.0725116797885031,0.54938197704426,0.04921654210684,0.464478684675399,0.470323778939019,0.436149512181547,0.127384051202855,0.146341568909773,0.268949985959077,0.0028664329297798,0,0.796585017748739,0.323299352924606
"m__C00581_Guanidinoacetate",0,0,0.147286247594332,0,0,0,0,0,0.138102495793617,0,0,0,0.00312047686592915,0,0,0.0192339480169252
"m__C00587_m-Hydroxybenzoate",0,0.0885541128354267,0,0,0.0383296222031766,0,0,0.0375731532926395,0,0,0,0.0391907947700892,0,0,0,0.0135765122067555
