"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.16336297273102,0.0691425545797849,0.0216947573115675,0.0111491962371999,0.161484114790759,0,0,0.0146906336976306,0,0.0103182661103529,0.217949229462063,0,0.0432970238315284,0,0.0652432697250802,0.0518888012317991
"m___Diazoxide",0,0,0,0,0,0,0.0697148980617451,0,0,0,0,0,0.0738584317979344,0,0.0396206821040911,0.012212934130918
"m__2-Hydroxyisobutyrate",0,0,0,0,0,0.0149278882394052,0,0,0,0,0.015110569870307,0.0133075200352691,0,0.0500349780705076,0.0132839342498994,0.00711099269769255
"m__2-Hydroxyoctanoate",0.0543118022396976,0.0712995849678057,0,0.0490039753445109,0.0319426325216548,0.00393222421916038,0,0,0.0637689716542494,0.0311809335604826,0,0,0,0.0759835192222185,0,0.0254282429153187
"m__2-Hydroxypentanoate",0.0115489759431205,0,0.0431188045319002,0.0131167014555293,0.0199641453260343,0,0,0,0,0.0466153161630627,0,0,0,0,0,0.00895759622797646
"m__2-Oxooctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__3-Indoxyl sulfate",0,0,0.0357544371393227,0,0,0,0,0,0,0,0,0,0,0,0.0426561888691215,0.00522737506722961
"m__4-Oxohexanoate",0.0124500679175787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000830004527838578
"m__4-Oxopentanoate",0,0,0,0,0,0,0,0,0,0.0109984890282538,0,0,0,0,0.0169343920376241,0.00186219207105853
"m__C00002_ATP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00003_NAD+",0,0.0676930866894643,0,0.192625050169971,0.484602658361291,0.00194062547112266,0.096754509582724,0.0341250272548328,0.0801978828881523,0.0744693894055509,0.124358604536582,0.108964344619154,0.203874833918921,0.122465965426394,0.0615396712402577,0.110240776637628
"m__C00006_NADP+",0,0,0,0.0132658337037016,0,0.0494284569710844,0,0,0,0,0.0242848444344219,0,0,0,0,0.00579860900728053
"m__C00008_ADP",0,0,0.0321484908346849,0.0242373831243476,0,0,0.0454700955858314,0,0,0,0.0977407644583106,0,0,0.00502659004765426,0,0.0136415549367219
"m__C00015_UDP",0,0.0613781455055749,0,0,0.0283794829000252,0,0.0546601792414204,0.0289574991155219,0,0.0879432315291658,0,0,0,0,0,0.0174212358861139
"m__C00016_FAD",0,0,0,0,0,0,0.0192243735736853,0,0.0384896283132871,0,0,0,0,0,0,0.00384760012579816
"m__C00019_SAM+",0,0.0246467701123279,0.0129611006644466,0.0681669435528344,0.229357483089134,0.00709686490070075,0.0198456437255886,0.0619751098844466,0.0157382843174565,0.0681504930710306,0.255708770771607,0,0.0127916746707372,0.0732929304338604,0,0.0566488046129447
"m__C00020_AMP",0.0376474560409725,0,0.0641891466330273,0.047891382002912,0.070826236189922,0.0107887919548428,0.0195653114791492,0.0561303005563714,0.0504340474718491,0.0706967976642942,0.0814639022494731,0.0745291372834986,0,0.0590394175377418,0,0.0428801284709369
"m__C00021_SAH",0.0123438273380153,0,0,0,0,0,0,0,0.0174054754527802,0,0.0215887695124388,0.0727781111163733,0,0,0.0303806386504276,0.0102997881380023
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00024_Acetyl CoA",0.00997001438839697,0,0,0,0.078823953097618,0,0,0,0.0141644558857108,0,0,0,0,0,0.0576902287424204,0.0107099101409431
"m__C00025_Glu",0.0244597686328672,0.109356471384835,0.0238017271393056,0.024775991638222,0.374546984169729,0.0335877485386616,0,0,0.0703410933201568,0,0.0698113694407046,0.0230322462148889,0.0124266948227949,0,0,0.0510760063534777
"m__C00026_2-Oxoglutarate",0,0,0,0.0137644397990122,0,0,0,0,0,0,0,0,0,0,0,0.000917629319934144
"m__C00029_UDP-glucose",0,0,0,0,0,0,0.0107497236846938,0,0,0.0083546214733851,0.0546403743314659,0,0,0.0425326850186133,0.0618205635784369,0.0118731978724397
"m__C00035_GDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00037_Gly",0.0226530230767135,0,0,0,0.146299752467345,0.0183483135774883,0.117173528974011,0.0481757623282623,0.0168624474829891,0,0.0448595043024739,0,0,0.04784927064594,0.118736790452182,0.038730559553827
"m__C00041_Ala",0.011394302158168,0.0109541200499235,0.0125205868134384,0,0.0294114640963898,0,0.0062325698105524,0,0,0,0.0535647630570167,0.0253360320509541,0.0213630519816676,0.0153117666067008,0,0.0124059104416541
"m__C00042_Succinate",0.0648791429481424,0.0334356405293234,0.0515667919004829,0.0327428045964645,0.114078410519065,0,0.0423373732812557,0.0581974221531653,0.117112377381824,0,0.00804203998699809,0.122974307719896,0.135558161713426,0.136081996278738,0.0477869669912384,0.0643195624000013
"m__C00043_UDP-N-acetylglucosamine",0.0130754287060944,0.0172136172213084,0.0942839973773393,0.0133585342239533,0.00696118225184088,0.129892626347946,0.0396348275828257,0,0,0.0704718800222727,0.0192255018439174,0.0140196281308019,0,0.0859296331792765,0,0.0336044571258384
"m__C00044_GTP",0,0.0355310577764583,0,0.055434800236895,0,0,0,0,0,0.0109332083478867,0,0,0,0.0617075420446905,0.0141695298665594,0.0118517425514993
"m__C00047_Lys",0.0789866583328728,0.00799050537888257,0,0.0276445234569915,0.192740524123231,0.153004733304071,0.0397281966643579,0.247559784344656,0.122727294424992,0.141402914522611,0.0659160063220024,0.0317490655516007,0.0704064963260932,0.0832136939895857,0.384003170323367,0.109804904471021
"m__C00048_Glyoxylate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00049_Asp",0.110422963535603,0.231515748436699,0.0732297098499865,0.194120792976969,0.374317182617245,0.00285434346555658,0.211578663501886,0.319855864739844,0.189319409457727,0.190086710668563,0.408630776754866,0.108251925708317,0.0984108011816177,0,0.0812611513233444,0.172923736281215
"m__C00051_Glutathione(red)",0,0,0.0129043958490397,0.0133247088480143,0,0,0,0,0.0495663298757682,0.0175447050941087,0,0,0,0,0,0.00622267597779539
"m__C00054_Adenosine 3',5'-diphosphate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265678684997989,0.00177119123331992
"m__C00055_CMP",0,0.0307462233219444,0.261179867875402,0.0372720223045926,0.0199641453260343,0.18354959460345,0.0358324122823128,0.0469404863711274,0.0665467867073701,0.0773251833720615,0,0.0321060995379192,0.03125188225763,0.273196667770093,0,0.0730607581153291
"m__C00062_Arg",0.0693479070720498,0,0,0.0132319325594179,0,0.0597115529576206,0.0608630738014556,0.121063442992132,0.0173367038184482,0.0423206804158649,0,0.0155254400411473,0,0,0,0.0266267155772091
"m__C00064_Gln",0.0725114088973855,0.0948232895606705,0.057521924518393,0.069720841392345,0.962539494808952,0.137680821995053,0.186218681879943,0.0791721036740799,0.233932098570987,0.0508071427180456,0.0916844110056163,0.037876052198121,0.066480369322287,0.0156925027387223,0.229546940449039,0.159080538915309
"m__C00065_Ser",0.053833817007434,0.0961613053954762,0.0974283685811892,0,0.0461670860664542,0.369632758013151,0.349955629427188,0.133863809953318,0.0165679597637886,0.0109405757389567,0.211446052892653,0.126842057708953,0.0154672425419868,0.011962317661485,0.193306858381666,0.115571722608913
"m__C00073_Met",0.0806616844698591,0,0.00984233581706419,0.0564817588879886,0,0.045478945307901,0,0.113210272799298,0.017358401820724,0.0839895358039876,0.2120496881137,0.0131369108040477,0,0,0.0524328833355819,0.0456428278106768
"m__C00074_PEP",0,0,0,0,0,0,0,0,0,0.0106331546024901,0,0.0655236892669705,0,0,0.0203493419019406,0.00643374571809342
"m__C00075_UTP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
