"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0,0.114480255786281,0,0.196739599236017,0,0.085368876485679,0.0163096701365276,0.013333330264375,0.0377800356030582,0.0656877800473939,0,0.0393939686078383,0.0115357535082541,0.0558393521843,0.0687540951206114,0.0470148477986891
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces bowdenii_B",0,0,0.0156717433872203,0,0.123409259777227,0.139282941555659,0.254008992768428,0.0471310113261493,0,0.0392038753571223,0,0,0.0319851452645147,0,0.0407141699443589,0.0460938092920453
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis",0.038670047310853,0.0298118871666115,0,0,0.037779522718875,0,0.0627184625813187,0,0,0,0.126779028486759,0,0.0197068239684473,0.0183218183397011,0,0.0222525060381711
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii",0.128099917158781,0.0241142432570937,0.0449341613581741,0.0857279142893867,0.0405783531446757,0.0333140915255274,0.0578513042449718,0,0.00808072983732078,0,0.0885035035500845,0,0.0700032170548301,0.0514493800720762,0,0.0421771210328614
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.139320338283577,0.0302600166703932,0,0.0302427545418891,0.0433057435566968,0.021570874262779,0.0278871464098282,0.0268145907939432,0.0198345186916056,0,0,0.0478898370805631,0.0384996634384604,0,0,0.028375032248649
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis",0.367049418128902,0,0.106583022910209,0,0.0208662820176873,0.0634020251296538,0,0,0.01103065536032,0.00891863053667195,0.0640690182670972,0.0803224872566429,0,0.117352765809042,0.111842542756639,0.0634291232115243
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii",0.0403827067488628,0,0.0179982801312675,0.021712746850587,0.0701100758148353,0.0410794876145038,0,0,0.0114477006028711,0,0.0274581506858988,0.0351351611907747,0,0.0497349234568217,0.0573565413083336,0.0248277182936504
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0443381503815478,0.0145413068572789,0.0535454452748905,0,0.0409601523358869,0.0532225665822727,0.0146407518651598,0.0110052884721825,0.00808072983732078,0,0.0390194772904878,0,0,0.0457710874519924,0.0879133740634487,0.0275358886941646
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0.111557858955106,0,0,0.00855987073919801,0.0315808525809377,0,0.0212739389686482,0.0389786397011256,0.0550130228419242,0.0788735569897906,0,0.063378358137936,0,0.0272810732609778
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C",0.0555262217796864,0,0.051100707011756,0,0.118220153006106,0.0421455682930749,0,0,0,0,0.116414482981539,0,0.0299364689316605,0.0450545738590984,0,0.0305598783908614
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E",0.104111665836912,0.0403190781042734,0,0.021712746850587,0.0373643631285576,0,0,0.0559707875584844,0,0.0503002568700075,0.0384622125895659,0.0914978156009759,0.0307119334573205,0,0.110452315055568,0.0387268783368168
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000195595",0.105499821381404,0.0530285579938172,0.0639502578344613,0.0300638033315821,0.105207028873198,0.0197914587091154,0.00427021929400496,0,0,0.0425561529123,0.105848290668543,0,0.0116883586037347,0,0,0.0361269299734774
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp000220835",0.0486585048753568,0.0488099810593978,0.0719617646363395,0,0.0145305856611058,0.160327154163643,0.0719425659891888,0,0.0662716045825035,0.0240037283484468,0.23922723736981,0.144213271558187,0.113058207122676,0.00865128921093606,0.167075530906535,0.078582095032275
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia",0.0133544077697982,0.180205450626735,0.09322625683117,0.103649024661755,0.099168713277274,0.0329225797661462,0.224294532262687,0,0.0616050336549051,0.0189966830431113,0.0553756973544271,0.0757195256217853,0,0.203137417409738,0.11117907863839,0.0848556267278615
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia bouchesdurhonensis",0.0495769837318628,0.163142333591975,0.0159710013252731,0,0.249063763147209,0.067888954560931,0.0301636228945439,0.165138202230571,0.0519704917133091,0.0766199438629816,0.329359415348106,0.110017478294148,0,0.139752190252513,0.160272718330003,0.107262473285562
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia cardiffensis",0.0689766730182439,0.168251390434656,0.0975861294693041,0.203649217315739,0.129989402963009,0,0,0.0812526464799337,0,0,0,0,0,0.141930336177014,0.0594808576530867,0.0634077769007324
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia hongkongensis",0,0.0336944841053832,0,0,0,0,0.0702189631866222,0,0.0136362316004788,0.0288332651445441,0.058838894326926,0.0467441471982529,0,0.0936533376467602,0.0898397366412881,0.029030603990017
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis",0.142781713147765,0.0287917875774123,0.0583425418941276,0.0488536804138208,0,0,0.0722652495908529,0.0411848758105461,0.0730804667362564,0,0.109832602743595,0.0424671861475996,0.0402351130464952,0.0943216916568704,0,0.0501437939176894
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica",0.135107297502356,0.122950763169258,0.0409782270845822,0.100033726561633,0.161231058182291,0,0.0805775337618978,0.0194410571957842,0.0304129286604619,0.00713490442933756,0.0188028640566481,0.0201801951454706,0.011609180624061,0.046830603365233,0,0.053019355982601
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_A",0.174064739431094,0,0.107829069275838,0.0764826946310487,0,0.0348785683287231,0.110626093443159,0.0103896079982143,0.00969687580478494,0,0.0398143184945533,0.0426379820700548,0.0148171608785318,0.0466979850763819,0.0744287828915478,0.0494909252215955
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B",0.156886589960422,0.0226617769204347,0,0.149567421574621,0.116971214571901,0.108219218813953,0,0.0288721738055638,0,0,0.0494246712346178,0.0245946128335423,0.0108588621866955,0.0756825814892933,0.104695016483613,0.0565622759916438
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_C",0.0180460220783981,0,0.0440383899089629,0.0833274276064196,0.0272062029399427,0,0.183357570053356,0.00356107578489518,0.0104944543341828,0.0436202111702683,0.068645376714747,0.065148477992686,0,0,0.228625342767874,0.0517380367567821
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia pyogenes_A",0.147875880230737,0.121510088406636,0,0,0.0368853328320377,0.00980494284671773,0.0298261745586366,0.00761904586535712,0.0233478794904407,0.0420449725300249,0.0308904195216361,0,0.0230467232948633,0.08218040096289,0,0.0370021240359985
