"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0,0,0,0,0,0,0,0.0223450832154203,0,0,0,0.012767563012523,0,0,0,0.00234084308186288
"m__2-Hydroxypentanoate",0,0,0,0,0,0.018276190568535,0,0,0,0,0,0,0,0,0,0.001218412704569
"m__C00003_NAD+",0,0,0,0.121342915048001,0,0,0,0.0611459568050028,0,0,0,0,0,0,0,0.0121659247902003
"m__C00008_ADP",0,0,0,0,0,0,0.0040095047893849,0.0160840027033568,0,0.0099374975191184,0,0,0,0,0,0.00200206700079067
"m__C00020_AMP",0,0,0,0,0,0.00918717132579202,0,0,0,0.00278672980508683,0,0,0,0,0,0.000798260075391923
"m__C00024_Acetyl CoA",0,0,0,0,0,0,0,0,0,0,0,0.00506237633201077,0,0,0,0.000337491755467385
"m__C00041_Ala",0,0,0,0,0,0,0,0.00830213108431964,0,0.0108709969608156,0,0,0,0,0,0.00127820853634235
"m__C00047_Lys",0,0.114230776502193,0,0,0,0.054044030310229,0,0,0,0.00636019862286113,0,0,0.0145424413254156,0.14125423434573,0.169360562117653,0.0333194828816055
"m__C00049_Asp",0,0,0,0,0,0.0320539120931331,0,0,0,0,0,0,0,0,0,0.00213692747287554
"m__C00055_CMP",0,0,0,0,0,0,0,0,0,0.0242915347904915,0,0,0,0,0,0.00161943565269943
"m__C00064_Gln",0.0780088422989656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520058948659771
"m__C00065_Ser",0,0,0,0,0,0,0,0,0,0.00309682602222663,0,0.0187329068490732,0,0,0,0.00145531552475332
"m__C00077_Ornithine",0,0,0,0,0,0,0,0,0,0,0,0.00900620441512609,0,0,0,0.000600413627675073
"m__C00086_Urea",0.0721642789464698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00481095192976466
"m__C00099_beta-Ala",0,0,0,0,0,0.0127677376721849,0,0,0,0,0,0,0,0,0,0.000851182511478996
"m__C00105_UMP",0,0,0,0,0,0.0148137595065757,0,0.0216905848346727,0,0,0,0,0,0,0,0.00243362295608323
"m__C00114_Choline",0,0,0,0,0,0,0,0.00367616084978517,0,0,0,0.00160906432554577,0,0,0,0.000352348345022062
"m__C00134_Putrescine",0,0,0,0,0,0,0,0,0,0,0,0,0,0.116226590218668,0,0.00774843934791119
"m__C00147_Adenine",0,0,0,0,0,0,0,0,0,0,0,0.00155216198758422,0,0,0,0.000103477465838948
"m__C00148_Pro",0,0,0,0,0,0.0296388297691827,0,0,0,0.00462547075101248,0,0,0.00760253085994196,0,0,0.00279112209200914
"m__C00152_Asn",0,0,0,0,0,0,0,0,0,0,0,0.00639094227534269,0,0,0,0.000426062818356179
"m__C00170_5-Methylthioadenosine",0,0,0,0,0,0.0198413429473172,0.0124299971441565,0,0,0,0,0,0,0,0,0.00215142267276492
"m__C00178_Thymine",0,0,0,0,0,0.00791464634256986,0,0,0,0,0,0,0,0,0,0.000527643089504657
"m__C00179_Agmatine",0,0,0,0,0,0,0.001886220893785,0,0,0,0,0.0117926945248154,0,0,0,0.00091192769457336
