"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0,0.130947443146259,0.102302591964819,0.171879306160164,0.19951764536849,0,0,0,0.14836296274462,0.104824071745491,0.164636289836765,0.0462829389784597,0,0.00272374961723599,0.163911124634656,0.0823592082797973
"m__2-Hydroxyisobutyrate",0,0.010517109542917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000701140636194468
"m__2-Hydroxyoctanoate",0,0,0.0283364051080689,0.0440209189908973,0,0,0,0,0.136558653341585,0,0.0311787375073184,0,0,0.0101056247077054,0.0597873030707791,0.0206658428484236
"m__2-Hydroxypentanoate",0,0,0,0.12865088521888,0.0112247018137253,0.0546429334767046,0,0,0,0,0.0219794278115065,0,0,0,0.0301996964905077,0.0164465096540883
"m__C00003_NAD+",0.050770490770519,0.123952018982837,0,0.250047125910349,0.103967574253047,0.0594807071315802,0,0.328799075758333,0.0277258232202754,0.236290412020602,0.0742157490195684,0,0,0.153536253642008,0.0939141117211024,0.100179956162015
"m__C00008_ADP",0,0.0125495950322043,0,0,0,0.0302703317956916,0,0,0.0954234312906746,0.150944397547861,0,0,0,0,0,0.0192791837110954
"m__C00015_UDP",0,0,0,0,0,0,0,0,0.0193345605660778,0,0.100028476044552,0,0,0,0,0.00795753577404201
"m__C00019_SAM+",0,0,0,0,0.0535844039517991,0,0,0,0,0,0.190896093408309,0,0,0,0.037123726297813,0.018773614910528
"m__C00020_AMP",0,0,0.0238932276199416,0.0290056445761594,0,0,0,0,0.0381912544522452,0,0,0,0,0.0840629904237186,0.117973758401968,0.0195417916982688
"m__C00021_SAH",0,0.0951133856183906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00634089237455937
"m__C00024_Acetyl CoA",0,0,0,0,0,0.0383876086990053,0,0,0,0,0,0,0,0,0,0.00255917391326702
"m__C00025_Glu",0,0,0,0,0.010538997693104,0,0,0,0,0.0702353572187489,0.100429609077446,0.0279809363013152,0,0,0,0.0139456600193742
"m__C00037_Gly",0,0,0.0412662696707593,0,0,0,0,0,0.0704542218969651,0,0,0,0,0,0.107256871219272,0.0145984908524664
"m__C00041_Ala",0,0,0,0,0,0.0426004043883935,0,0.165865380555409,0,0,0.0369863938706158,0,0,0.141193416872106,0.0617155749187053,0.0298907447070153
"m__C00042_Succinate",0,0.010079978792723,0.0391285952974505,0.41262422695042,0.0864242616512186,0,0,0,0,0,0.100728655523707,0,0,0.0179868604461672,0.338201260447778,0.0670115892739643
"m__C00043_UDP-N-acetylglucosamine",0,0.0327049045851349,0,0,0.0134892565554607,0,0,0,0,0.367639971138565,0,0.071971088480212,0,0,0,0.0323870147172915
"m__C00047_Lys",0.106235399708792,0.127342715675861,0,0.195156342736486,0.0043392570681191,0.183180367910258,0.136981475403927,0,0.154699536071066,0.406010176233678,0.0262567842372818,0,0,0.0745811796697537,0.749589675280547,0.144291527333051
"m__C00049_Asp",0,0.191524813944589,0.0294846724960411,0.0376933101631208,0.292189765916805,0.133532203991111,0,0,0.145107586456134,0,0.28320031828581,0,0,0.0181036521647217,0.215458894183117,0.0897530145067633
