"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.100519485967837,0.0540843735957598,0.0947100196887455,0.0889912202976722,0.0800367602002547,0.273696877616966,0.0684233342790821,0.074916593687961,0.175220092582416,0.348153476727896,0.153029295986664,0.238633369562524,0.249669010610002,0.0607048824825026,0.0652130817471413,0.141733458335562
"m__2-Hydroxyoctanoate",0.0385243702418237,0.0358068678187582,0.0324963643580147,0.0395201329371658,0.0078282410514257,0.0919888542787606,0.141736220348209,0.0193565857428467,0.0490538367403398,0.131712267177719,0.00718378028091164,0.0272945672187994,0.0249861282830891,0.0264031904624046,0.0149072044867762,0.0459199074284696
"m__3-Indoxyl sulfate",0.0327716926434307,0.00619419693044374,0.00267227942787804,0.00959595602017301,0.00746848561928434,0.0219010115299914,0.0287349353040967,0.0170039902185569,0.170421619106539,0.106589753232621,0.0656855682507149,0.000238849288784446,0.0154864023783886,0.0112040241415137,0.0406236594562056,0.0357728282365748
"m__C00003_NAD+",0.102596240262247,0.0449328830054241,0.0666261624557013,0.0598080604053454,0.0587205116991602,0.332418805023237,0.121650484386404,0.0381509746486397,0.103379458594346,0.464263945439773,0.113846836840062,0.132687804919778,0.0290844223241118,0.0953281270743835,0.0825555064455435,0.12307001490161
"m__C00016_FAD",0.000391545041211385,0,0.000519965146288224,0,0,0.0606367283853416,0,0.0213383805750334,0.00154613143521077,0.0906018571861717,0,0,0,0.00240298044239964,0.00238382523714149,0.0119880942299199
"m__C00020_AMP",0.215060892768542,0.0789136337226741,0.135454168314851,0.0954139640370612,0.0644497652628391,0.144772147887678,0.0660366665326673,0.0743746613873143,0.315332639967328,0.225806561333955,0.109064079439481,0.151645653363404,0.0753754631422759,0.114146454425606,0.123372227280175,0.132614598591057
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00026_2-Oxoglutarate",0,2.99427808574144e-05,0.00076067544859274,0,0,0,0,0,0,0,0,0,0,0,0,5.27078819633436e-05
"m__C00037_Gly",0.209916605213979,0.090993622267618,0.0757552180769483,0.0417506378496179,0.0366242350498445,0.357727731147487,0.0761114404932018,0.105026831761932,0.218098147925068,0.244292053597639,0.0834735355047615,0.0645601066105685,0.051143874518369,0.0729235275395152,0.0928975736987894,0.121419676083689
"m__C00041_Ala",0.0564180577164795,0.0915938977982432,0.121076474257811,0.150800830522021,0.0157200919021955,0.347846253935709,0.0609103528631868,0.0889339583801434,0.171359085145026,0.195798666727305,0.0747601131870664,0.161576451160231,0.107181973114372,0.0329364631009834,0.104175366142096,0.118739202396858
"m__C00047_Lys",0.141746812780956,0.117877392689346,0.075638731519035,0.0728416950240896,0.136722141245487,0.135665355604634,0.101624972026029,0.114385670827745,0.340306873527717,0.229913237456668,0.0634975843036516,0.0769148428474494,0.0612955193677628,0.12234063682453,0.121637706290814,0.127493944822394
"m__C00055_CMP",0.0438915183803727,0.0710179372541212,0.0397316669845986,0.0602755973806502,0.0340478541857079,0.0869234866052518,0.0461496447345248,0.11438279433867,0.106433128383129,0.247177510751727,0.0201922924381289,0.0816092947151699,0.032095383109454,0.00994207990147875,0.0444641089401056,0.0692222865402061
