"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.876163720078395,0.822873079539392,0.453432875934609,0.411800548936079,0.698300658412724,0.852506710270632,0.682748558744257,0.305064610451966,0.74323638010222,0.481112445717595,0.767754044420224,0.610832769446792,0.44189964619375,0.699511324489958,0.560922037212522,0.627210627330074
"m__2-Hydroxyoctanoate",0.232896328456787,0.281887713182227,0.139384413957155,0.133660476432316,0.287847803735526,0.30997189184327,0.365411803748141,0.0813667035672025,0.280544909733434,0.140758934220711,0.243494878336035,0.294268096917359,0.126915290412963,0.23716962088414,0.316072751990913,0.231443441161212
"m__3-Indoxyl sulfate",0.295364630815373,0.17326432026822,0.0610797956261175,0.0679792946528147,0.185005756952536,0.273838610956261,0.17021662551095,0.0561435633067839,0.263381695898432,0.0639527193424168,0.33423561731863,0.181101509990338,0.0567916661927125,0.174976475696156,0.167191754183469,0.168301602447414
"m__C00003_NAD+",0.508535841903648,0.482701562004819,0.297215042399736,0.208975873195636,0.48761431265259,0.476416286799657,0.496755420766017,0.186954153541983,0.463087854163856,0.276263600035453,0.438806701949532,0.499653939583591,0.259410276240277,0.449663742612699,0.50134966300732,0.402226951390454
"m__C00016_FAD",0.0434962392641566,0.0506384075855425,0.0126636643965646,0.0244330702659363,0.0604682532926519,0.0642082758695819,0.056588133153014,0.0231869191471899,0.064616598113649,0.0593081772953732,0.0728509821681379,0.0655392676656128,0.027911764033008,0.0925968461699461,0.0906963893933479,0.0539468658542475
"m__C00020_AMP",0.494524799527835,0.568175700760543,0.341698535559151,0.28809914657493,0.432055062703222,0.470186238442508,0.470853068407719,0.20883786279002,0.377959738173098,0.405746964001858,0.537308284209789,0.617126891997738,0.30368357707046,0.504935014652499,0.516543331218554,0.435848947739328
"m__C00022_Pyruvate",0,0,0,0,0,0.00330562326366246,0.00742585560072378,5.9062125463345e-05,0.00355561413283228,0,0.00141353510632705,0.00432030905140283,0,0.004038309318446,0.00275888969438316,0.00179181321954939
"m__C00026_2-Oxoglutarate",0.00447095059416524,0.0110274114153643,0.000597279080875262,0.000388303488497442,0.0164784023862481,0.00961356632639117,0.0123448587560488,0.000738299523940102,0.0109411779166933,3.59034905304404e-05,0,0.0110688618359237,0.000107180518191653,0.0110419772245241,0.00877262361654314,0.00650845307826245
"m__C00037_Gly",0.660566334559659,0.706782137939649,0.486636319087977,0.39211201385359,0.673455881381461,0.818031913682199,0.623128272050046,0.349273339671865,0.614468889013718,0.610542416283185,0.672988936101622,0.722531596586015,0.422487641615013,0.657923612706767,0.677693931360811,0.605908215726239
"m__C00041_Ala",0.744803462899169,0.68345758960045,0.377402444292421,0.340770086926805,0.612815026547487,0.766816041151379,0.516732342168797,0.31466322087675,0.594846415874088,0.470455706181873,0.667498129496344,0.679401755171881,0.438232020059224,0.753014057190479,0.671393748980688,0.575486803161189
"m__C00047_Lys",0.673538559266547,0.792588120007303,0.517293027480514,0.364719071503908,0.72462754798456,0.592830684342426,0.669252918206232,0.316196469655182,0.618068507829636,0.474013659165536,0.672449277053438,0.537793153951361,0.449371983069364,0.721058943004902,0.639935387444893,0.58424915399772
"m__C00055_CMP",0.421129183259049,0.52664464342377,0.287705406630303,0.210181146480666,0.453904030936627,0.373387274690893,0.341872437241772,0.212797335691306,0.311430349981212,0.238563583714624,0.501144164988826,0.41655215104787,0.212244766748506,0.46285182470116,0.459920893216334,0.362021946183528
"m__C00064_Gln",0.826855755580875,0.721495438055131,0.429816647800742,0.332518282702444,0.69374308106691,0.587302903906648,0.625721241040123,0.282130227762553,0.589875664471217,0.488410254528918,0.609433647708488,0.567463340006286,0.325446347606252,0.615220138633305,0.739708168284855,0.562342742610316
"m__C00065_Ser",0.708522497107515,0.618493576939778,0.520408075801567,0.413436634993556,0.536660661796948,0.674508830122769,0.611917723912898,0.307591516635368,0.727987366139259,0.606163950242512,0.669962025833289,0.482898908176548,0.405737754532178,0.654498256746243,0.761936571905686,0.580048290059074
"m__C00077_Ornithine",0.743739387569007,0.933946740269605,0.543007800935617,0.484279377848452,0.747168975312266,0.825035084061726,0.844444401656581,0.371519755423352,0.727038889801417,0.890874063207868,0.857641663427321,0.875919784351295,0.630684877244114,0.895105875744073,0.609890250650573,0.732019795166884
