"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.659882978330238,0.684769004795192,0.437517373289193,0.28167358887006,0.496683733722645,0.470951859687519,0.0987815524686106,0.231236032808978,0.384512233094225,0.372621258321768,0.511434543974734,0.536698557287248,0.379018732108283,0.525619710501154,0.51710714598414,0.439233887016266
"m__2-Hydroxyoctanoate",0.0443126782478075,0,0.195412114105336,0,0.189698359620837,0.137670069408837,0.0741262067246659,0.131594682125877,0.103687722117353,0.0815348721494081,0,0.0358513194449386,0.108502546785727,0.250275263969506,0.0303198031413154,0.0921990425227739
"m__3-Indoxyl sulfate",0,0,0.00633878984503538,0,0,0,0.0110924410520978,0,0.209248414611378,0.0301324144712838,0,0,0.0113416133874589,0.029711134047905,0.00278747980490762,0.0200434858146711
"m__C00003_NAD+",0.0773654965582698,0.0631333478264661,0.164380534171271,0.078795653672254,0.371495700900586,0.0523260547071162,0.0385345181676101,0.0185730115842672,0.23045266686015,0.079591486320756,0.0302912473638231,0.0819582935165332,0.178358334719137,0.1228803944949,0.0396395175332623,0.108518417226427
"m__C00020_AMP",0.0589472234530151,0.0991278502988119,0.129609968916037,0.273068335767326,0.0589854678218343,0.0721297392435952,0.0367275767568734,0.107222141409253,0.166531713532748,0.0898576226836366,0.111846270889419,0.0660930194811127,0.0288593051220794,0.0901753767009305,0.115959539618619,0.100342743446353
"m__C00037_Gly",0.0566620437475472,0.512826297934791,0.0977869840854469,0.210713809842065,0.0960636299492431,0.243498716981303,0.0237421073801746,0.138291214818239,0.0524271521365482,0.560917715348752,0.0474132768098753,0.42465624535444,0.0739241259413567,0.271313712724063,0.209312632344241,0.201303311026539
"m__C00041_Ala",0.0895226874506639,0.20242534686967,0.493506205628336,0.0881770422410637,0.182982839293325,0.218397857088607,0.00559107971193349,0.125527435750484,0.383010013952588,0.299771103199749,0,0.0721878926189701,0.177110480240417,0.176687038220284,0.0853206239102299,0.173347843078421
"m__C00047_Lys",0.303685122603897,0.489597460504137,0.142092363713322,0.054582754670404,0.0833527994084449,0.148406986151106,0.0063540377087238,0.209817202229366,0.0273612744515509,0.407831946460156,0.449154321996758,0.316125832883481,0.433049453894307,0.0621933999263419,0.146446642914095,0.218670106634406
"m__C00055_CMP",0.0255656954390628,0.0217143154361831,0.158226897610827,0.405062081137177,0.0754834422546118,0.0333554679721428,0.0314980511929846,0.272960689580174,0.130147808105442,0.133474600224121,0.474148075750303,0.169813371790801,0.117112453154881,0.0807552818401563,0.00644150686988464,0.14238398255725
"m__C00064_Gln",0.0208232139818436,0.0913733883657103,0.027545093831672,0.113505426196766,0.00661517583881919,0.0808731404163926,0.00601551630233915,0.0155684034820987,0.065422536269863,0.15546708762074,0.0786957761316286,0.0717550321576151,0.132934113565634,0.0645097561420821,0.0502824709039318,0.0654257420804757
"m__C00065_Ser",0.0945234831227493,0.0703649746660869,0.0651179733303763,0.246503926471764,0.070911221552561,0.243843456226788,0.0796085772572857,0.182500340055535,0.0887662178513267,0,0.490128394421914,0.319149978547487,0.0704501400156794,0.13954479628409,0.0693850401113512,0.148719901327666
"m__C00077_Ornithine",0.232838307519172,0.0857461700131684,0.173933658925537,0.452735073538729,0.881545457790089,0.201672345250866,0.196815837184159,0.182559469506372,0.216638425341346,0.809936998967062,0.561238649512242,0.538564281671592,0.596698458491216,0.601685106248002,0.167756906908748,0.393357676457887
"m__C00079_Phe",0.293666016997532,0.0944976525485281,0.877306582234324,0.110741391219585,0.508889841572806,0.298353027950575,0.00636251844043434,0.40226205990782,0.19370601940295,0.313167309595014,0.25720608149627,0.0359340951587707,0.585053586064357,0.335584333526418,0.225618063946632,0.302556572004134
"m__C00082_Tyr",0.608965786032642,0.720387041395128,0.498447258064847,1,0.0157283408360658,0.340897028633743,0.0246245160485476,0.889638359243409,0.561765214609611,0.213212426931831,1,0.510751593745751,0.786048246760189,0.812416376272343,0.418405588302529,0.560085851791776
"m__C00086_Urea",0.22723832947715,0.382429028291509,0.330315967612791,0.928804816968206,0.254074533253055,0.344914345135241,0.10024262997503,0.153183391862515,0.0644122223863517,0.35368165025766,0.45809971502044,0.338717608003451,0.546234610153587,0.0951486436656857,0.109812167603508,0.312487310644412
"m__C00093_Glycerophosphate",0.167707792252624,0.0457996868922695,0.0335514080009302,0.207474502602671,0.12908941489502,0.0285864255072657,0.0275839050233777,0,0.012127509820548,0.00398681009394986,0.137319453043299,0.21403391477881,0.154742734181049,0.0875091053311288,0.154368717496764,0.0935920919946472
"m__C00097_Cys",0.0702433260677066,0,0,0,0,0,0,0,0,0,0,0.0266591946663149,0,0,0,0.00646016804893477
"m__C00105_UMP",0.104611621997345,0.0668484615269616,0.0503031992901936,0.218649182249965,0.0249732619219735,0.0487893837240454,0.0339543994773247,0.244286664892667,0.174452304512662,0.330977155361738,0.12688829392546,0.110200205986434,0.183176273504223,0.166891938749334,0.108220741161382,0.132881539218781
"m__C00122_Fumarate",0.0748818472642621,0.109089670341444,0.0747533532268394,0,0.0349152309019344,0.00269890397169008,0,0.0567501154790132,0.0249521213267536,0.0105719026759342,0.068800882996065,0.0211663032271849,0.0864872155885113,0.0102303706753464,0.00456669510968196,0.0386576408523107
"m__C00123_Leu",0.383631552990813,0.275181859747172,0.44156550472958,0.414625947491195,0.37541530284547,0.235943397545355,0.0242900051622829,0.124827078700914,0.183356844098573,0.200407794220205,0.1254569741588,0.279811180384384,0.198198300361101,0.122618091384945,0.235844855471437,0.241411645952815
"m__C00127_Glutathione(ox)",0.0766216649968044,0,0.00916670558858735,0,0.0278667143364518,0,0.0258308930662224,0,0,0.00422123367349437,0,0.157965762327695,0,0.0353492201677109,0.0990416912635143,0.0290709256946987
"m__C00128_CMP-N-acetylneuraminate",0.0374309058125961,0,0.0323916313951367,0,0,0,0,0.0249366132986366,0.0324278907194065,0,0,0.0613984011964175,0,0,0.0214139552360337,0.0139999598438818
"m__C00130_IMP",0,0,0.00409353323164375,0,0,0,0,0,0,0,0,0,0,0,0,0.000272902215442917
"m__C00134_Putrescine",0.0689915851331226,0.170900820876091,0.0628835135049716,0.152390318444871,0.0729049247981026,0.182387559687481,0.0358315867710185,0.0528458801878575,0.0799835375325556,0.283484606146054,0.125339222993027,0.0425157515148974,0.0570734783502797,0.0488838268596739,0.041344559170061,0.0985174114646711
"m__C00140_N-Acetylglucosamine",0.320795456837615,0.28168059710046,0.978373578599322,0.385315922402304,0.626142121823055,0.404774016028004,0.0971759370736283,0.10581543044387,0.346570655629587,0.981665100281405,0.303623138154798,0.408044634688992,0.608003165571882,0.505373576110244,0.393862834704735,0.449814411029994
"m__C00144_GMP",0.145201373064006,0,0.00578283110752083,0.214308030834706,0,0.0368793413585451,0,0.108469104949355,0.0418597407874019,0,0.150157409758405,0.164691812678695,0.0947208854989488,0.149706615140424,0.223597903735578,0.0890250032609056
"m__C00156_p-Hydroxybenzoate",0.0118405878168829,0,0,0.0759669310945717,0,0.00149845017184062,0.0196497307644649,0.018527834026324,0.0149581843542269,0,0.234674522734598,0.127995527088533,0,0.0283579118360814,0.0692812098600331,0.0401833926498371
"m__C00163_Propionate",0.328314778030164,0.130067623545651,0.156374677114353,0.113551259210804,0.506468179326469,0.233543787948806,0.0306892350452459,0.177249812663493,0.28508945216879,0.0927646679711648,0.689754663091089,0.599109504357524,0.0580716932617269,0.114252698159199,0.178521673669874,0.24625491370429
"m__C00178_Thymine",0.120847749178708,0.0818974801882197,0.140888948263545,0.255307304296557,0.158686016115186,0.413332663264176,0.0542376877074203,0.0552040473077567,0.420755030530459,0.0727485617620822,0.134962654402575,0.149684236508812,0.14856939573509,0.328741747785189,0.0789942952491855,0.174323854552997
"m__C00183_Val",0.0268605049597006,0.252794018530446,0.139380162030967,0.253450747565339,0.11420079488559,0.170748798504285,0.0355828339987962,0.217377816909904,0.431574835408862,0.189298167707111,0.140441996572825,0.71265363643654,0.0570884608074881,0.17148174755627,0.0796935559170387,0.199508538519411
"m__C00188_Thr",0.262857668309183,0.527166152347327,0.310125144851568,0.19001088969486,0.282957065246193,0.191719456654524,0.00770485209017502,0.205493479151012,0.419552466132898,0.283785811602698,0.558009006768554,0.734046243964017,0.188672965392519,0.208260234459518,0.200256874088841,0.304707887383592
"m__C00191_Glucuronate",0.0230396946284316,0.390908694509262,0.214700847196279,0.129616877007647,0.371207261193012,0.0685083145884006,0.100521921339623,0.137541580312376,0.0347181387112266,0.525164954122395,0.154587788312824,0.382090579606324,0.190411672823595,0.314699470022411,0.0584279310645248,0.206409715029222
