"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0.18636844683867,0,0,0,0,0.103840107267121,0,0,0,0,0.0968366135808305,0,0,0,0.0258030111791081
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0,0,0,0.0218291775520403,0,0,0,0,0,0,0,0,0,0.0249726722185891,0.00312012331804196
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0.0744572485742978,0,0.0172711624296013,0,0,0,0,0,0,0,0.127946155145046,0,0.0146449710765963
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0,0,0,0,0,0,0.0317028636750822,0,0,0,0,0,0,0,0.00211352424500548
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0175003971240267,0.0796820667402516,0,0,0.00331132326126511,0.0253187781116808,0.002268581596392,0.00912867461104349,0,0,0.00222828565173999,0.169724073882102,0.0922429736106253,0,0,0.0267603436392751
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249279558970667,0,0.00166186372647111
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis",0,0,0.0422042617218009,0,0,0,0,0,0,0,0.0177866562120461,0,0,0,0,0.00399939452892314
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum",0,0.103727340518285,0,0,0.0135205993435965,0,0,0.0196167346275955,0,0,0,0,0,0,0,0.0091243116326318
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cebidarum",0,0,0.163028234201497,0.0514602865750402,0.217039350874146,0,0.0472855894332404,0.130495784535301,0.0392444053178707,1,0.000150217842450061,0,0.201894858684293,0.449833715163211,0,0.153362162841803
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium felsineum",0,0.415428283671078,0.0980642462171768,0,0.0540943619233057,0,0.219152746401069,0.123989338800004,0,0,0.132544458244555,0,0,0,0,0.0695515623504792
