"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__2-Hydroxyoctanoate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__3-Indoxyl sulfate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00003_NAD+",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00016_FAD",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00020_AMP",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00022_Pyruvate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00026_2-Oxoglutarate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00037_Gly",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00041_Ala",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00047_Lys",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00055_CMP",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00064_Gln",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00065_Ser",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00077_Ornithine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00079_Phe",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00082_Tyr",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00086_Urea",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00093_Glycerophosphate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00097_Cys",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00104_IDP",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00105_UMP",NA,NA,NA,NA,NA,NA,NA,0.136452044472118,0,NA,NA,NA,NA,NA,NA,0.0682260222360592
"m__C00109_2-Oxobutyrate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00122_Fumarate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00123_Leu",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00127_Glutathione(ox)",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00128_CMP-N-acetylneuraminate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00130_IMP",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00134_Putrescine",NA,NA,NA,NA,NA,NA,NA,5.21833608442458e-07,0,NA,NA,NA,NA,NA,NA,2.60916804221229e-07
"m__C00140_N-Acetylglucosamine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00144_GMP",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00156_p-Hydroxybenzoate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00160_Glycolate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00163_Propionate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00166_Phenylpyruvate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00178_Thymine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00183_Val",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00188_Thr",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00191_Glucuronate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00214_Thymidine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00242_Guanine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00255_Riboflavin",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00257_Gluconate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00262_Hypoxanthine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00263_Homoserine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00294_Inosine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00299_Uridine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00300_Creatine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00314_Pyridoxine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00322_2-Oxoadipate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00327_Citrulline",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00329_Glucosamine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00352_Glucosamine 6-phosphate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00357_N-Acetylglucosamine 6-phosphate",NA,NA,NA,NA,NA,NA,NA,0.0467370751896985,0,NA,NA,NA,NA,NA,NA,0.0233685375948492
"m__C00364_dTMP",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00366_Urate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00371_trans-Zeatin",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00378_Thiamine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00388_Histamine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00407_Ile",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00408_Pipecolate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00417_cis-Aconitate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00489_Glutarate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00491_Cystine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00575_cAMP",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00581_Guanidinoacetate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00584_Prostaglandin E2",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00588_Phosphorylcholine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00612_N1-Acetylspermidine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00628_2,5-Dihydroxybenzoate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00631_2PG",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00643_5-Hydroxytryptophan",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00647_Pyridoxamine 5'-phosphate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00689_Trehalose 6-phosphate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00711_Malate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00719_Betaine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00745_Nicotine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00750_Spermine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00785_Urocanate",NA,NA,NA,NA,NA,NA,NA,0.0169726110250227,0,NA,NA,NA,NA,NA,NA,0.00848630551251137
"m__C00791_Creatinine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00803_Valerate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00818_Saccharate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00860_Histidinol",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00864_Pantothenate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00881_2'-Deoxycytidine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00979_O-Acetylserine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C00993_Ala-Ala",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01004_Trigonelline",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01005_O-Phosphoserine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01042_N-Acetylaspartate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01047_N-gamma-Ethylglutamine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01073_N-Acetyl-beta-alanine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01089_3-Hydroxybutyrate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01118_o-Succinylhomoserine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01152_3-Methylhistidine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01180_4-Methylthio-2-oxobutyrate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01239_N-Acetylglucosylamine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01419_Cys-Gly",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01585_Hexanoate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01586_Hippurate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01736_Purine riboside",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01771_Crotonate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01909_Desthiobiotin",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C01921_Glycocholate",NA,NA,NA,NA,NA,NA,NA,1.69850584613325e-05,0,NA,NA,NA,NA,NA,NA,8.49252923066624e-06
"m__C01996_Acetylcholine",NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0.5
"m__C02137_Benzoylformate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02155_Gly-Leu",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02256_Castanospermine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02291_Cystathionine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02294_Methylguanidine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02354_2',3'-cCMP",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02356_2AB",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02376_5-Methylcytosine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02421_Isonicotinamide",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02470_Xanthurenate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02494_1-Methyladenosine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02504_2-Isopropylmalate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02567_N1-Acetylspermine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02614_Citramalate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02642_3-Ureidopropionate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02678_Dodecanedioate",NA,NA,NA,NA,NA,NA,NA,0.145457980182978,0,NA,NA,NA,NA,NA,NA,0.0727289900914889
"m__C02679_Dodecanoate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02712_N-Acetylmethionine",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02734_Phenyl phosphate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02918_1-Methylnicotinamide",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02953_7,8-Dihydrobiopterin",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C02989_Methionine sulfoxide",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
"m__C03030_2,4-Dihydroxypyrimidine-5-carboxylate",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0
