"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.386978637269243,0.358313022018205,0.603616295421519,0.391391104338596,0.424362624178742,0.448411643936241,0.699357462013761,0.413045251524711,0.543627915731554,0.47253685546845,0.456859877037718,0.609625086048708,0.44990636858478,0.521993406752563,0.439037670805316,0.481270881408674
"m__2-Hydroxyoctanoate",0.116759748633273,0.123710412344778,0.225718837377187,0.161307769909046,0.146956529922962,0.169678956959315,0.151674783116273,0.138374240926749,0.187062128066067,0.136433570421549,0.109393448751452,0.114075499189682,0.169632085279278,0.155225581477897,0.13212230293587,0.149208393020758
"m__3-Indoxyl sulfate",0.107673068343178,0.137568838936605,0.185473979923671,0.188051772944599,0.108824755299262,0.264023275063075,0.150312872807662,0.227866208217047,0.186446680377848,0.129402196812398,0.231705424918497,0.23306558782692,0.133794042476169,0.248516116764168,0.255818179051147,0.185902866650816
"m__C00003_NAD+",0.497191660424286,0.455629587301228,0.468479306454705,0.348233933325287,0.42337326753856,0.418417559367259,0.373738312228868,0.220971892557521,0.409720892290461,0.316862133601295,0.303133442328524,0.422711082032515,0.315471111150917,0.340497627793318,0.406455306289036,0.381392474312252
"m__C00016_FAD",0.0443321010089877,0.0152260115950395,0.0590042534909548,0.0237924591286807,0.0422023727922323,0.038843274953733,0.0502858354668812,0.032452275779316,0.0479089539369214,0.0290916556020557,0.0408216107093193,0.0397399579408929,0.0584178075251401,0.0418535820101627,0.029891095620097,0.0395908831706943
"m__C00020_AMP",0.355347823866892,0.321269956047907,0.484976051258537,0.305581473207218,0.341718343455514,0.453882064530052,0.375305922972761,0.321721541121603,0.436123260773514,0.371646666140401,0.367003819356209,0.453679779699584,0.330744550218222,0.375671894547936,0.337739491122374,0.375494175887915
"m__C00022_Pyruvate",0.000846898235191666,0.000478860387957429,0,0,0.000292364290044544,0.000829321308794564,0.000327059534841254,0.000207625227391113,0.000138221368579459,0,0.000595514217627466,0.000111253972928862,0.000485827981061899,9.58582919251284e-05,9.72664101503719e-05,0.000300404748432917
"m__C00026_2-Oxoglutarate",2.85371134784963e-18,0.00158651377588951,0.00283683887288912,0.00438522326641384,0.00394507034542507,0.0014980214891808,0.00547000619378052,0,0.00420158853245542,0,7.0358391596661e-18,0.0028047659379513,0.00300880878470393,0.0013787275539104,0.00214465397821826,0.00221734791538788
"m__C00037_Gly",0.364771885611767,0.435684250332252,0.579162855611971,0.456659907586481,0.358152536221634,0.479240754999448,0.464889339274494,0.374192553266905,0.39453084106775,0.342102580002171,0.378653504935511,0.428700971676445,0.409639936330615,0.539182980635729,0.36049842038901,0.424404221196145
"m__C00041_Ala",0.45762689328636,0.327295526862849,0.573412841511437,0.387353787526416,0.394737906211966,0.339184881633522,0.459995377486364,0.323301701565077,0.380074175968736,0.388192460866104,0.459532688770926,0.483792410978541,0.420046430754942,0.574281046389968,0.366485730047498,0.422354257324047
"m__C00047_Lys",0.318156302752554,0.322634712352313,0.33329659502992,0.309116202984495,0.311963850470702,0.350351372740353,0.468183617750689,0.293276927399416,0.296225833784253,0.384940152529431,0.340829138027416,0.345232595141876,0.387117769788265,0.457674184933084,0.292047963284778,0.347403147931303
"m__C00055_CMP",0.200855746761453,0.250267389689139,0.281843987284158,0.205075328173253,0.282995069811496,0.221624926370147,0.267105446840165,0.233584439628207,0.267730585913001,0.235849943615405,0.298858394453302,0.238695359516341,0.26348094437634,0.256263776478791,0.174752581057782,0.245265594664598
"m__C00064_Gln",0.250536099166704,0.356222458213745,0.405747790328946,0.265585079777877,0.417113405537803,0.344360353591495,0.365775436246259,0.28120465157069,0.415956485990168,0.320284952671013,0.348850119607606,0.407220898915334,0.258328753610635,0.507322938124073,0.358371760967067,0.353525412287961
"m__C00065_Ser",0.288926402868441,0.338880028695703,0.519532906981011,0.36966896935347,0.327721870224901,0.343393207718551,0.403945552416157,0.277301032817736,0.495679549037755,0.332157687309778,0.384092061441966,0.38436094770917,0.404755147278582,0.37651406076653,0.36118770791857,0.373874475502555
