"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0812148488734587,0.0701293644825863,0.112731394439948,0.0768370648767837,0.188507574243788,0.0688184926139095,0.0567737416690643,0.0532979207956178,0.0526833409577598,0.0660513204729473,0.277553794894962,0.156722111885867,0.157199977562306,0.185191704178632,0.242520474771993,0.123082208447975
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.145046012185809,0.0866189706095009,0.0293830333744272,0.0427800659638347,0.0947180162239406,0.0415018347111579,0.04087465356891,0.139211352703459,0.034330054379859,0.0407572134580537,0.0638820262896426,0.0658714212710728,0.0558084612063993,0.106112305924406,0.030924371629494,0.0678546528999977
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0918238767063315,0.0932761553111788,0.0814875602441544,0.0161202618831489,0.0177925473778497,0.0840225290570597,0.00571814208562051,0.0832617564029493,0.0265933000733403,0.0714483933849128,0.140717569597756,0.127400648309236,0.08097869645141,0.191701185275976,0.133009266808227,0.0830234592646101
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.139554562037278,0.419485221339589,0.155849619840125,0.290389287013084,0.158823016019862,0.530356273516668,0.179665650141193,0.444572354596287,0.418950508863845,0.256300662385636,0.484736809884477,0.371518989842125,0.342324364738617,0.395797566585018,0.353885679976287,0.329480704452006
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.356364252660957,0.270097703897169,0.189954425673132,0.32651132401158,0.0647106739962339,0.373617577013662,0.169299511382322,0.248424130234345,0.17199942058411,0.12448018348097,0.128722083734434,0.157875249775399,0.347299472113204,0.239596806485086,0.262592106090868,0.228769661408898
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0.254013885700925,0.345519765718411,0.116050333613456,0.110882601183458,0.0674202930034715,0.352643241389149,0.189023229340223,0.258927971365173,0.184526887778467,0.141080767124805,0.209344082613648,0.189578592846725,0.0635126637829036,0.234212693388362,0.0615803570955532,0.185221157729649
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis",0.0158616149204726,0.00379465583117318,0.0226702238535458,0.000551535286157058,0.0831546221608579,0.024037931372079,0.0666764637023162,0.0943292632610645,0.129287486290919,0.058707466181811,0.0643316132402539,0.0576907366703945,0.131726970457621,0.13946951504182,0.0658094715811323,0.0638733046567745
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum",0.0790895393158668,0.0416290501192183,0.142713912018219,0.0336089144786952,0.0909368271312955,0.0736083776570417,0.12145980477119,0.0997649170714352,0.114513908340171,0.109188432005563,0.1161350405762,0.249953168993882,0.141648897838672,0.292371270410365,0.0608117813867555,0.117828922807638
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium callitrichos",0.0787391575213361,0.0653851643224857,0.302660127820409,0.170501500313298,0.0516332603379009,0.127790754775011,0.0410767514115289,0.117912756626024,0.0445814720517534,0.070814146692146,0.162280997788873,0.209772086421646,0.0994518843741439,0.289763955363869,0.174876875386198,0.133816059413775
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cebidarum",0.338289075958005,0.109845540026938,0.458280146590268,0.0899276972705067,0.167680958210918,0.230089151095163,0.204604250418233,0.0797479868199722,0.0270147096453203,0.109399272426631,0.239488879522082,0.185231084119989,0.104552788176484,0.260519676052685,0.104472215602871,0.180609562129071
