"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0,0.00881296407567436,0,0.182822709866786,0.313040190921682,0.110120070889948,0.0227865805390825,0,0.0155575194061266,0.107554929172681,0.331222393900943,0.0446410429355715,0.00214639955389022,0.0514938794322716,0,0.0793465787129771
"m__2-Hydroxyoctanoate",0,0,0,0,0,0,0,0.00630785818708967,0,0,0.041600251080129,0,0,0,0,0.00319387395114791
"m__3-Indoxyl sulfate",0,0,0,0.261684337743643,0,0,0,0.114762242100133,0,0,0,0,0.00587227287911628,0,0,0.0254879235148595
"m__C00003_NAD+",0.0315004064151578,0.00932632700818386,0,0.0969215374017304,0,0.0112395733997393,0,0.0173005661428058,0.0127806038644986,0,0.032007581072158,0.103964299674651,0.00230397225674178,0,0,0.0211563244823777
"m__C00016_FAD",0,0,0,0,0,0,0,0,0,0.00542511046659779,0,0,0,0,0,0.00036167403110652
"m__C00020_AMP",0,0.0115847917124405,0,0,0.02253672466773,0.00985464474017862,0,0.00870437315949089,0.00682417637271595,0,0,0,0.023886180653028,0,0.00446415182871601,0.00585700287562
"m__C00037_Gly",0,0,0,0,0,0,0,0.0836770334904221,0,0,0.00169251947882403,0.0581838431102622,0.0990111019894165,0,0,0.0161709665379283
"m__C00041_Ala",0,0.00326192594590415,0,0,0,0,0.0170813339026153,0,0,0.0581088018801416,0.00183788738284535,0,0,0,0,0.00535266327410043
"m__C00047_Lys",0,0.00321270016198355,0,0,0,0,0,0,0,0.0272157399708939,0,0.00622131010369282,0.0172772776082443,0.00893938665963634,0,0.00419109430029673
"m__C00055_CMP",0,0,0,0,0,0,0,0,0.0187123038783892,0.0017985422274796,0,0,0.00140430428608587,0,0,0.00146101002613031
"m__C00064_Gln",0,0,0,0,0.150731013396387,0,0,0,0,0.00686386948952231,0,0,0.0836110896104576,0,0,0.0160803981664245
"m__C00065_Ser",0,0,0,0,0.0551824364793241,0,0,0.103357748194212,0.0256575874756628,0.00333380782871912,0.00525320374890496,0,0.0253044175107281,0,0.112296645541822,0.0220257231186249
"m__C00077_Ornithine",0.076074838824988,0.020070936592688,0.00549389872532739,0.301946589050982,0.178761295895963,0,0,0,0,0.0130508187203623,0.040136470150556,0.0028499744634606,0.185204123818573,0,0,0.0549059297495267
"m__C00079_Phe",0,0,0.0964750765302111,0.0238660485150492,0.145344755192639,0,0,0,0.0144033687234947,0.00496476251419434,0,0,0,0,0,0.0190036007650392
"m__C00082_Tyr",0,0,0.0229325492925159,0.0300460441476915,0,0,0,0,0,0.00121291320278003,0.00375005864309309,0,0,0.000810467268363398,0.00321192842441784,0.00413093073192411
"m__C00086_Urea",0.016635384904825,0,0,0.027699425456384,0,0.00677459780877252,0.0268546543323672,0,0,0,0.0282573881528237,0,0.0104219656466283,0,0.0124097776689451,0.00860354626471638
"m__C00093_Glycerophosphate",0,0.0430577250184483,0.286189676309579,0.00388184038020603,0.0566137507711121,0,0.0636839864896725,0.0173800016492032,0.0192455373227817,0.00266709222347192,0.12769260584037,0,0.0641031318969272,0,0,0.0456343565267848
"m__C00105_UMP",0.0288145292277742,0,0,0,0,0,0,0,0.331031413765042,0,0,0.0213894564564553,0.0212115755387708,0.0807993946647809,0,0.0322164246435216
"m__C00122_Fumarate",0,0,0,0.00438499664251177,0,0,0,0,0,0,0,0,0,0,0,0.000292333109500785
"m__C00123_Leu",0,0,0,0.00436984859990446,0,0,0,0,0.00677107566849339,0,0,0,0,0,0,0.000742728284559856
"m__C00134_Putrescine",0.50008362046963,0.00146412519561971,0,0.0620730883219412,0,0.00768802224039601,0,0,0.0316019383140651,0,0.0485531214348288,0,0.00126812788134152,0,0,0.0435154695905215
"m__C00140_N-Acetylglucosamine",0.0423626709881201,0,0.00485165204595142,0.00744902945966407,0.0923865003490077,0,0,0,0,0.0232790317237464,0.0491007054270839,0,0,0,0,0.0146286393329049
