"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.182824213680434,0.522645813422452,0.196841395223737,0.102555520988295,0.0777683311410806,0.0393821603616773,0.200677559886433,0.0739327211989445,0.658498481227932,0.195862160577885,0.207352681269284,0.105113389072394,0.3846868028114,0.311357712984383,0.0967521611604299,0.223750073667117
"m__2-Hydroxyoctanoate",0.0350367185710741,0.0294764916341134,0.0108335598306932,0.0559057689791635,0.00150681747089495,0.0322666663942966,0.0915813678228925,0.132237544105834,0.027146313046978,0.0232842725899821,0.0759902277934006,0.00553043737562577,0.0841993212033999,0.0746452968206861,0.00800517358160093,0.0458430651480424
"m__3-Indoxyl sulfate",0.0205211186206962,0.00303430639281279,0.10926822949845,0.0122097999884949,0.00195995712118635,0.00206488171288525,0.0086596465795772,0.225123416053549,0.00819742964853837,3.40649937692046e-05,0,0,0.0709232608027539,0.0278670908318796,0.2305333440088,0.0480264364168929
"m__C00003_NAD+",0.193096670070234,0.317541851728934,0.0281153278549284,0.0459148320070822,0.0499428208234793,0.239247113906362,0.115125064906535,0.0830081041627672,0.155246405983833,0.0496633424622743,0.0148363329418566,0.0187524297339644,0.0510710026305952,0.03754711792747,0.0147386093679212,0.0942564684338825
"m__C00016_FAD",0,7.23407204202673e-09,0,0,0,0.00079155832374714,0,0,0,0,0,0,0,0.0218513061036078,0,0.00150952477742847
"m__C00020_AMP",0.30961433124666,0.0208646146442563,0.0228612349768548,0.109269202218278,0.056932073566577,0.0905265170474371,0.035550891120786,0.289590689701006,0.0509880846880085,0.126549199935972,0.0672415864871648,0.0325362744735951,0.0721824547433987,0.0690498926993253,0.0383955363701058,0.0928101722612951
"m__C00037_Gly",0.0377849513798763,0.035406926522871,0.330666298608457,0.0248821011607585,0.00129437157863783,0.101742743671352,0.22920410354644,0.492753982562839,0.050146671229429,0.0249281722532474,0,0.0863932563937314,0.22529458652148,0.124932494721768,0.216682870500452,0.132140902043423
"m__C00041_Ala",0.30217065711123,0.124161234686621,0.0841907107770275,0.157255452731741,0.0586386800603344,0.00295319927878301,0.235368801038245,0.0777247999889159,0.0802260164898456,0.0959643773633103,0.0357444811409302,0.140509228303793,0.056769475712675,0.0607283870712146,0.139804713550201,0.110147347686991
"m__C00047_Lys",0.11992054498435,0.0603948650300067,0.320843362919551,0.0884598689486088,0.123175469592085,0.0428682024047723,0.134287189002924,0.13364181870483,0.0339718468032917,0.0727286648594318,0.0869511404888856,0.0654782583131483,0.0093490032103251,0.0904779220125965,0.0952960166915236,0.0985229449310887
"m__C00055_CMP",0.136151471486373,0.198624701357688,0.162549369346414,0,0.0797722611957207,0.133874967206939,0.143068306068346,0.0943095939346551,0.0324083404661529,0.069753997094798,0.0186265794577215,0.00292725208106735,0.0682918980394248,0.0335248394050989,0,0.0782589051426932
"m__C00064_Gln",0.01618720596515,0.0546784726926854,0.0403203345082884,0.0712661240720692,0.0374339131953244,0.0741037454239663,0.0162585026519452,0.121329574616431,0.122786191421895,0.162794661306582,0.116163594040864,0.0239371872538087,0.0819681023859277,0.0629462737665096,0.0893025666872716,0.0727650966659145
"m__C00065_Ser",0.0435961893560577,0.271589898038824,0.202219306068714,0.0878893209465623,0.0240474057585961,0.117777703117484,0.11155915148123,0.110726288964456,0.198177221277719,0.105659432751153,0.030091009902096,0.0381565541908504,0.13767056033894,0.00700852254137675,0.0438524913207956,0.10200140373699
"m__C00077_Ornithine",0.51742489884724,0.377095512809722,0.364667544343936,0.081695610764126,0.565835882037622,0.523192539472067,0.256833759007879,0.927039162620563,0.309174711758418,0.147108819010412,0.0854442451366422,0.152146362540232,0.567146863115593,0.233189204853258,0.258405512917232,0.357760041948996
"m__C00079_Phe",0.0475129393226582,0.103079137272512,0.0534872205942724,0.066385838829958,0.0372429290044545,0.0420795743734461,0.0506936817949077,0.0396749414830282,0.0951635980127881,0.0215559597303395,0.0638884159657129,0.10338070515093,0.0061255666248703,0.199875361174383,0.116239088520674,0.0697589971903289
"m__C00082_Tyr",0.118506493816322,0.153831155431792,0.321056751744737,0.291261662231711,0.0968553696095477,0.15629430540341,0.0328945052527427,0.31814531450837,0.18928738788581,0.0753862701789944,0,0.089724853716543,0.103520328776471,0.157203367384957,0.163305104680082,0.151151524708099
"m__C00086_Urea",0.147848177818917,0.135981609174131,0.0717599411106864,0.128414477993218,0.112888206152869,0.11707318472477,0.122684298223924,0.213413401647429,0.0939139952926194,0.0862166682993031,0.00805041666994754,0.0552533860271393,0.251039473755155,0.1362448480764,0.31315447118892,0.132929103743695
"m__C00093_Glycerophosphate",0.127877378521261,0.191086027937681,0.65604127914384,0.0211379935124509,0.243202907941761,0.0507841192570418,0.084174125035838,0.395539800248862,0.395752314873204,0.0311371937320769,0.208334378249095,0.0720936262865104,0.289471414967853,0.0518907264707493,0.078517955919936,0.193136082806544
"m__C00097_Cys",0,3.00826109522783e-05,0,0,0,0,0,0,0,0,0,0,0,0.00763564154051808,0,0.00051104827676469
"m__C00105_UMP",0.0844299421711581,0.0833893197671975,0.0976517886213389,0.104177507539887,0.0290908433284602,0.00517943170896052,0.0822961576071848,0.206198979134337,0.282436391785458,0.0253613814969983,0.135006543433437,0.304379805921964,0.263290859745124,0.153311119430258,0.268605299971504,0.141653691444218
"m__C00122_Fumarate",0.000815811023265135,0.0726214326380778,0.0126814155377189,0.00959341433206952,0.00831600266182549,0.0723980227066198,0.0751276190463847,0.047458096908236,0.0628675363941958,0.000765778339001024,0,0.0100523324279031,0.00630341149883418,0.112477971200419,0.0662040658610005,0.0371788607050367
"m__C00123_Leu",0.0451526297331857,0.0733038535239932,0,0.00600652209433659,0.0153174664321166,0.00690051361018529,0.0319060721087651,0.114036812230136,0.0203886269084146,0.05468836465031,0.194077713015424,0.120631773392928,0.166666679147666,0,0.0869925257640957,0.0624046368407704
"m__C00127_Glutathione(ox)",0.00442427804901615,0.0131035977306027,0.00147122952676208,0.00459119563424097,0.0297722157046198,0.0227346834672032,0.0033439254669313,0.000998721093477014,0.0201807048683105,0.07364134969791,0.0137972138432293,0,0.0445209213493378,0.000735264220121514,0.00448152080709017,0.0158531214305902
"m__C00128_CMP-N-acetylneuraminate",0,0.0108263586490303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000721757243268687
"m__C00130_IMP",0,2.38243632660698e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58829088440465e-10
