"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0,0.085881212441608,0.0412738690520132,0.319786648976851,0.000201615958738473,0.039889669508832,0,0,0,0,0,0.000161544140409022,0,0.463830985814479,0.0634017030595287
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0.00900621334143002,0.0158328176381464,0,0,0.000666111694507171,0,0,0.0047958815293393,0.00835180178661059,0,0,0,0,0.00357559942183181,0.00281522836079102
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,4.87729949148435e-07,0.00125203552756771,0.000172076550040108,0,0,0,0,0,0,0.00198424002220696,0,0,0.000227255988650929
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.00856635551023847,0.0222386663784225,0,0.29915300387122,0,0.0668278780220961,0.0517753194716954,0,0.00175067161345814,0.251796643117657,0,0,0.0286161180716697,0.204194696616732,0.127871209290854,0.0708527041309362
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.351208104470678,0.258015125480428,0,0.00119678670430074,0.129365743439606,0.274722364198729,0.0806689002144788,0.0508529541132554,0.0387446592442458,0,0.00840086553655259,0,0.0248774455477254,0,0,0.0812035299300001
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0,0.188692800197703,0,0,0,2.29772599470779e-07,0,0,0.00667679882315465,0,0,0,0.00986764819493194,0,0,0.0136824984658926
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis",0,0,0,0,0,0.00141681962455549,0,0,0.15845676467529,0.00125848587273166,0,0,0,0,0,0.0107421380115051
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum",0,0,0,0.00286401633074718,0,0,0.0693081959943456,0.0339471589176521,0.00262302108818281,0.00776561195996462,0,0,0.0905541446101664,0,0,0.0138041432600706
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium callitrichos",0.00353517657614921,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00408315790886586,0.000507888965667671
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cebidarum",0,0,0,0,0,1.16370521914072e-06,0,0,0,0.0389766159032866,0,0.0802381045152235,0,0,0,0.00794772560824861
