"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.443909397611633,0.4670148244999,0.830878688700286,0.634086657867582,0.679782093185214,0.791864778171374,0.616617195381933,0.577146466372066,0.594007767916994,0.701847572084361,0.832696498844579,0.756231080912475,0.511631780294784,0.753032906617209,0.75094695497394,0.662779644228955
"m__2-Hydroxyoctanoate",0.326881136738449,0.207156926746789,0.454496184268538,0.282896191322891,0.327660455462043,0.415505897644523,0.281371078001712,0.319785151562919,0.350305071252368,0.274812348658495,0.218543013757573,0.182967821339444,0.26713860699184,0.422515489875199,0.559978848075463,0.32613428144655
"m__3-Indoxyl sulfate",0.112698041142555,0.108740857133646,0.41967150614921,0.195587197595097,0.31869319347391,0.209629126331758,0.130713562048747,0.1958387983589,0.1883637423794,0.144008356102051,0.0900499456213349,0.227948762984363,0.144645036008611,0.338405461565467,0.25213774987858,0.205142089118242
"m__C00003_NAD+",0.371797549113412,0.207154834180066,0.631241127344476,0.364983012830837,0.554626406322022,0.622969982821262,0.301948022659357,0.345342915448624,0.399121278608925,0.37237854358366,0.382828492648423,0.410835147798407,0.241351823745596,0.534585178454032,0.664501979323379,0.427044419658832
"m__C00016_FAD",0.00823568327738311,0.0063075836181924,0.122294156811915,0.0334668348634722,0.110702630674513,0.12712564009412,0.00747871813805225,0.00743384967374921,0.0290356541788013,0.0190053480599969,0.0100338491326851,0.0217647793103876,0.0219776344615516,0.124749015745162,0.133482796776813,0.0522062783211197
"m__C00020_AMP",0.491128325802368,0.400473073258173,0.6967276789774,0.582420439109118,0.60419053670352,0.755052292747985,0.308869647912993,0.608799219095748,0.479695220410849,0.413159383025234,0.383347556173429,0.500698787114742,0.358200033402049,0.609803322080823,0.644355673996945,0.522461412654092
"m__C00022_Pyruvate",0,0,0.00494468912394147,0,0.0141255912545545,0.00492421615803033,0,0.000361812448063724,0,0,0,0,0,0.00140414418043971,0,0.00171736354433531
"m__C00026_2-Oxoglutarate",0.00291069279841885,0.000483541556162666,0.00805637028759272,0,0.0270827660586027,0.00489888864741006,0.00165571129256249,0,0.00174929100499603,0,0.00357074571337693,0.000594906403566871,0.000798151695249243,0.0118341588251319,0,0.00424234828553803
"m__C00037_Gly",0.403004656682296,0.333602597031864,0.74024675650683,0.562951381022291,0.607371038702989,0.736472374737831,0.435527173338483,0.425361046141156,0.374473120666522,0.484384875589081,0.502285249297047,0.508713242869939,0.479912244435492,0.650193925853506,0.953219140270158,0.546514588209699
"m__C00041_Ala",0.462147418605241,0.308944128172486,0.689637742580714,0.380250358956061,0.644146559328388,0.637243155851929,0.48741899663606,0.516683909297551,0.348850878998284,0.426279806508798,0.414097750774287,0.463034188650892,0.474927485673579,0.796608025942324,0.874554827440171,0.528321682227784
"m__C00047_Lys",0.393056389172181,0.270567350856953,0.543725361217482,0.55099201845733,0.700620468581536,0.624808902529787,0.357639475475528,0.405591184505289,0.378009547806411,0.448737145201462,0.382666964336059,0.498635639690843,0.374112067918282,0.837405296391049,0.616033146909687,0.492173397269992
"m__C00055_CMP",0.192643948797935,0.205823907523778,0.555885261100817,0.307897954362893,0.367432463488784,0.50742760698164,0.270987366406177,0.211418077402745,0.182551874276315,0.221522522443529,0.199118785962238,0.197705621265804,0.220582606108089,0.417002446489515,0.508511390019542,0.30443412217532
"m__C00064_Gln",0.311868875455525,0.317246448733127,0.730968959019974,0.547156463948528,0.796094563139099,0.584563672106125,0.282207649828812,0.468956817773118,0.394669318668355,0.415468544007816,0.506579241855514,0.550123908163598,0.345941152459836,0.65333744434124,0.669190390445634,0.50495822999642
