"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0466199497856541,0.0308392130218438,0.0713047504264548,0.057304472682328,0.0805951814672257,0.0565592028437977,0.0739056465539095,0.0611177125043668,0.030218523506302,0.0511873367739266,0.0123228562821019,0.0122345287188531,0.0206899052847655,0.0426477275629358,0.0328171560156816,0.0453576108953431
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.0843695008369801,0.0556659855118205,0.0469819992314465,0.072729413418322,0.106774476161473,0.0646292865938438,0.0891292208501947,0.11767832241348,0.0633408000704481,0.264824761146815,0.0588723247009521,0.0594086602307923,0.059684931434481,0.113887727320352,0.0626886847637087,0.0880444063123406
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.149785448858173,0.0875910513490582,0.105149459267864,0.0883464281501114,0.179065875029244,0.0525328598671934,0.033364490739301,0.107735885268565,0.0493022900543248,0.195423963246948,0.122244784315033,0.160137982070282,0.225723153642779,0.124225832834849,0.0507307979370332,0.115424020175384
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.0207114376660858,0.0890064154640492,0.0506718878161581,0.0971844632675028,0.0740052719882773,0.050475246109015,0.0522978698373314,0.0579662203245627,0.0454585624535438,0.0759414108360762,0.0529566291112977,0.0778654066929258,0.0733319397897807,0.0200102449340767,0.0291198421863393,0.0578001898984682
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0720475955999136,0.090511302700623,0.0395279138169145,0.0606206356040066,0.0839900025512067,0.0645835461091466,0.0535360466685733,0.076821563080031,0.0601281652044842,0.120521173120335,0.0869679741663986,0.0670692880122752,0.0966567585487406,0.0303238972007441,0.0291637111887086,0.0688313049048067
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0.0607412860771361,0.0368957717204339,0.0725113789368247,0.0555493622671655,0.195343961083233,0.0365091011066133,0.0215056647429936,0.167230136548031,0.0728249740684706,0.0823232927172022,0.09432465829163,0.0715674053527232,0.0874929305049352,0.0623028067605398,0.137152894506532,0.0836183749789643
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis",0.0831503325256173,0.0371406290037774,0.0228248698035923,0.0407415685672658,0.0966097569488048,0.0173389943322073,0.026261599119888,0.0430834243401338,0.0430996854195066,0.15671977450765,0.058369289577209,0.0237491868536173,0.0308108536564088,0.0396198741554975,0.0273139548775705,0.0497889195792498
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum",0.112362761630628,0.055229770050077,0.0793435206446926,0.0813960419360373,0.060136489279475,0.0352445889080549,0.0791713860497209,0.198046443039383,0.0508813346843944,0.176978187051998,0.142128899349116,0.0919215006300448,0.128333357501091,0.165700324266633,0.0463823312925564,0.100217129087593
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium callitrichos",0.117448125518718,0.0867553512880493,0.00889265678369039,0.164032718253792,0.280884129524945,0.0904574683660391,0.121890580857597,0.118269885252895,0.0435689707987398,0.313920390351109,0.0502146361110821,0.0766506146085061,0.090835507819588,0.188576514076849,0.0530939722313068,0.120366101456194
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cebidarum",0.148505420213413,0.0976722727553823,0.280506776361003,0.193724050221993,0.246963745927895,0.0897630965648322,0.159964803531185,0.359380070297397,0.096143709186753,0.185542791956704,0.214938689389807,0.111365757022476,0.100847336438756,0.091311137592392,0.0834649321855788,0.164006305976371
