"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.0032804264067987,0.115470469278968,2.89584431521263e-07,0.109430933846001,0.0365940666305418,0.12600150486751,0,0.0377757965354452,0.0251048417440328,0.298014508320539,0.0733576033845022,0.0186455810962598,0.0537899658006065,0.0869998200656552,0,0.0656310538374194
"m__2-Hydroxyoctanoate",0,0,0.00108150686210292,0,0.0819765117707143,0,0,0,0.00386735778228946,0,0.00875607571828431,0.00280392010196848,0,0.00788132245347015,0.439247905390925,0.0363743066719836
"m__3-Indoxyl sulfate",0,0,5.21707211652559e-05,0.00457664497554016,0,0,0,0,0,0,0,0.00710156794337862,0,0,0,0.000782025576005602
"m__C00003_NAD+",0.0106180684215427,0.00886230870917264,0.00213643329571404,0.000855781551621473,0,0,0,0,0.0436797447499496,0,0.0133444767831099,0.00169236768506748,0.0500194501267336,0.00146824674178393,0,0.00884512520431303
"m__C00020_AMP",0.00225404705395875,0,0,0.0341059516174101,0,0.0343777992533659,0.139801205125348,0,0.0138158244307443,0,0,4.94106805791193e-05,0.0976427210536266,0.0599556810862584,0.031287701669638,0.0275526894647286
"m__C00037_Gly",0,0,0,0.0302240944334844,0,0,0,0.0104718427818882,0.022048298603311,0.00194219768730941,0,0,0,0,0,0.00431242890039954
"m__C00041_Ala",0,0,0,0,0,0,0,0,0.00895766037409433,0,0,0,0,0,0,0.000597177358272955
"m__C00047_Lys",0,0,0,0.0195676407147896,0.198880744759114,0,0.00106248796426123,0,0.000706594593054932,0,0.0363813999118936,0.00194385686559977,0,0.00220708324271725,0,0.017383320536762
"m__C00055_CMP",0,0,0,0,0,0.0185423587910222,0.00124068094897551,0.0017079798837143,0,0.0132500247635085,0,0.000119168430636053,0,0,0.0119653129806252,0.00312170171989879
"m__C00064_Gln",0,0,2.31457143535943e-06,0.0300674300784382,0.00665421693362557,0.148264483725411,0,0,0.000634535286557683,0.0417388935664405,0,1.14803843208081e-05,0,0,0.0912886068219847,0.021244130757881
"m__C00065_Ser",0,0.0823630317232338,0.000314305641806858,0.0292370708678777,0,0.0191085897326855,0.109678297286123,0.0039695617521798,0.0591422743149694,0.214844662048862,0.224911043982899,0.0106408996149097,0.244789375433719,0,0,0.0665999408266177
"m__C00077_Ornithine",0,0.000678649664241116,0,0.0136709479579453,0,0,0,0,0,0.00312867997896871,0,0.0623809575864706,0,0.0334349716721602,0,0.00755294712398573
"m__C00079_Phe",0.297875118670336,0,0,0,0,0,0,0,0,0,0,0.0183301986788903,0,0,0,0.0210803544899484
"m__C00082_Tyr",0,0.000745013599606398,0,0.0622853328880789,0.0446171477905591,0,0,0,3.39300784744279e-05,0.00219217162482223,0,0,0,0,0,0.00732490639876941
"m__C00086_Urea",0,0,0.000107187165787786,0.00166320524635678,0,0.000874870331828766,0,0,0.000411578493549072,0,0,0.068367314792212,0,0,0,0.00476161040198229
"m__C00093_Glycerophosphate",0.00282587081549934,0,0.00174733615487141,0.123859659150775,0.0116083663042024,0.245132542392212,0,0,0,0,0,0.00557046819533308,0,0,0,0.0260496162008595
"m__C00105_UMP",0,0.00464170559752179,1.06464869834524e-07,0.000350153040380137,0,0,0.15281117255276,0.00641922552405607,9.73636490347383e-07,0,0.0445090360771246,0.000187950766959046,0.000278681110935839,0,0.0307271786066774,0.0159950788918517
"m__C00122_Fumarate",0,0,0,0,0.00604940082443639,0.0296965141074738,0,0,3.17754968140872e-05,0.0112468614464012,0,0,0,0,0,0.00313497012500837
"m__C00123_Leu",0,0.291199591964172,5.14551827868634e-07,0,0.0717888932123836,0,0,0.0116143218422776,0.00845977820869225,0.0977627938897812,0,0.149164476619083,0,0,0,0.0419993580192145
"m__C00127_Glutathione(ox)",0,0,0,0.293748665303616,0,0,0,0,0,0,0,0,0,0,0,0.0195832443535744
"m__C00134_Putrescine",0,0.00378838759929239,5.64444913642499e-07,0.000142026875178548,0,0,0.00524896351267344,0,0.000296462619565249,0,0,0.0835349938788844,0,0,0,0.00620075992870051
"m__C00140_N-Acetylglucosamine",0.0206080775198248,0,0.0132840731280738,0.0416720197270304,0.0243055431529524,0.0609632463236126,0.0509469417261802,0.033795952017316,0.00473504445172139,0.0119692145092492,0.0215776921831305,0.0122834137837974,0.0426117076885806,0.00171502461751958,0.0307299667792583,0.0247465278405498
"m__C00156_p-Hydroxybenzoate",0,0,0,0,0,0,0,0,0,0,0,1.10416426124597e-06,2.48190677715143e-06,0.0144220019378401,0,0.000961705867258563
