"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.233763710292399,0.427000697656244,0.183216580709648,0.359113904769395,0.904584111404808,0.512898517522554,0.409159537182103,0.48698580005192,0.779935218431374,0.537799636394585,0.591208031408001,0.421340749166123,0.499998547802901,0.201887232512614,0.410881646442201,0.463984928116458
"m__2-Hydroxyoctanoate",0.124305116029327,0.203471833262705,0.128080659861439,0.0611811953743229,0.383062826470079,0.00869591551048652,0.0235053953773285,0.435247313521728,0.199294949718699,0.12449936761907,0.0962171474172278,0.0509525644625912,0.0595837595047752,0.084431368644226,0.707701615510517,0.179348735218968
"m__3-Indoxyl sulfate",0.012633294915815,0.0989094319517186,0.0104330801185076,0.00203707343566898,0.0268264804983823,0,0.00369940204206855,0.0390271407414563,0.0751167859893367,0,0,0.0465985843786681,0.202408131978461,0.00170547809279536,0,0.0346263256095252
"m__C00003_NAD+",0.164195079016003,0.0165884660620856,0.130225334615775,0.216885518171239,0.159682768767069,0.159896765665764,0.0322913139031687,0.205594035840967,0.298087437162451,0.0650582538635043,0.308125567930287,0.174404911743374,0.499376600829472,0.15985268104326,0.291083036242764,0.192089851390479
"m__C00020_AMP",0.180044483870774,0.217853249481445,0.156432270237569,0.161501766598235,0.371841739933426,0.0198546065556165,0.0123645516334439,0.618206174194628,0.272242286490377,0.100748960085365,0.187555948414455,0.357961844691774,0.131694076790091,0.488705371677599,0.416904032649341,0.246260757553609
"m__C00037_Gly",0.0267370610856733,0.0458019870313581,0.0855049230950233,0.13343345053226,0.084821238360632,0.023396067141887,0.0869719826197208,0.0310482341704141,0.0698560025598058,0.173234118473574,0.0118224846513199,0.0618909868539346,0.102473068423926,0.421683988499002,0.0606562954010485,0.0946221259266386
"m__C00041_Ala",0.00666658881136944,0.0184804873536942,0.0339999723215763,0.0804891214073519,0.250158114537018,0.104585261212141,0.126305439774263,0.072212778049698,0.01866815906616,0.0348919711834779,0.0608158500605792,0.0278525618362065,0.0484099196911769,0.170853534001149,0.0804919188300281,0.0756587785423927
"m__C00047_Lys",0.249229563315235,0.124960453070008,0.0561531029198612,0.268467597265262,0.255496041201722,0.0650781837318137,0.0641940923807772,0.192650833253819,0.238113629221635,0.142010378141641,0.214664615321885,0.219408901827762,0.106252266153573,0.355970944995946,0.0800479409449311,0.175513236249725
"m__C00055_CMP",0.116772997666071,0.0483108703799124,0.00639980336104498,0.207901383351361,0.18232981992612,0.0892510404800618,0.0276785442258499,0.126391676170656,0.0675120935312455,0.121575528934257,0.0158413523148256,0.105081943201401,0.00497582402237801,0.150868238808508,0.0894608750070275,0.0906901327587148
"m__C00064_Gln",0.0831409658697643,0.0775889687475068,0.0444801704981129,0.0620862266955527,0.0607582462946219,0.0433895581327566,0.0063209883136899,0.140721379586691,0.308276173283456,0.170702687985174,0.0290180448927049,0.303888322083652,0.00372724991655675,0.107893040752749,0.164544553486929,0.107102438435995
"m__C00065_Ser",0.357238776904475,0.119324321405249,0.313952866844649,0.532528352069858,0.522131782193446,0.172195317376609,0.0656387284811825,0.36837092257427,0.427181261676105,0.430558768811774,0.167035054404809,0.992592463892262,0.585765773154963,0.382674871272181,0.323447903052789,0.384042477607642
"m__C00077_Ornithine",0.124234384746224,0.29667495526166,0.128934672372966,0.0122749595784811,0.327199504859272,0.0975413272654198,0.0749605319898146,0.38952575666471,0.0249822636145582,0.181094600724717,0.131983139751625,0.0779426619822739,0.224509773112211,0.161192872170114,0.0434879918159606,0.153102626394
"m__C00079_Phe",0.104390430678203,0.0814823480845123,0.0296075341206807,0.0707381520661897,0.480986509441133,0.0939531102199541,0.0608555044581494,0.118899632812476,0.0921551310764577,0.0860048809614176,0.0816224457699387,0.898599490481376,0.0502612277490004,0.465295235411711,0.00214883959884446,0.181133364862003
"m__C00082_Tyr",0.0286435872016476,0.0521030770797559,0.142647071612999,0.336857341175152,0.120482494271417,0.0599883594497796,0.119261883027628,0.0791380545616652,0.518152250908845,0.0228371718680255,0.0586001355751532,0.128204593344741,0.101820378437917,0.151687725131113,0.126001526688563,0.13642837668896
"m__C00086_Urea",0.107634439560424,0.201807397866519,0.177621899149303,0.345173142639569,0.173519984911941,0.06614391517599,0.171007732771177,0.0415119926053289,0.305040698762102,0.256315819038934,0.0979693943824413,0.443055212666447,0.081856952312287,0.322253834616637,0.391623236655116,0.212169043540948
"m__C00093_Glycerophosphate",0.0360006360981327,0.178485891846062,0.346019676549892,0.268147017173648,0.41915570278287,0.362771589389718,0.151616189017567,0.158563608281594,0.0257866595352153,0.224108277513474,0.222301675831217,0.27823995862434,0.070453015498893,0.153027543631628,0.294955695283875,0.212642209137208
"m__C00105_UMP",0.0941737548062925,0.0326955103421144,0.135224050610523,0.00924089754470057,0.310228473669474,0.072429963246415,0.0428990795143084,0.00259124264171989,0.131372637918577,0.10483247655917,0.0386300538514411,0.0376626843267465,0.148077793501523,0.111053519640454,0.236938703808401,0.100536722798791
"m__C00122_Fumarate",0.0503327817819826,0.128211248924909,0.0867643768768439,0.141416396472013,0.31337404242983,0.0802020690950514,0.097185914029021,0.227234519244062,0.108115874908028,0.266805430909463,0.00453120585798248,0.177360139966099,0.00883565000400226,0.165886910952285,0,0.123750437430105
"m__C00123_Leu",0.108030827339239,0.0486681460062975,0.234872507757043,0.0896221069375934,0.145652147941232,0.192007613577582,0.0169510013698454,0.417335306942977,0.1552840656532,0.0733719338725793,0.141315443043873,0.26956195944458,0.357219255157652,0.148565877873954,0.361450375236204,0.18399390454359
"m__C00127_Glutathione(ox)",0.0820517549957912,0.0581634275799296,0.0114151656496251,0.0425490483993089,0.152113608010961,0,0,0,0.0949673231553339,0.0397670723178168,0.170916668608309,0.000116269537918555,0.00752422344631465,0.0826823821230603,0.011455990666234,0.0502481956327069
"m__C00134_Putrescine",0.116658186545567,0.106517471617149,0.741747114872445,0.475644983429559,0.637707960536282,0.651797710838345,0.358257126652691,0.513523584448847,0.75134636605853,0.227160194976957,0.117691079417041,1,0.429297983525579,0.332361696656498,0.515215224803346,0.464995112291922
"m__C00140_N-Acetylglucosamine",0.123175463653738,0.232771064720022,0.135295457523611,0.0697001432209865,0.193927701968461,0.136460727549337,0.402358559658582,0.108964329938388,0.311654259670336,0.292377361259062,0.100763909923344,0.374630174735392,0.398630920854445,0.347271707719936,0.304841885467158,0.23552157785752
"m__C00144_GMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030821438196066,0,2.0547625464044e-05
"m__C00156_p-Hydroxybenzoate",0.0177661049534186,0.0264520530982937,0.000711317921444065,0.0566357950715644,0.0178440973653042,0.32187367074847,0.119136858273151,0,0.120270278445163,0.0284665792247338,0.0387943349681959,0,0.0727546244635729,0.0109237081676712,0.0291524423550343,0.0573854576704011
"m__C00163_Propionate",0.159923303881641,0.0528444228104552,0.0227104169103492,0.210398350850676,0.458022919899744,0.125216857054958,0.208851307329317,0.150185176107957,0.0161161926152152,0.149113011139275,0.0488779554218411,0.0808735203857957,0.168524525343569,0.301776040813406,0.443831305510895,0.173151020405006
"m__C00178_Thymine",0.044222101419297,0.161376488913257,0.116120856945496,0.0701902294343045,0.0828578169283041,0.113874369873222,0.243245675143928,0.1183524817013,0.0998508061721334,0.348312837702131,0.0261496274231692,0.132262953632189,0.0893797834646332,0.111607153272165,0.535295836793089,0.152873267921241
"m__C00183_Val",0.169132834978014,0.202918711177142,0.0216710087346558,0.0549514764419618,0.252113928918323,0.145661405077782,0.0797753948705209,0.479164728392115,0.192646105888409,0.142936340723237,0.118506780213891,0.118484182093309,0.0915358750190383,0.351234702230729,0.193112048148643,0.174256368193852
"m__C00188_Thr",0.119580342646761,0.234259277467782,0.0147404325118924,0.108187964673913,0.375593262986831,0.223079945261217,0.083859868862794,0.160532617621242,0.150897431499808,0.112091744447645,0.124159463174818,0.269152384858286,0.220996182231915,0.0295265707852656,0.348741925122776,0.171693294276863
"m__C00191_Glucuronate",0.130369547546739,0.0297482897130908,0.0189735701467997,0.0976832976784154,0.0666260229115484,0,0.0430799153601967,0.0410549861324635,0.00209936704561565,0.00514037353180422,0.0317421589214567,0.0029482168489647,0.0424927429354387,0.204988601522337,0.140095700266828,0.0571361860374466
"m__C00214_Thymidine",0.236025330348168,1,0.910006475725119,0.416612995956632,0.880658959683287,0.262960011893211,0.807525536659476,0.477373673476623,0.540595117512885,0.541738896832744,0.58069572916424,0.707741895077953,0.936210383627488,0.593852067214274,0.800353554483368,0.646156708510365
"m__C00242_Guanine",0.289021482057509,0.332384164558431,1,0.275536067781268,0.845068168069779,0.0939712463695459,0.738052171304494,0.746000531573035,0.664466136407091,0.66829553030713,0.373288957105245,0.261810872020316,0.652908977331436,0.794415115331416,0.613486286556534,0.556580380451549
"m__C00255_Riboflavin",0.0261014256958712,0.0570594887209863,0.0607664585483725,0.175515864622724,0.150018411576606,0,0.0333313388158396,0.119078249026024,0.0887218276405607,0.221897607678788,0.108198830937347,0.19852215355461,0.00638210809455244,0.0295937508586607,0.201909743601029,0.0984731506247981
"m__C00257_Gluconate",0.0278903912671392,0,0,0,0,0,0,0,0,0,8.31573695376984e-06,0,0,0.000899096851166495,0,0.00191985359035063
"m__C00262_Hypoxanthine",0.0599606833293286,0.179786240755698,0.062826357442242,0.200621126777835,0.404345286733048,0.177572821293724,0.547435319042725,0.0488610634292267,0.0804946884480978,0.174059657970718,0.164582833360516,0.204537079500664,0.340928972807551,0.457767049307472,0.102661864558654,0.213762736317167
"m__C00263_Homoserine",0.182377369510705,0.0437466133563012,0.253539027261464,0.100661160651443,0.464741134856795,0.276245346007544,0.673787265008244,0.636238135677712,0.146477477268177,0.435248750825207,0.422176716605699,0.684097644941078,0.296809627532356,0.560404219866907,0.434019139902641,0.374037975284818
"m__C00294_Inosine",0.365690809034593,0.305938845901114,0.165482284196485,0.460095594839869,0.554283916099814,0.261649431437939,0.369600477395208,0.0254041930767728,0.105359776722333,0.552369579226671,0.418157342901745,0.413669806879916,0.325020821602001,0.430897936155564,0.890601965055728,0.376281518701717
"m__C00299_Uridine",0.329291040503989,0.157635540384026,0.109367810144677,0.0785051187922413,0.369450554786967,0.0697113141200455,0.0599735127100322,0.225675179846101,0.0753514182254489,0.16959222295547,0.29706021808523,0.321816528848815,0.132250398976631,0.285869853738654,0.673781893494745,0.223688840374205
"m__C00300_Creatine",0.149375285024172,0.206653495225176,0.228575092271998,0.0412975813013712,0.394861314277261,0.117200818162377,0.271530066875171,0.099003551890594,0.29844853606925,0.143677513328304,0.0544283745252685,0.399205538843219,0.0591429922718717,0.363202099305502,0.260947460299541,0.205836647978072
"m__C00314_Pyridoxine",0.0523557759878183,0.0980674389657774,0.0325013768366821,0.258425000879169,0.087150793828155,0.0164685104855816,0.0335232153047701,0.0825903867491263,0.200158021798378,0.097200897197633,0.0235006385575153,0.0149964177628455,0.0720916020952067,0.0541503672345967,0.0438506962191209,0.0778020759934918
"m__C00327_Citrulline",0.0333976771744857,0.0760772443627857,0.0620600828466768,0.187649376438405,0.306877137562006,0.0403447477593538,0.0492187582392858,0.108310020996421,0.220387621109877,0.0727063888088854,0.0252922037733871,0.201819720916325,0.0412285509036325,0.248354077063533,0.18523633452461,0.123930662831978
"m__C00329_Glucosamine",0.229962412683758,0.262384799347156,0.171491384803573,0.16440845992949,1,0.278386569441859,0.146946059263096,0.571367189665687,0.485981626880895,0.289197629845717,0.523284559286097,0.293057111744586,0.495296682124627,0.546129326094575,0.907420860965532,0.424354311471776
"m__C00352_Glucosamine 6-phosphate",0,0,0,0,0,0,0,0,0,0.0944095637158745,0,0,0,0.0941107670995958,0,0.0125680220543647
"m__C00357_N-Acetylglucosamine 6-phosphate",0.371281201019223,0.0991944500513486,0.220770118793938,0.277382348651891,0.595424355909927,0.680824636579408,0.154396131387973,0.149146464194606,0.225099701203687,0.229375540931759,0.072972911181528,0.592815908617976,0.397489319671218,0.0541300307471813,0.396684113531127,0.301132482164853
"m__C00364_dTMP",0.205529499473892,0.198556945897966,0.10531797793993,0.0297479221454285,0.0154800624798901,0.233404448534429,0.016330857788022,0.207140392269491,0.247565478378181,0.100368514584592,0.019797390870011,0.0943282011083343,0.208173412548168,0.42438449257495,0.0625392025030518,0.144577653273089
"m__C00366_Urate",0.071410869525615,0.0133723024281229,0.127919145387993,0.177053840834784,0.100711643006257,0.0443444025936203,0,0.17124576841452,0.0821460997424556,0.0501378819845345,0.0847070207833361,0.119633700151724,0.127365658117718,0.152883936681259,0.123614804070948,0.0964364715815259
"m__C00371_trans-Zeatin",0.265419496045205,0.0448918440500377,0.052274098868209,0.133117988371453,0.281066925732989,0.496195556084976,0.0197240044306119,0.136641217468813,0.205769341782529,0.135828063088699,0.0306681226554673,0.304810728579308,0.0345904563116959,0.352971626999351,0.233579450129857,0.181836594706613
"m__C00378_Thiamine",0.119800907212667,0.244615886082018,0.157597316898066,0.263907267552957,0.486657986444718,0.148101658812114,0.0496221426889045,0.223888735148851,0.260514117705887,0.0705106023532779,0.00184502677372638,0.162095572117492,0.186253383183581,0.195095048230161,0.140165598758392,0.180711416664188
"m__C00388_Histamine",0.0403311461846681,0.0962450387389245,0.251041299921445,0.233814923865965,0.44387179449309,0.255042714259519,0.215319080809158,0.400227619859131,0.438623032241029,0.224962690917359,0.0833571378643491,0.269592849768777,0.463440560469081,0.332415030826243,0.653207997864535,0.293432861205552
"m__C00407_Ile",0.0835038707821893,0.0295814507041723,0.176770818156616,0.0595298012550382,0.0344444128907018,0.0848200237395237,0.272613258321898,0,0.0719521830008844,0.45485113715372,0.367392267993196,0.378389824173648,0.04693755157478,0.550074434541152,0.0762284264240565,0.179139297380772
"m__C00408_Pipecolate",0.111432480476894,0.646295569653594,0.273616071485282,0.293986461704855,0.587729847964918,0.22283021597714,0.44585267307334,0.882384409633893,0.56246422234477,0.408227919360808,1,0.560931194782788,1,0.655785351157876,0.64998234262364,0.553434584015987
"m__C00417_cis-Aconitate",0.00327526549419642,0.00465610612177306,0.0151682220328461,0.00782148250696317,0.00692133143536605,0,0,0.00134315687683353,0.00212440537094563,0.0947142303445268,0.017997707163494,0.00648497745854858,0.00880522375191501,0.00945892922225171,0.00514902009851053,0.012261337191878
"m__C00489_Glutarate",0.125849398748474,0.190488595251271,0.0823411607817892,0.156890878316989,0.14514068733408,0.126703010093753,0.0477964268011592,0.1775899194812,0.128856280189584,0.103967462436379,0.0713460384678115,0.190808300183645,0.363839531291188,0.170701956087379,0.230201808061078,0.154168096901719
"m__C00491_Cystine",0.000306912675873463,0,0.0857847243536807,0,0.0648634537241145,0.0185552595214859,0,0.322812478213001,0,0.131270934339041,0.137436901488851,0.0404063724173042,0.0110438173463666,0.0309870371883677,0.0431831514942602,0.0591100695174898
"m__C00581_Guanidinoacetate",0.0370160116542765,0.460714270794349,0.27194779297184,0.172467212052291,0.205019632957758,0.0956064235999567,0.0842051791638202,0.232211458040114,0.247013903176711,0.516498441353827,0.0575817819613691,0.16571100273346,0.315356653217773,0.0868187450878128,0.0499825461017291,0.199876736991139
"m__C00588_Phosphorylcholine",0.13483555383765,0.0263198797437084,0.0855144932825712,0.0223609728664537,0.0206954511033452,0.0282583651835874,0.0320840940330286,0.0317637790797695,0.0680280962107525,0.0830571622845519,0.139407692397307,0.183606308980013,0.184110622798542,0.0491211510615509,0.136204916603375,0.0816912359644137
"m__C00612_N1-Acetylspermidine",0.220627944189659,0.429620118176671,0.926709292904952,0.701486753832291,0.965493024672518,0.878233349387917,0.649281504978433,1,0.0376054248240793,0.155661667667266,0.532175726368275,0.522209072340735,0.483130145787809,0.337933238061959,0.947761823923326,0.585861939141059
"m__C00628_2,5-Dihydroxybenzoate",0.0762044214481268,0.0083497404269428,0.0348905158329867,0.147300724749675,0.036214862190393,0.0533190707233333,0.0766805140376924,0,0,0.0136843297570246,0.119505150690836,0.163735001828368,0,0.107680894857938,0.313733746057235,0.0767532648400368
"m__C00647_Pyridoxamine 5'-phosphate",1,0.0748691270452704,0.312005776460158,0.199222601512131,0.170946945816377,0.0845905629765667,0.259267109298192,0.95944941264035,0.576239717674842,0.807380412692267,0.422222966518325,0.192487065055548,0.453578893279429,0.134902131798519,0.148331513586081,0.386366282423604
"m__C00689_Trehalose 6-phosphate",0,0,0,0,0,0,0,0,0,0,0.00121940969562577,0,0,0.000304205611114323,0,0.000101574353782673
"m__C00711_Malate",0.262303528595437,0.0819264964074321,0.110177544507052,0.252274236164029,0.300144733086655,0.13094965363838,0.200353183396396,0.0855041413441754,0.333035420835967,0.504315196282639,0.11495765278781,0.469056097556048,0.371362580273099,0.0246731410870891,0.313122200198022,0.236943720410682
"m__C00719_Betaine",0.0731019705430158,0.0209009123075548,0.0307238381731244,0.126733610383988,0.131956459675747,0,0.0412183604099459,0.0474009552610145,0.0991225669826888,0.0125504671020271,0.0256839209470165,0.0284604511926817,0.0230537233346117,0.110195255876998,0.186245491641497,0.0638231989221274
