"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.00363672964337863,0.000612252048455604,0,0,0,0,0.00600981297008911,0.000224188495032585,0.00195250473384515,0,0.0245699260188749,0,0.00272414820628712,0,1.33759077055077e-05,0.00264952920157791
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0,0.000175298459978923,0,0,0.000710276291124869,0.0654099795807723,3.31572707131033e-06,7.79277328369451e-06,0.00279993914747919,0,0,0,0,0.0376407454862089,0.00437321075774062,0.00740803721491065
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0,0,1.6843269720464e-05,0,0.000829686425346277,0,0,0,0,0.0166850908127076,0,0.0797328477485912,0.0064842978837577
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0.0147885328720031,0,0.0147422486599051,0.000760679095891448,0.000154197990728453,0.0050426573299723,0,0,0,0.0704337114943657,0,0,0,0,0.00706146849619108
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0,0,0,0,0,5.88131627290011e-05,0,0,0,0,0.0145389954044992,0.0553931480448623,0,0,0,0.00466606377413937
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0,0,0.00182126177195417,0,0,2.93185572213772e-06,0,0.000241828901801105,0,0,0.0492816834224061,0.00193465459788936,0.0141504219728931,0.00798117368488052,0.000149085859389329,0.00503753613779572
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis",0,0,0.00265421485193339,0,0,0,0,0,0,0,0,0,0,0,0,0.000176947656795559
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum",0,0.000536837035430509,0,0,0,0.000209526199612805,0,0,0,0,0,0,0.014071290710742,0,2.46901984579045e-05,0.000989489609616212
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium callitrichos",0,0,0,0,0,0,0,0.000441623745025622,0,0,0.00482077142929676,4.77896866635509e-05,0.00510590250625831,0.314626318534833,0.00636878993246224,0.0220940797223026
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cebidarum",0,0,0,0,0,0,0.000203029823939302,0.0733113713688846,0.047543593546984,0.0734508745759918,0.0146941534325478,0,0,0,0,0.0139468681832232
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium felsineum",0,0,0,0,0,0.0687593874809427,0,0,0.00193275587334869,0,0,0,0,0,1.43862806411226e-05,0.00471376864232884
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium goeldii",0.10220454181169,0,0,0,0.0431934758589555,0,0,0,0.00792488634589326,0.000805301362986815,0,0,0,0,2.70964949397534e-05,0.0102770201249644
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0.0725636192700071,0,0,0.0292627550036636,0,7.01701662929329e-07,0.0407201944454405,0,0,0.00133020360891388,0.0769011941864596,0.00237916402414526,0,0.00227118794615258,0.000169288583469132,0.0150398872513276
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium jacchi",0,0,0,0,0,0,0,0,0.000578945142702821,0,0,0,0,0,0.00159566774981771,0.000144974192834702
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum",0.00251632552210439,0,0.0983808378608161,0,0,0.00043869825636343,0,0.0638053428174143,0,0.290430417240502,0.00225636730934481,0.312611469900652,0,0.405850955196035,1.62778639779231e-05,0.0784204461311473
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium minimum",0,0,0,0,0,0.000804663718422644,0.00767554942715244,0.0430233891275066,0.00087311657734108,0,0,0,0,0,0.000233091649660089,0.00350732070000552
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium myosotis",0,0,0,0,0,0,0,4.26658326823892e-05,0,0,0.0414076251673569,0,0,0,0,0.00276335273333595
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium parmae",0.214840810950117,0,0,0,0,0,0,0.000101726999494403,0,0.00333417250137091,0,0.0110661135471917,0,0,0,0.0152895215998782
