"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.555708930149162,0.50878966983291,0.516189745406347,0.67735370173817,0.460890806395476,0.553319219485615,0.640084322361777,0.678219279407751,0.603555116912877,0.603414516497797,0.588709753759981,0.550253401402115,0.591900433930222,0.508462182434204,0.506370129641328,0.569548080623716
"m__2-Hydroxyoctanoate",0.185460085707351,0.148545759337726,0.216911653050874,0.261768528942942,0.204540461014449,0.182627570754137,0.190879189587069,0.236013609655964,0.342947039611567,0.334458938245229,0.218422447351205,0.201692941003339,0.159784971158884,0.363793905681109,0.171453646571481,0.227953383178222
"m__3-Indoxyl sulfate",0.0841101238923183,0.0712048278888671,0.0850426833295088,0.181668446748645,0.139619194398899,0.0959584791019858,0.0889891258841732,0.123993396656375,0.28607053614305,0.067545925133145,0.140932886073196,0.173537869973502,0.139536602887388,0.121322166420766,0.151219485788336,0.13005011668801
"m__C00003_NAD+",0.512274410914196,1,0.567431825347767,0.651655554501373,0.707278900293282,0.696587304204717,0.630986497777819,0.72560937784546,0.752781482847837,0.651269487580858,0.639894067043669,0.548543356489517,0.781129436535616,0.618779743180292,0.745323266425558,0.681969647399197
"m__C00016_FAD",0.0643552037180092,0.0305784587535086,0.0396552245259783,0.06461273356893,0.0242788933117952,0.0593596963790025,0.0514093767551123,0.072334960243713,0.0727417691275625,0.0651494598147454,0.0673471301546966,0.043096748335729,0.0744907199683606,0.0396235948211319,0.0469835105786022,0.0544011653371252
"m__C00020_AMP",0.390179386371302,0.28072879863115,0.376781404610069,0.398246496117263,0.410827489779557,0.315460037697494,0.413614597318685,0.633241430288449,0.58755468282598,0.488695373993821,0.494793897701288,0.333284800213625,0.470753147122706,0.353355258383917,0.431599275643682,0.425274405113266
"m__C00022_Pyruvate",0.000402920339696675,0.000833618722429084,0,5.5651762742815e-06,4.36308409461907e-05,0,0,0,0.0146096275964105,0,1.25637632442664e-05,0,0.00247638174217096,0,4.20714343350624e-06,0.00122590102164036
"m__C00026_2-Oxoglutarate",0,0.00167432893679939,2.67470856988677e-06,0.000845646113872756,0.0117526932256973,0.000269836580445362,0.000244376740818731,1.80830891302051e-18,0.0192788429343601,0.00154018585582378,0.00108453217444331,4.2721223773941e-05,0.000808675406391205,1.54229919381488e-18,0.00235963024104353,0.00266027627613595
"m__C00037_Gly",0.421790545590184,0.398050836718153,0.389550344350251,0.46018047178849,0.410876702002115,0.346991078477794,0.430628122574234,0.540515817296909,0.763045064295407,0.456676709524196,0.438860849345508,0.557798886515142,0.467973510259251,0.390499240650107,0.49766832738677,0.464740433784967
"m__C00041_Ala",0.338899394027524,0.283983072530373,0.341889314364176,0.467021334730242,0.368643870722176,0.328954749156315,0.412200147467108,0.464001791999425,0.761449605703592,0.445781469485294,0.441889630221149,0.50642783635012,0.434851248475167,0.402570492995771,0.439644956310193,0.429213927635908
