"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.0354128950684784,0,0,0.0800996575025668,0,0.011806483543107,0.344958532050995,0.0758972973678911,0.219108447426166,0,0,0,0.239289381615689,0.395765971002479,0.150106240476676,0.10349632707027
"m__2-Hydroxyoctanoate",0,0,0,0,0,0.0833044566682742,3.47648298497382e-06,0,0,0,0.0163955761037932,0,6.91139226800579e-07,0.136862332051577,0,0.0157711021630571
"m__3-Indoxyl sulfate",0,0,0,0,0,0,2.32543884027259e-05,0,0,0,0,0,0.219479987104914,0,0,0.0146335494328878
"m__C00003_NAD+",0.0132060510276139,0.37763402261222,0,0.0600107827516289,0.365983711752911,0.00463679406958206,0.00460568106833655,0,0.0726176786635507,0.00850272377510849,0.00933131925389105,0.0170786942040536,0.00526950653538495,0.0503760276196671,0,0.0659501995555966
"m__C00016_FAD",0,0,0,0,0,0,0.0891991941442186,0,0,0,0,0,0.0004711816615074,0.0792988691951608,0,0.0112646163333925
"m__C00020_AMP",0.0112766798122043,0.0207726595148879,0,0,0.00590874441377417,0.00265325117945847,0.00549703909622642,0.00478894865773419,0,0.0525324218153063,0,0,5.92068774835108e-05,0.0304310911312563,0,0.0089280028332221
"m__C00037_Gly",0.00567195803754845,0,0,0,0,0,0.113764114450553,0,0.0905707950085228,0,0,0.00302530171837445,1.45320661508579e-06,0.0569431591539585,0.00930990710123756,0.018619112578454
"m__C00041_Ala",0,0,0,0,0,0,4.71550441171419e-06,0.0086289784702704,0,0,0,0,8.32001503125697e-07,0.0261205837874883,0,0.00231700731757824
"m__C00047_Lys",0.00390614226761655,0.000212051167885623,0,0,0.0678842224667636,0,0.053494009270158,0,0.00327066597802856,0,0.00549857981002049,0,0.00416580419183064,0.120915849837489,0,0.0172898216659862
"m__C00055_CMP",0,2.20817661702136e-07,0,0,0,0,0.00950274717504123,0,0,0,0,0,0.00211010153539365,0.00584026663479374,0,0.00116355574419269
"m__C00064_Gln",0.0230462288468912,0.182263522094708,0.0092601704860596,0.0433943384641422,0,0.0316934119125658,0,0,0.127002962174036,0,0.0196350705796487,0.00185946134312324,0.00350863030190098,0.11263534878281,0.0563087398725044,0.0407071923238927
"m__C00065_Ser",0.048748308569421,0.00760355058515829,0.0827904502583612,0.18665977886453,0.280882104267462,0.0375296782800159,0.0147242251403548,0,0.00222709433846761,0,0,0.0545144603462028,0.036726852914846,0.0567666183785026,0.273135965358126,0.0721539391534299
"m__C00077_Ornithine",0.0199494325416991,0.00117998170513545,0,0.0257382437771034,0.00127463210043498,0,0.0198382967099023,0.125567330038128,0,0,0,0,0.0680251080195374,0.0817967621452256,0,0.0228913191358111
"m__C00079_Phe",0.0189056794042748,0,0,0,0,0,0.00153361134569776,0,0,0,0,0,0.00213236484656935,0.00273480301455621,0.0949595969738922,0.00801773703899935
"m__C00082_Tyr",0.00327118347805105,0.00701037969917899,0,0.153434798605382,8.85808479717315e-05,0,0.0521293975606639,0,0,0,0,0,0.0946377330276549,0.10840181993713,0,0.0279315928770688
"m__C00086_Urea",0.0295189817899213,0.00283502955243362,0,0,0,0,0.000149642921130587,0.0849796902204433,0,0.000793283131961609,0,0.286730578230908,0.000213963192749391,0.0794047923779937,0,0.0323083974278361
"m__C00093_Glycerophosphate",0.0299183312638425,0.108488979215045,0,0,0,0,0.0189798362107911,0,0.00373151910079237,0.00307658250590948,0.000272195108739492,0.0597427993052262,0.0540342767793363,0.00737003073497185,0,0.019040970014977
"m__C00097_Cys",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282326737142763,0,0.000188217824761842
"m__C00105_UMP",0.0122484966605148,0.0212968297264337,0,0,0.0158720756087929,0.0515723455962166,0.00328541415476562,0.00247813896988285,0.0243450023416865,0,0,0.0077300885331052,0.0158239399676927,0.025984709204025,0,0.0120424693842077
"m__C00122_Fumarate",0.0112474216263955,0,0.0209238559761046,0,0,0.00616585737220242,0.0270341734042768,0,0,0,0.0327506006115746,0.0318931389421264,0.000185368998058453,0.108916745494017,0.0628690992515346,0.020132417445086
"m__C00123_Leu",0,0,0,0.00531108465782239,0.0215876048765475,0,0.00572641023071007,0,0.0312455305881318,0,0,0,0.186956263973542,0.178318635708892,0,0.0286097020023764
"m__C00127_Glutathione(ox)",0,0,0,0,0,0,6.47269267103192e-06,0,0,0,0,0,1.29350699726197e-07,0,0,4.40136224717208e-07
"m__C00130_IMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110613965880924,0,0.000737426439206159
"m__C00134_Putrescine",0,0,0,0,0,0,0.00552560505022794,0,0,0,0.0239497486070493,0,1.96634624393047e-06,0.0268349032116417,0.00969647586288676,0.00440057993853664
"m__C00140_N-Acetylglucosamine",0.00773213887770616,0.000104716335663022,0,0.107462835655617,0.00550494846925798,0,0.0214219517767511,0.0152514805168858,0.0513015854525398,0,0,0,0.147322153340198,0.0485292073285839,0,0.0269754011835469
"m__C00144_GMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226903757448415,0,0.00151269171632277
"m__C00156_p-Hydroxybenzoate",0.0347570331816256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023171355454417
"m__C00163_Propionate",0.0323699762106316,0,0,0.0396839911837995,0.0170423476731766,0,0.0826258272465565,0.459500929425736,0,0,0,0,0.0726516332229366,0.1262038398324,0,0.0553385696530158
"m__C00178_Thymine",0.00990973917211722,2.46050725320321e-06,0,0,7.52306362897707e-05,0.0353573672680171,0.000105251214317844,0,0.107984687509658,0.00736500445485384,0.000331056061371085,0.00911878697472032,0.00278597445958341,0.120172867865526,0.247960424162827,0.0360779233524357
"m__C00183_Val",0.00787662569131388,1.57360549644092e-06,0,0.00947669295836574,0,0,0.0734547661288513,0,0,0.00665337102133115,0,0,0.0250232995040262,0.0833144600822404,0,0.0137200525994417
"m__C00188_Thr",0.0318951883411616,0.00111982147732405,0.00789939752403279,0,0.256597207543566,0,0.000456959577464462,0.0282581513632761,0.00793250623459182,0,0.000625841597180519,0.00877027994079222,0.0467002220111696,0.00518174059124616,0.0169855031006768,0.0274948546201654
"m__C00191_Glucuronate",0.00455106931754963,0.0213389896089252,0,0,0.134305383639929,0,4.17472809952393e-07,0,0,0,0,0,0.00637067943593276,0,0,0.0111044359650098
"m__C00214_Thymidine",0.00207188688818812,0.0271305116001619,0.00857602363854711,0.0750694260319005,0,0.00441989034720754,0.135798333405206,0.0184119991462985,0,0,0.0222141954499358,0.00372333280672179,0.147080269010975,0.265004196145702,0.0211137782336343,0.0487075895136319
"m__C00242_Guanine",0.0295247575320308,0.551502312988859,0.127774110145761,0,0,0.00236616223238035,0.0589785332014905,0,0.0270741161619163,0.0042318003643323,0.000477335177991699,0.0245506550757938,0.00250911754582568,0.173444579072211,0.0887836952645864,0.0727478116508786
"m__C00255_Riboflavin",0.0146198343512018,0,0,0,0.00226182466571378,0,0.0163156153175613,0,0,0,0,0,0.0288492596197109,0,0,0.00413643559694585
"m__C00257_Gluconate",0,0,0,0,0,0,8.85378258918107e-05,0,0,0,0,0,0,0.00565342946422709,0,0.00038279781934126
"m__C00262_Hypoxanthine",0.0391503147560769,0.215047844571138,0,0,0,0,0.0950962374036301,0,0,0,0,0,0.0136277547011401,0.0354778476337432,0.00805377771122709,0.027096918451797
"m__C00263_Homoserine",0.016234466212346,0.00264654698407633,0,0,0.0475606242750748,0,0.0220116625672654,0.0225027167917319,0,0.00174242467813927,0,0,0.18634000758398,0.0813875225196573,0.00609814073972683,0.0257682741567999
"m__C00294_Inosine",0.0380951291224391,0.138401785939683,0,0,0.0562066586859662,0.00792478653138298,0.005790743300196,0.00887246333963643,0.00587301372680007,0.0322138501155821,0,0.0714608762721832,0.00163865915530809,0.0429066189581658,0.00921207867328724,0.0279064442547087
"m__C00299_Uridine",0,0.0265594072558942,0,0,0.000437129696848776,0,0.0388221260377728,0.0290452433891401,0,0.0130277527464398,0,0,0.0251890124474688,0.0487392935445017,0,0.0121213310078711
"m__C00300_Creatine",0,0,0,0,0.0389186297511415,0.00716821525210637,0.0332137408857476,0,0,0,0,0,0.00110052038216477,0.057881610724897,0,0.00921884779973715
"m__C00314_Pyridoxine",0,5.93957273447997e-05,0,0.0057746874543775,0,0.00720912574372607,0.00230121739796437,0,0,0,0.00531104867639793,0,0.00611020659968644,0.0278709036281784,0,0.00364243901517837
"m__C00327_Citrulline",0.0145333381108626,9.09440865404183e-07,0.0158888513852833,0.0936539058548181,0,0,0.000338001020639234,0.00404336138221748,0,0,0.000376547442609724,0,0.034341816461876,0.00922728848963378,0,0.0114936013059204
