"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",2.89207218752434e-05,0.00137458968585247,0.000548490663874166,0,0.000163631238060535,0,0.000604095104234219,0.000971388853349664,0.000626651709189059,0,0.000980019745198071,0.000366511253265413,0.00114330005090548,0.00151529129560038,0.000897366098408259,0.000614683761320864
"m__2-Hydroxyoctanoate",0,0.00539000676259531,0,0,0.00588294123298959,0,0,0.00362118264371561,0.00192260536823772,0,0.00337488096788721,0.0013120574045954,0.00646805282845463,0.00484650627291934,0.00219458266534296,0.00233418774311585
"m__3-Indoxyl sulfate",0,0.00167404805216385,0,0,0.000965655843495908,0,0,0,0,0,0.000631738746580429,0.00194771360556089,0.00430174353424476,0.000905456177495212,0,0.000695090397302737
"m__C00003_NAD+",0,0.00437017707673293,0,0,0.00325186405705844,0,0,0.00179005642628363,0.00402681194546362,0,0.00203547170073893,0.0016508411247576,0.00207392372620163,0.00302611278334941,0.00140945069622826,0.0015756473024543
"m__C00016_FAD",0,0.114828790582223,0,0,0,0,0,0.0406071154669046,0,0,0.0108935030863665,0.0012409383712918,0,0,0.0242553532684617,0.0127883800516832
"m__C00020_AMP",0,0.0117724668052987,0,0,0,0,0,0.000989388025930687,0,0,0.0200935943046504,4.27550820412461e-05,0,0,0.0150078988548142,0.00319374020484902
"m__C00022_Pyruvate",0,0.00386330735549337,0,0,0,0,0,0,0,0,0,0.00248993841304017,0,0,0,0.000423549717902236
"m__C00026_2-Oxoglutarate",0,0.000558548218975286,0,0,0,0,0,0,0,0,0,0.00032479578668303,0,0,0,5.88896003772211e-05
"m__C00037_Gly",0,2.93618885263904e-05,0,0,0,0,0,0,0,0,2.18818640628031e-05,3.61403653282869e-06,0,0,6.27247362735227e-05,7.83883502636965e-06
"m__C00041_Ala",0,6.18246252327657e-05,0,0,0,0,0,0,0,0,5.41347672543397e-05,3.37679569803123e-05,0,0,0,9.98182329782784e-06
"m__C00047_Lys",1.20508472819075e-05,0.000598228430807459,7.00685298441833e-05,0,0,0,6.30501448645242e-05,0.000333094587338025,0.000250285695846527,0,0.000779449194212063,0.000194646336870979,0.000415229349623752,0.00018499339336994,0.00040833882542823,0.000220629022365839
"m__C00055_CMP",0,0.0302471206229635,0,0,0.00111798577375914,0,0,0,0,0,0.043341195648177,0.00962060634848868,0,0,0.00478466516077754,0.00594077157027772
"m__C00064_Gln",0.000991112422832213,0.00103332061192528,0.000972846411397568,0,0.00108953641034308,0,0.000152616064546799,0.00225665130977598,0.00247530978568303,0,0.00056000812742994,0.000381037595849034,0.00220530339067728,0.000647785041902756,0.00102297894078322,0.000919233740876412
"m__C00065_Ser",0.00304715011960072,0.00281297042076644,0.00194703060330923,0,0.00297998744145629,0,0.000896202470585213,0.00225663011438192,0.00227115225661233,0,0.00326891598761361,0.00136524036727423,0.00479768525370614,0.00176337590037795,0.00138011829062193,0.00191909728175373
"m__C00077_Ornithine",0,0.000255456155810841,0,0,0,0,0,0,0,0,0.0013364198482227,0.000120539178563427,0,0,0,0.000114161012173131
"m__C00079_Phe",0,0.000306068889298699,0,0,0,0,0,0,0,0,0,7.82553644818896e-05,0,0,0,2.56216169187059e-05
"m__C00082_Tyr",0,0.000595687294704776,0,0,0,0,0,0,3.89740223570705e-08,0,0.00048885682656105,3.86614748617332e-05,0,5.57211187781881e-05,0,7.8597712595207e-05
"m__C00086_Urea",2.65647663816705e-05,4.37833474305944e-05,0.000147028506206581,0.000727583192018817,9.39200806114236e-05,0.000277435115040761,4.85602118245168e-05,5.58058142958831e-05,4.16703176327675e-05,0.000690955408808181,6.129023711914e-05,2.10411645931096e-05,5.86696991498678e-05,5.98211065840452e-05,3.97246098319404e-05,0.000159590238501953
"m__C00093_Glycerophosphate",0,0.001664743640594,0,0,0,0,0,0,0,0,0.00146949473358797,0.000838544088298145,0,0,0.000469945966658964,0.000296181895275939
"m__C00097_Cys",0,0.0723075979905154,0,0,0,0,0,0,0,0,0,0.227812472647696,0,0,0,0.0200080047092141
"m__C00104_IDP",0,0.119136871452973,0,0,0.0850596865229507,0,0,0,0.0352887367589751,0,0.0343491108529152,0.0230104768313553,0.00105364284455587,0.0715768124601539,0.0383495698440482,0.0271883271711951
"m__C00105_UMP",0.00682704753254972,0.038895981596419,0.0243755675054115,0,0.0702946848573847,0.0600214888930235,0.0206536533711284,0.00962371111718286,0.0526779011252179,0,0.0379948891931483,0.0179147451322252,0.0359130036042674,0.0462681800309974,0.0233887882987269,0.0296566428171788
"m__C00109_2-Oxobutyrate",0,0.0019419991678307,0,0,0,0,0,0,0,0,0,0.00124647625119314,0,0,0,0.000212565027934922
"m__C00122_Fumarate",0,1.81049700894445e-07,0,0,0,0,0,0,0,0,0.000530088926744049,0.0021257581956144,0,0,0,0.000177068544803956
"m__C00123_Leu",0,0.000164671604023493,0,0,4.9645637811365e-06,0,0,0,2.83017719271912e-05,0,0,1.13733559073118e-05,0,0,0,1.39540863759422e-05
"m__C00127_Glutathione(ox)",0,0.0217657432752826,0,0,0,0,0,0,0,0,0.013373102923178,0.001661884501066,0,0.000388900078022901,0.00833965839178616,0.00303528594462238
"m__C00128_CMP-N-acetylneuraminate",0.16602765763119,0.409171912833405,0,0,0.465694383377143,0,0.110953912734482,0.161099670140899,0.226880816977894,0,0.267081613644738,0.11763777702421,0.0782337975703749,0.267623207116528,0,0.151360316603391
"m__C00130_IMP",0,0.080363047231591,0,0,0.021040915300586,0,0,0.0203571461042119,0.0016965438936985,0,0.0228405494083127,0.00425584729237531,0,0.0719046841883055,0.0276681493949579,0.0166751255209359
"m__C00134_Putrescine",0.000368416286282276,0.00085549977705869,0.00143387649632188,0.00812587653547903,0.00166675959176808,0.00237426507477985,0.000475690725121684,0.00100978343314278,0.000940825897546398,0.0077356789911303,0.00101537937430983,0.000279666089299929,0.000742984416071574,0.000434712697280657,0.000484821309334667,0.00186294911299517
"m__C00140_N-Acetylglucosamine",0,0.00227194775174937,0,0,0,0,0,0,0.00132729335026867,0,0.00190080162078963,0.000390073856179145,0,0.00116952422217211,0,0.000470642720077262
"m__C00144_GMP",0,0.0814818902761892,0,0,0,0,0,0,0,0,0.0571007508073878,0.0442364733998741,0,0,0,0.0121879409655634
"m__C00156_p-Hydroxybenzoate",0,0.00469128595019518,0,0,0,0.00125795217519242,0.00116696407685737,0.00283902160027515,0.00222234792330451,0,0.00275011940572351,0.00533412078736377,0,0.00303736821399804,0.000750310125745914,0.00160329935057706
"m__C00160_Glycolate",0,0.00122007299567662,0,0,0,0,0,0.00240534199751648,0,0,0.000669906481432869,0.00144351091354462,0,0,0,0.000382588825878039
"m__C00163_Propionate",4.83189999904604e-06,2.30712504873059e-05,0,0,6.44397371874506e-05,1.50031509287844e-05,1.1585544320814e-05,1.2253792435442e-05,7.61785316836937e-06,0,4.36770842735543e-05,1.07438039294566e-05,1.13678148819832e-05,1.46533521332234e-05,0,1.46163522496953e-05
"m__C00166_Phenylpyruvate",0.0020976648506382,0.0160179303986173,0,0,0,0,0,0.00555802713346165,0.00446679668729998,0,0.0131670986563621,0.020261439134135,0.00757403417056859,0,0.00516653191917066,0.00495396819668356
"m__C00178_Thymine",0,6.50059655030074e-07,0,0,0.00208111103059645,0,0,0,0,0,0.00177964699624777,0.00167611566353344,1.06740481289153e-05,0.00108334094151647,0.000954820328867023,0.00050575727123634
"m__C00183_Val",0,0.000344530928234491,0,0,0,0,0,0,0.00010675643617567,0,0.000140613906997482,4.02599881303728e-05,1.37601875747044e-05,6.68113458849239e-05,0.000155995040677841,5.79151889116991e-05
"m__C00188_Thr",0.00187359231231414,0.00214849130044652,0.00668232324050209,0.0174096769186456,0.00555482007209143,0.012497414863449,0.0021580038380579,0.00249441098065506,0.00224851668201723,0.0227331996288755,0.00157564977872435,0.000938598380478595,0.00199733865410352,0.0022131077039505,0.00124808409421043,0.00558488189656812
"m__C00191_Glucuronate",0,0.000603224826042439,0,0,0,0,0,8.30342443046602e-05,0.000111541989736328,0,0.000549693286677943,0.000250197440282112,0,5.76158085270632e-05,0,0.000110353839704703
"m__C00214_Thymidine",0,0.0139514237735972,0,0,0,0,0,0,0,0,0.00757298934091594,0.000360297412911367,0,0.00371144572854424,4.5265456039912e-05,0.00170942811413391
"m__C00242_Guanine",0.0685511557777273,0.0966705638100446,0.124756579561225,0,0.123014072295394,0.0605104059705327,0.0561997273144213,0.119324338945788,0.128256474830956,0.39926285915071,0.0750443999091043,0.0239243794470615,0.0948771533752702,0.0417801844877244,0.0425872949988038,0.0969839726583175
"m__C00255_Riboflavin",0,0.024044568369701,0,0,0,0,0.00436183048469415,0.0194425885167728,0.0232909861069831,0,0.0518322414374937,0.00602280767358064,0.0120936913548068,0,0.00344579702564129,0.0096356340646449
"m__C00257_Gluconate",0,0.000139198201168592,0,0,0,0,0,0,0,0,0.000675266264032323,6.83177916289457e-05,0,0,0,5.8852150455324e-05
"m__C00262_Hypoxanthine",0,0.000253528032531589,0,0,0,0,0,0,0,0,0.000378853704661862,0.00175497150692374,0,0,0,0.000159156882941146
"m__C00263_Homoserine",0,0.0325495163260849,0,0,0,0,0,0,0.00530346275853568,0,0.00573695657255479,0.00217502367002902,0,0,0.00125158953939943,0.00313443659110692
"m__C00294_Inosine",0,0.00424774670629743,0,0,0,0,3.96685194600817e-05,0.0149167060591252,0,0,0.00344075530734019,1.6077544785852e-05,0,0.00422462147763168,0.000175813526978046,0.00180409260944123
"m__C00299_Uridine",0,0.0011311580552447,0,0,0.000916060870312795,0,0,0.000794870997804695,0.00276212030923548,0,0.000271430864666575,0.00159268998175428,0.00594237258922886,0.00142395923371025,0,0.000988977526797176
"m__C00300_Creatine",0.000684485329009537,0.00139876404560471,0,0,0.00120535474028875,0,0.000173734175926163,0.000718082428459331,0.000669377021312438,0,0.00150822748468479,0.000272662336536311,0.000586252728686623,0.000810204338351251,0.000382315870261668,0.000560630699941438
"m__C00314_Pyridoxine",0,0.0294037210764835,0,0,0.000486350152215508,0,0,0.000287495128191638,0.179215046606174,0,0.0226239551686393,0.00855774969326593,0.0755628227457011,0.0158369000898368,0.0321621964296675,0.024275749139345
"m__C00322_2-Oxoadipate",0.143522236211578,0.0113157997936457,0.0411022975437478,0,0,0,0,0,0.0483095505743604,0,0.0617534752692677,0.0962765645402461,0.23533158386146,0,0.0735717092193547,0.0474122144675774
"m__C00327_Citrulline",0,0.000325499021361358,0,0,0,0,0,0,0,0,0,0.000183630978516829,0,0.000701644879323077,0.000647657372948171,0.000123895483476629
"m__C00329_Glucosamine",0,0.00420249881979811,0,0,0,0,0,0,0,0,0.00241941098742684,0.0019858826734302,0,0,0.00485311915376039,0.000897394108961035
"m__C00352_Glucosamine 6-phosphate",0,0.0485910757990401,0,0,0,0,0,0,0.0177981902702185,0,0.0816157889236936,0.0479335632247096,0,0,0.00570584104992506,0.0134429639511725
"m__C00357_N-Acetylglucosamine 6-phosphate",0.0152395173439428,0.0183030762519322,0.0322523430658211,0,0.0283766414923071,0.0308963648671677,0.0135390064109047,0.0211951726823776,0.0161077614177929,0,0.0109783060187163,0.00489501544271622,0.0185843017283638,0.0133042363674162,0.00638387400067027,0.0153370411393419
"m__C00364_dTMP",0,0.0146413392388874,0,0,0,0,0.0282617890566578,0.0353023690526469,0.000268037170292886,0,0.038216038803406,0.0211720986618218,0,0.0141889985884969,0.0422030359466875,0.0129502471012598
"m__C00366_Urate",0,4.84904559997251e-05,0,0,0,0,0,0,0,0,1.01993066014124e-05,2.64401079133165e-05,0,0,0,5.6753247009636e-06
"m__C00371_trans-Zeatin",0,0.223511915515494,0,0,0,0,0,0,0,0,0.00768828344197567,0.00500504170789269,0,0,0.00604476309650257,0.016150000250791
"m__C00378_Thiamine",0,0.000797471662005165,0.00162387008293243,0,0.000753659546189015,0.000134065629716522,0.000446477003538656,0.00122010321034165,0.00053265496809177,0,0.00079471030570977,0.000432663675497323,0.00129107985020462,0.00114783914188217,0.000648044940247481,0.000654842667757105
"m__C00388_Histamine",0,0.000170004163712955,0,0,0,0,0,0.0011468759972687,0,0,0.00149437774924742,0.000530517903821422,0.00197180295940208,0,0,0.000354238584896838
"m__C00407_Ile",0.000107857932910188,0.000918410873568276,0,0,0.00103463219339272,0,0.000433325798691583,0.000690005330924291,0.000664345003689823,0,0.000748213609236591,0.000164014911337478,0.000556679968576826,0.00053791769300078,0.000325714746204537,0.00041207453743554
"m__C00408_Pipecolate",0.00749094156116223,0.00764415088908494,0.0166231030357601,0,0.0162766642926123,0.0116493265054851,0.00301157601233365,0.00874114696223535,0.00947748343925894,0.00297902415888111,0.00748027529724256,0.00495220618142367,0.0141561769001904,0.00718475776581709,0.00416165000896658,0.0081218988673636
"m__C00417_cis-Aconitate",0,0.000619239907317568,0,0,0,0,0,0,0,0,0.00111267622860005,0.000290598763358596,0,0,0,0.000134834326618414
"m__C00489_Glutarate",0,0.00113636308835692,0,0,0,0,0,0,0,0,0.000283665812342735,3.49468814370246e-05,0,0,4.86861221446237e-05,0.000100244126952087
"m__C00491_Cystine",0,0.00811798891579858,0,0,0,0,0,0.00141086892689775,0.00755794685649558,0,0.000831630715613749,0.0024670678699125,0,0,0,0.00135903355231454
"m__C00575_cAMP",0,0.000677453919350234,0,0,0,0,0,0,0,0,0,0.000154023415372433,0,0,0,5.54318223148445e-05
