"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0.0420066407557442,0.0793652201249229,0.0667885677998301,0.0257096750163475,0.0771191956801759,0.0441256128080386,0,0.304259490871745,0.0524702565722983,0.0947208040012205,0.0369768405702952,0.046988968439286,0.0545812423175721,0.244765346934104,0.252009554130955,0.0947924944015024
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.06035754335973,0.0641106083533778,0.014119099240685,0.0580625854628497,0.0521544970453498,0.00735790233335625,0.0121109625268614,0.307217679646719,0.0379338687930147,0.163717816712448,0.0322888410930073,0.019124944125567,0.0367696242507959,0.179860185265102,0.155042299604519,0.0800152305208922
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0.0390471275587568,0.0731090830417257,0.0356577483976259,0.0310885054669087,0.0668229640862806,0.0209099644804822,0.126192682622448,0.51130220008846,0.01351778798235,0.0860630059770481,0.0191793946542127,0.0924727470295356,0.0339952500338951,0.0662561894879181,0.239184840529733,0.096986632762492
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.316824290936183,0.356290392407186,0.118605476044289,0.0869898222810986,0.240845009659225,0.0281902846196931,0.360435627726893,0.577087458172376,0.235360624872701,0.447348521699792,0.104036780391484,0.220966665732548,0.114929210954157,0.345170780026529,0.184919330015166,0.249200018369288
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.290359513852413,0.100282300854526,0.0834644083533792,0.0644798070166884,0.185576334382879,0.153372360044788,0.306648365246681,0.737219690045299,0.163637992583873,0.228373230560704,0.0680314392194164,0.127508730454595,0.0707809437840639,0.257778401313725,0.224902883050173,0.204161093384214
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0.0692694149923319,0.0743844234031116,0.100121868626056,0.0549073640603022,0.130586382377932,0.0278332438592271,0.0941620776041425,0.36732695595466,0.0404405275226642,0.231538839915755,0.0874935383043749,0.0626136564420631,0.0347860357556411,0.110013194993273,0.171538512805874,0.110467735774494
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia turicensis",0.121600905193965,0.104119553669586,0.0790399109491183,0.0457065075704337,0.0984205676270592,0.0774385351160113,0.0631360682868056,0.388274971152485,0.0427309067617748,0.0678652680857889,0.00941558880000407,0.0383226521729237,0.0363497222927569,0.177430793132547,0.187927909919405,0.102518657382044
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum",0.164813057137254,0.0963548573000476,0.0688485222162224,0.0783074050158545,0.0581581343754039,0.0795383372667303,0.0693592602967769,0.480618876396542,0.117351799908516,0.175403045753365,0.0520064195106151,0.0491773844181454,0.0456029186832222,0.105624972084968,0.142318235933913,0.118898881753172
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium callitrichos",0.194182966336786,0.284237263865612,0.0820052737139639,0.0491968581279344,0.0237144700155626,0.160868526560104,0.0776117007293711,0.135651304246347,0.100156736832019,0.457087366951606,0.0811524641609494,0.110092327969525,0.104109323447498,0.169808271081638,0.357124347204569,0.159133280082899
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cebidarum",0.0719066940201075,0.136203162582472,0.138647234376086,0.00682043061402984,0.206036798601416,0.188559322802005,0.0211424079067429,0.242191565572809,0.0371023227534624,0.206700162134698,0.0606787429015382,0.029210792638151,0.0963504007414714,0.156926503721469,0.221110784868614,0.121305821749005
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium felsineum",0.0295010110092474,0.0699125403727689,0.109063375491888,0.045612904983134,0.0823075803797536,0.100691934988649,0.125715458267094,0.370725016770347,0.052006358545143,0.221888581857816,0.0483174827159615,0.063627677957291,0.0417616194662093,0.271953926909581,0.168199104651859,0.120085638291116
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium goeldii",0.0350637989871916,0.0492512373231686,0.0520236213739031,0.0345342513282927,0.109318939886771,0.115617783674634,0.079266002630207,0.273240817167787,0.0595363032479615,0.0389597008372086,0.0624132168030514,0.0647893303264854,0.0791781719510537,0.0703349156279443,0.346017798542479,0.0979697259805426
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium hapali",0.119732161444185,0.170929154885581,0.0781127996807288,0.00445348603603207,0.100755689414432,0.0582725510179787,0.0112860672463941,0.226844976634026,0.06763124560609,0.278128584921957,0.0630321768580221,0.0887872623972244,0.0182955942344516,0.209279962057271,0.333741566598113,0.121952218602166
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0.158284597848768,0.127252688089629,0.090920360836223,0.0553124946846097,0.0630888259903831,0.130344879856623,0.124556115540753,0.674309736819429,0.140130813104205,0.212387756750141,0.0226293177005234,0.0897534640227322,0.0392791459234979,0.225193213561553,0.31825501154707,0.164779894818409
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium jacchi",0.0286097993534715,0.129261419978488,0.0347314305153193,0.0109861069569097,0.0410241193065626,0.0801528092129575,0.0742407844013955,0.300782187513314,0.113005564121645,0.244835765687563,0.0306450776022678,0.0037211289199166,0.0441627693584613,0.245666856231857,0.217879926669774,0.106647049721994
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum",0.167445374310938,0.0885230684545787,0.137032953097582,0.0442966211152428,0.142905776726696,0.110098855050588,0.081958097896943,0.402468739991506,0.0427640244944122,0.349169280096111,0.0696011963013964,0.0900952533638625,0.0672598194258072,0.192070930320146,0.197138362645453,0.145521890219418
