"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",4.22605022023408e-12,0,0,3.71272003403979e-11,0,3.97192114088286e-11,3.5296019000609e-12,3.20698656170508e-11,0,1.42180842881094e-11,1.83215407435792e-11,0,1.69997202092034e-11,6.70796867905227e-11,4.69689866508282e-12,1.5865857345538e-11
"m__2-Hydroxyoctanoate",8.06342310416325e-10,1.17374337560939e-09,5.25117099382998e-10,1.073619315009e-09,1.78546388519759e-10,7.44262659803477e-10,7.56079332897948e-10,1.30830543169789e-09,4.85323344154638e-10,1.03733202845484e-09,7.8353546651254e-10,2.8069281592854e-09,4.38116143819197e-10,1.29730060520835e-09,1.31373309852033e-09,9.81885650619473e-10
"m__3-Indoxyl sulfate",1.14964759048854e-10,1.12538454346927e-09,0,4.1542072700201e-10,0,3.23569989060304e-10,3.40041137194278e-10,1.76342022008045e-10,0,3.97742911235502e-10,2.23613769483749e-10,0,1.97417763155594e-10,3.49568749962637e-10,5.77649250168001e-10,2.8278104145255e-10
"m__C00003_NAD+",5.23223432070291e-10,0,0,5.94802093506431e-10,2.41040556206201e-10,1.0519412057201e-09,7.01592771290852e-10,3.00185850771676e-10,0,9.14708750123062e-10,6.54304041678957e-10,0,5.33979268968761e-10,9.07081988586628e-10,1.30054441222699e-09,5.14893624743329e-10
"m__C00016_FAD",1.77088195856634e-08,0,0,2.87753077375942e-08,8.47681353264151e-09,1.98711977922515e-08,2.97541289559927e-08,1.5822878047667e-08,3.3611696068937e-10,3.30133434124281e-08,1.52498048315253e-08,0,1.20342007507579e-08,2.04081936091401e-08,4.03256527942721e-08,1.61184305340415e-08
"m__C00020_AMP",1.57355752004125e-09,0,0,7.9995209985202e-11,0,1.72043578965093e-09,1.37684227211742e-09,1.20448477824124e-09,0,1.78295969704755e-09,1.56035247369271e-09,0,1.3099639841863e-10,6.11464749223772e-11,1.41530139967313e-09,7.2707146758603e-10
"m__C00022_Pyruvate",4.14600104279107e-09,0,0,6.16455334944551e-09,0,4.49173673505694e-09,4.13986196373575e-09,4.18612312676099e-09,1.37698956324183e-09,5.03202999626924e-09,4.41640845597916e-09,0,2.4923852718574e-09,3.65070711676892e-09,5.48069449231750e-09,3.03849940761495e-09
"m__C00026_2-Oxoglutarate",8.66740155193202e-10,0,0,8.68522846826031e-10,0,5.18147312312989e-10,0,5.61035519892527e-10,0,9.11251458702433e-10,0,0,0,5.00991930419376e-10,1.04165317657459e-09,3.5122282666141e-10
"m__C00037_Gly",1.52196081558235e-11,0,0,4.22250754561979e-12,0,9.03434147363178e-12,8.95613084014819e-12,1.7371737037922e-12,0,1.1101162965317e-11,6.84911876605065e-12,0,5.78683440043154e-13,1.90824240146089e-12,1.50760752128184e-11,4.97886963364704e-12
"m__C00041_Ala",2.53059288432568e-11,0,0,5.79793117985839e-11,0,3.030482752996e-11,2.22687165640982e-11,2.04027167967925e-11,0,3.03260761326864e-11,3.44227537355906e-11,0,2.12063691869027e-11,2.669643545999e-11,2.95663585829137e-11,1.9898632975385e-11
"m__C00047_Lys",4.82106346283467e-11,1.4550927250817e-12,0,5.49946961367196e-11,2.59058830525129e-11,7.43075348552029e-11,3.95890986521627e-11,5.27934937993787e-11,2.66316368200143e-11,5.88777468458774e-11,7.30125442199962e-11,0,3.59956470739023e-11,3.97449521994088e-11,5.98134293028069e-11,3.94221593540941e-11
"m__C00055_CMP",5.1698145770521e-09,0,7.54780662073365e-10,1.79760601774072e-08,0,4.05232507622654e-09,5.93340868127773e-09,2.19433667721381e-09,1.35793984098468e-09,9.15708800840645e-09,4.29241119375367e-09,0,7.5734572820969e-09,6.34214191117534e-09,1.44479081447266e-08,5.28344481549296e-09
"m__C00064_Gln",1.10384071882623e-10,0,0,2.19328532929762e-10,0,1.28098683919461e-10,6.67182478921482e-11,8.57536447973657e-11,0,1.62609700314947e-10,3.95813731894276e-10,0,7.23155709311308e-11,1.1046851297452e-10,1.38289705719737e-10,9.93186935503979e-11
"m__C00065_Ser",3.55647729671152e-10,2.43231446121186e-11,2.36574151024026e-10,3.61141578261834e-10,3.01846588809805e-11,3.14526525295571e-10,3.09733476535161e-10,2.4487387329825e-10,8.76377989334908e-11,3.14217551801613e-10,2.81973366486437e-10,0,1.5268683963715e-10,1.63070117844696e-10,3.94640434153142e-10,2.18082083095708e-10
"m__C00077_Ornithine",2.65260970069688e-10,6.28337189501486e-10,3.37131943129282e-10,4.24623862415047e-10,3.12538965315513e-10,3.27206629511907e-10,2.98912971106408e-10,2.87675934203675e-10,3.60327256473251e-10,3.90190138458715e-10,3.2405178117426e-10,6.44564442715996e-10,1.80772383384624e-10,2.08959601547499e-10,5.52055951334177e-10,3.69507334689435e-10
"m__C00079_Phe",1.02172265559669e-10,1.49720751515276e-10,3.95104005076676e-11,1.77420540621767e-10,1.26997172199466e-10,1.31091516858586e-10,1.19596959507347e-10,1.15241990578138e-10,7.06087683672748e-11,1.46740945824838e-10,1.31473958002647e-10,5.05303540057718e-10,6.5487760932501e-11,1.02371767894404e-10,1.92206105726767e-10,1.45062962943604e-10
"m__C00082_Tyr",1.90094175917724e-10,9.35563437439089e-12,5.5851937649231e-11,4.04339934471532e-10,1.73753036719117e-12,2.70038836998349e-10,2.49497974870684e-10,2.26560141867482e-10,6.73236387409406e-11,3.02180519343732e-10,2.63407371982593e-10,3.47184176373199e-12,1.41394177619766e-10,2.36505479708514e-10,3.2761405684583e-10,1.83291550168113e-10
"m__C00086_Urea",2.20134867661074e-12,3.48589387799712e-12,0,4.46379090298011e-12,1.89113269359536e-12,3.16346349083254e-12,4.72487344866639e-12,1.61582070198818e-12,3.37850927202908e-13,4.02882287077808e-12,5.27337492453252e-12,0,3.1226623548116e-12,3.32141307538113e-12,5.5987146986245e-12,2.88194417626674e-12
"m__C00093_Glycerophosphate",8.62993057973538e-10,1.25347663629801e-10,0,1.03014036839883e-09,0,6.46128881181179e-10,7.25387184676714e-10,8.65989452703016e-10,5.82473342223733e-10,1.62819114780875e-09,1.45140878534295e-09,6.61754307878038e-11,4.79824133328707e-10,9.57954389757528e-10,1.25779973679549e-09,7.11987571640536e-10
"m__C00097_Cys",1.55324617347995e-07,0,0,2.19135753038159e-07,0,2.06791660982215e-07,2.22378207580537e-07,1.84740623564278e-07,0,2.60763935247669e-07,1.75680012687615e-07,0,1.16963390656018e-07,1.62813220488727e-07,2.96058424639412e-07,1.33376656415508e-07
"m__C00104_IDP",1.31406218466466e-08,0,0,1.54460972954314e-08,0,9.41707305556393e-09,1.01068912130136e-08,1.0875708178196e-08,0,1.25357490805259e-08,8.93909379560584e-09,0,0,7.95578637633066e-09,2.28390878126049e-08,7.41707391026125e-09
"m__C00105_UMP",8.1371513045647e-10,0,0,4.18285974532587e-09,0,6.54901816192924e-10,1.86027269307663e-09,2.01191143862001e-10,0,2.08712793255059e-09,3.12508275034244e-10,0,8.87948289731318e-10,3.17238458170540e-09,2.07309909928476e-09,1.08306724714801e-09
"m__C00109_2-Oxobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00122_Fumarate",4.20959180353303e-09,8.90969073718144e-09,6.36320528318538e-09,3.2239280215371e-09,3.92526761872705e-09,3.70960696043851e-09,3.25471406578494e-09,2.85000861416175e-09,2.19608827835881e-09,3.91971811510777e-09,3.16061267953841e-09,1.06967387778259e-09,1.8913697505944e-09,2.29842934126381e-09,4.58398813364733e-09,3.70439288538949e-09
"m__C00123_Leu",4.99954816967104e-11,7.88622726379072e-11,0,9.56049978345995e-11,2.20188764807022e-11,6.69823774027711e-11,6.33763161422663e-11,5.34466886184763e-11,1.09695590097109e-11,8.87502215214687e-11,8.29858657021731e-11,1.50307779822619e-10,3.83088412420747e-11,6.650734509343e-11,9.39781126911957e-11,6.41396490597403e-11
"m__C00127_Glutathione(ox)",6.52436227740168e-09,0,0,4.87208201553624e-09,0,4.1463830583586e-09,7.63846916138499e-09,1.69369884574625e-09,0,1.72199356736975e-08,1.12685793077211e-08,0,2.87592030776384e-09,7.55196899371506e-09,8.81658842682835e-09,4.8405325378769e-09
"m__C00128_CMP-N-acetylneuraminate",4.9650349302381e-08,0,0,6.06092799685505e-08,0,5.34352642567118e-08,1.86150791899742e-08,5.49358240894403e-08,9.20392161833503e-09,3.20072016192407e-08,2.349644887261e-08,0,1.67940276699207e-08,2.15793758277765e-08,4.74084366080127e-08,2.58490139348636e-08
"m__C00130_IMP",5.0513234324438e-09,3.00079059474461e-09,0,2.37411155229006e-08,0,1.08753175737956e-08,1.22283319160721e-08,9.92891460415152e-09,0,1.8612473598992e-08,2.02117980171152e-08,0,6.33734201220724e-09,1.03665955544253e-08,2.0198282243127e-08,9.37015233799833e-09
"m__C00134_Putrescine",5.35673531613898e-11,0,1.37493059604552e-13,9.50076106995692e-11,1.02736853365198e-11,7.08236712526506e-11,6.66058005784899e-11,6.51959416054667e-11,2.44247667641881e-11,7.31165242133074e-11,7.29321706634473e-11,0,3.56736126923028e-11,4.63901891668586e-11,1.0249482017796e-10,4.77762426247836e-11
"m__C00140_N-Acetylglucosamine",1.41160748117946e-10,0,0,1.40885183858825e-09,0,1.95526907288483e-10,1.84271550817597e-10,4.2476230229561e-10,0,1.12116828739824e-10,1.80183627680065e-10,0,6.26163786482061e-11,5.99155777367199e-10,1.00684426516411e-09,2.87699348313819e-10
"m__C00144_GMP",2.41304950917766e-08,4.77657897138197e-08,1.49887783450263e-08,4.05621921601981e-08,4.01157338569144e-08,4.42012832299294e-08,3.45230343691334e-08,2.96636480307521e-08,1.9653413297546e-08,3.39295725869867e-08,2.53517348168888e-08,0,1.31147901670722e-08,3.11446474819511e-08,3.83036129963988e-08,2.91632484096262e-08
"m__C00156_p-Hydroxybenzoate",7.6766909648075e-10,1.80313195152759e-09,2.74117767568246e-10,9.88467730759862e-10,5.8946587088207e-10,1.61642019599176e-09,7.50268844346782e-10,6.58706458066668e-10,1.56776069846284e-09,1.00731364481794e-09,8.10740080226274e-10,0,3.91124922999739e-10,5.93958505813828e-10,1.1357502870421e-09,8.63659736999097e-10
"m__C00160_Glycolate",3.30216825643589e-10,0,0,3.20067406364938e-09,0,3.11964512030252e-10,3.04321831672503e-10,1.01671224591875e-09,5.16914447897174e-10,4.32719485460632e-10,3.34819025480609e-10,0,7.70171492804841e-11,9.727567262582e-10,2.13608144479113e-09,6.42279850538847e-10
"m__C00163_Propionate",1.33371878845316e-12,0,0,6.44825543930599e-13,0,3.8101151084455e-12,2.21829681429365e-12,6.59472460514428e-13,0,2.92967193596836e-13,2.0255689474357e-12,0,1.5690953386623e-12,2.2696090035341e-12,5.80997357159159e-12,1.37557618469719e-12
"m__C00166_Phenylpyruvate",1.12508175023364e-09,0,0,2.6958249579928e-10,0,1.13375221910393e-09,8.84387445072232e-10,1.23796717108553e-08,0,1.85788256926302e-09,1.29581019734404e-09,0,5.25807242723435e-10,1.39919242729655e-09,1.94663668650228e-08,2.68916899484762e-09
"m__C00178_Thymine",3.90381350758557e-10,5.06112955080415e-10,1.37558776017089e-10,5.98510737409651e-10,3.78914053349592e-10,5.00701762510643e-10,4.46329168005742e-10,3.86756632911743e-10,1.9330730904162e-10,4.71147901050146e-10,3.4893685913995e-10,0,1.84109873333306e-10,3.31161977753157e-10,6.97439985787414e-10,3.71424622809935e-10
"m__C00183_Val",6.64206936606831e-11,1.07206801839426e-10,3.74524476765469e-11,1.19599930616077e-10,6.1826342813453e-11,8.66343223849445e-11,7.88814648283555e-11,6.26381196506265e-11,4.14257928738312e-11,1.01879296791189e-10,1.10567133817796e-10,2.6359675195949e-10,4.88038041203602e-11,8.13720513312179e-11,1.2189570648161e-10,9.26800440563738e-11
"m__C00188_Thr",1.41804825029466e-10,0,0,1.47930854431859e-10,0,1.43428663276232e-10,1.15852120513543e-10,1.39281106981474e-10,0,8.5712538164012e-11,1.02876152094196e-10,0,7.49045013375051e-11,4.24146878659029e-11,1.26589433353411e-10,7.471965886984e-11
"m__C00191_Glucuronate",8.40903655182093e-11,0,0,1.24533693986287e-10,0,1.00140883086448e-10,6.32501862268731e-11,6.93017832455703e-11,0,8.65580610746368e-11,6.40402466545074e-11,0,3.39683214598609e-11,1.41839484882402e-10,1.34530011695955e-10,6.01502025220499e-11
"m__C00214_Thymidine",8.01390512842963e-10,0,0,1.41941010246232e-09,0,4.79094179720105e-11,1.34926960271498e-09,8.71971515948311e-11,5.99691953187598e-10,1.1609671925905e-09,2.84827786375875e-10,0,6.58048705643794e-10,1.16649426453198e-09,3.24470991797335e-10,5.26645178780945e-10
"m__C00242_Guanine",6.18145005504818e-09,7.02906187245897e-09,1.02469648301265e-08,1.30560731178593e-08,6.66561915914172e-09,1.00693560048932e-08,6.63561318875812e-09,7.20488776565762e-09,7.45729728587389e-09,9.15077357099706e-09,6.01535015225132e-09,4.5588577833038e-08,3.52862866295423e-09,9.13505968594033e-09,1.19894449046626e-08,1.06636105393107e-08
"m__C00255_Riboflavin",5.37223618938662e-09,1.3432767826477e-08,2.36184869921075e-09,4.19395312283993e-09,0,7.33993864760827e-09,5.84091902635596e-09,6.5939591673191e-09,4.88100476978165e-09,1.05603735237994e-08,7.94252789024091e-09,1.05978733538437e-08,2.76812406115022e-09,5.03356077942938e-09,1.95865023739937e-08,7.10037262876244e-09
"m__C00257_Gluconate",1.14022311574872e-10,0,0,2.11471482272511e-10,0,1.08169705763078e-10,4.84622699409706e-10,1.1116724769081e-10,0,2.04008233769672e-10,3.65051373368292e-10,0,3.4980123416188e-10,1.20955162688196e-10,2.72293228655283e-10,1.5610417862362e-10
"m__C00262_Hypoxanthine",1.42682687976808e-09,0,0,2.36675963985861e-09,0,1.40294482272108e-09,9.72553039329968e-09,1.85993728603197e-09,0,2.18019401972161e-09,8.9591774936549e-09,0,2.44186716710772e-09,1.19647509627506e-09,2.65210494007439e-09,2.28078784923421e-09
"m__C00263_Homoserine",1.72010609394739e-09,1.4653665398028e-08,1.18265109366745e-09,1.34747571010792e-09,1.68034209321977e-09,4.22601508555345e-09,2.08930048172558e-09,1.901781531242e-09,0,2.37943381973959e-09,3.76970256870183e-09,0,4.80173198081095e-10,2.65505259569974e-09,4.71019159263565e-09,2.85305941748996e-09
"m__C00294_Inosine",2.43830328232695e-10,0,0,4.47982559666075e-09,3.17879822706497e-09,1.29636181347971e-09,7.3294425729686e-10,2.02414472091469e-09,3.25480063505058e-10,1.19101062689788e-09,1.24760387549181e-09,0,5.35206171595122e-10,3.91542708029762e-10,2.20567642361655e-09,1.19016165418572e-09
"m__C00299_Uridine",3.24022296034149e-10,0,0,5.64578159471688e-10,0,3.13853067634938e-10,3.76049429783285e-10,2.81903938936247e-10,0,3.37055168702161e-10,2.97816550072251e-10,0,3.34666965648992e-10,2.82347351159991e-10,5.33113605777195e-10,2.43027102214727e-10
"m__C00300_Creatine",1.04565908170624e-11,0,0,8.57249275421486e-11,0,3.18636849928913e-11,3.56692331856888e-11,1.5882407883442e-11,0,5.48616471542675e-11,3.87188730050513e-11,0,3.68925877598353e-11,8.46787550515512e-11,3.94390941336961e-11,2.89458534350423e-11
"m__C00314_Pyridoxine",2.04116142382706e-08,8.75581902746853e-09,0,2.55302190673395e-08,2.18258811711124e-08,2.17868855773016e-08,2.31082457178972e-08,1.88199607341086e-08,0,3.19474740664581e-08,1.57125417437331e-08,0,7.84765046789898e-09,1.85676587728236e-08,2.28443272065533e-08,1.5810551852731e-08
"m__C00322_2-Oxoadipate",3.13487087245061e-10,0,0,4.34882323075313e-08,0,3.26831362679122e-08,1.24264872601106e-08,2.89280235858223e-09,0,1.25923980230524e-08,7.86486825300265e-09,0,6.12627201320614e-10,3.1106872798068e-09,1.2674982100493e-09,7.81681494990754e-09
"m__C00327_Citrulline",3.87240600762983e-10,5.91121525575134e-10,0,4.90330987904496e-10,1.31342592246351e-10,4.82526925646552e-10,3.9120894494477e-10,3.47399183580132e-10,2.94419741320931e-10,5.06101071800319e-10,4.31032155640914e-10,8.68710109850712e-10,2.35959751995446e-10,3.3235339166678e-10,6.60882588924995e-10,4.10041971457367e-10
"m__C00329_Glucosamine",9.34736277013174e-11,0,0,4.17764001646725e-09,4.85652204087905e-10,1.29943446234328e-09,2.76236849671997e-09,3.04299432482125e-09,0,2.64441945289378e-09,1.26604910056452e-09,0,9.06608952153167e-10,1.74133835125727e-09,4.56357564174742e-09,1.53223697538381e-09
"m__C00352_Glucosamine 6-phosphate",1.39750764427321e-08,5.48820630509316e-09,0,1.82527555372249e-08,6.68485932543552e-09,1.70403844810182e-08,1.22375678498515e-08,1.26354522943626e-08,4.93407442220216e-09,1.73717187836207e-08,1.64753605105745e-08,2.79039480656578e-09,1.08837105653733e-08,1.26539551019432e-08,4.3960942185868e-08,1.30256305741244e-08
"m__C00357_N-Acetylglucosamine 6-phosphate",3.42029902954694e-09,2.14945545055183e-09,3.71137176285588e-09,2.84044767091707e-09,1.66275872855970e-09,3.4393354130254e-09,2.86003650253160e-09,3.01327816070424e-09,1.68576359327794e-09,3.03052402990408e-09,2.80467547704742e-09,7.86535289764139e-09,1.67552498027381e-09,1.97522998751703e-09,5.58465621411811e-09,3.18124732656483e-09
"m__C00364_dTMP",7.77096123419894e-09,9.93345380947944e-10,2.88289532431258e-09,1.22759043308391e-08,6.16834417704891e-10,7.43444657754759e-09,9.83843959705015e-09,5.55153037170241e-09,8.35280966971697e-09,8.87605437900461e-09,7.16748191210426e-09,0,4.78203992642228e-09,7.13352393981648e-09,1.19403678546126e-08,6.37444232773205e-09
"m__C00366_Urate",1.64868092809139e-11,1.19971599898604e-11,2.26806601540514e-12,4.71959933473354e-11,3.84947627008414e-12,2.87956405180496e-11,5.62107778924738e-11,2.1262530330411e-11,3.26597004950028e-12,3.93023561211199e-11,4.33838102259142e-11,0,3.55872606337151e-11,2.98205273191826e-11,4.89456733009978e-11,2.58914700863309e-11
"m__C00371_trans-Zeatin",8.84213176699339e-09,0,0,4.96628021720056e-09,0,9.25972462807008e-09,2.60679043963157e-09,6.33187243297764e-09,0,8.59635499396982e-09,1.72453711337902e-08,0,6.66127320947144e-09,1.98276963703614e-09,1.09140494830873e-08,5.16044119614854e-09
"m__C00378_Thiamine",1.38687813917046e-10,3.99755952244477e-10,1.47985791294365e-10,1.65906123306285e-10,1.18584042302656e-10,1.22115662979091e-10,1.17661863907031e-10,1.68755710671752e-10,9.47843156924298e-11,1.67583695014398e-10,1.05986865846341e-10,3.23012713476607e-10,6.26079277937878e-11,1.02657978020566e-10,2.19508954542297e-10,1.63706360733942e-10
"m__C00388_Histamine",1.14554997878197e-10,0,0,2.42717595708684e-11,0,6.12727045511255e-11,6.7156779365803e-11,3.04355536484106e-12,1.29549587501908e-10,1.06918107871715e-10,1.46126751026134e-11,0,7.46936291905411e-12,2.34451298390736e-10,5.61655234693202e-11,5.46310901324121e-11
"m__C00407_Ile",8.29716662508815e-11,0,0,1.77844279255457e-10,0,1.04908418786736e-10,9.89023153191716e-11,8.37263062588527e-11,0,1.28896945390773e-10,1.70974262358723e-10,0,8.26685573233223e-11,1.12229054653818e-10,1.24625506437293e-10,7.78498208023352e-11
