"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",7.13572987648869e-06,3.41720914051253e-05,0.000160899363459132,1.97075068417863e-05,0.000122795517609973,0.000101594555883491,7.19489776767227e-05,5.18243108074163e-05,0.000161260093724246,6.89501606254964e-05,7.42254496453866e-05,0,4.23200429490262e-05,0.000496019183157176,2.72309036895799e-05,9.60055924900697e-05
"m__2-Hydroxyoctanoate",0.00267604208195822,0.00322951979358933,0.00458054144508753,0.00114925631683361,0.00224122471070489,0.00374795517379101,0.00210713081958211,0.00226181847722596,0.00299194354025769,0.00238814597666453,0.00256640102446099,0.00728285681671777,0.00283628601286487,0.0044450313950809,0.00214419001699494,0.00310988957345429
"m__3-Indoxyl sulfate",8.768227025843e-05,0.00108604934149988,8.00054520499708e-05,1.23194259743534e-05,7.44853395459428e-05,6.26140760475544e-05,0.000401543243237368,0.000178334786029312,0.000156149506530296,3.32737716902751e-05,0.000273029177087708,0,0.000190213253680478,1.74803079363229e-05,4.63197271246692e-05,0.00017996664524617
"m__C00003_NAD+",0.00203019473217382,0.000437110258628473,0.00153194479759272,0.000282277107895188,0.0013968124645449,0.00274028942335825,0.00105221562313162,0.000493930390980551,0.000657945516559033,0.000937638292586113,0.00126013204112984,0.000670053564877982,0.00213498460882888,0.000679395575817312,0.00111588837283125,0.0011613875180624
"m__C00016_FAD",0.0350609181849467,0.0363162624475277,0.025272692325551,0.013113378409197,0.025156788392234,0.0475911035855842,0.0550006342488958,0.0174451925066703,0.030398759823236,0.0427510317161204,0.026086754872439,0.0780736255467122,0.0440128051756479,0.0410691176715154,0.0362880878973725,0.0369091435202433
"m__C00020_AMP",0.00210292703275783,0.00016734007014733,0.000495575482157574,0.000204196113410127,0.00111046759501695,0.0015270313228506,0.00207593547877904,0.000999429524259665,0.00217287849637826,0.00314109035033381,0.00317855108180125,0,0.000389409217913496,0.00134093501890223,0.00133543474748421,0.00134941343547949
"m__C00022_Pyruvate",0.0111967189590507,0,0.00985369993916586,0.00470525087781739,0,0.013359240566611,0.00779296338585327,0.00467072249891687,0.0104344289458254,0.00931463713062248,0.0102023171526844,0.00809323957842384,0.00986218336232621,0.0105943320880587,0.00815485584205543,0.00788230602182743
"m__C00026_2-Oxoglutarate",0.000885072226683469,2.18407281232507e-05,0.000402556078233836,0.0001623163143177,0.000391894979023739,0.000718778737565524,0,3.93839046968189e-06,7.19030426713247e-05,5.36612643033979e-06,0,0,0,5.15268020235088e-06,0.000283479344761686,0.00019681990989886
"m__C00037_Gly",0.000104550572808141,0.00010349525682366,0.000113048319705958,2.6504401113762e-05,6.90603853836768e-05,0.000154572797719681,9.42431086903348e-05,4.49932773744614e-05,0.000104812539226544,0.000107320662645963,0.000101081619273052,7.41387050404112e-05,8.45096292778454e-05,0.000171922294318175,7.76957779538522e-05,9.54632898237012e-05
"m__C00041_Ala",1.43329250421666e-05,8.71683052844017e-06,4.05463146668632e-05,8.40592645399206e-06,1.35951640503425e-05,2.01993607516777e-05,2.90314709462422e-05,1.34681423354147e-05,5.23906087856356e-05,5.30981422653163e-06,9.71627632377561e-06,0,3.20929524871464e-06,3.45915349496747e-05,2.74901578918989e-05,1.8733588146758e-05
"m__C00047_Lys",7.53434816411679e-05,4.30706592843395e-05,4.42357463360416e-05,1.40024338477338e-05,7.27174106466908e-05,0.000170162186408551,7.96586062138606e-06,1.97045422729757e-05,6.15897741842206e-05,1.86047030552995e-05,8.07140852837095e-05,7.49187563512154e-07,6.80958934330102e-05,3.77949827947399e-05,2.00282009869972e-05,4.89852765573584e-05
"m__C00055_CMP",0.0154001230364141,0.0161936909862714,0.0269601478468765,0.0115362968480557,0.0158114093528687,0.00857205147274393,0.00795462968262298,0.00417933812690505,0.0290862077380822,0.0113574798154221,0.00835748518574815,0.0638196478920242,0.0317801777416447,0.00561617223195068,0.014640862168321,0.0180843813417301
"m__C00064_Gln",9.04413103281463e-05,2.690107151338e-05,8.80340915889274e-05,0.000127141308191598,2.46756720053941e-05,4.15763901186654e-05,2.57321546835517e-05,0.000131098781126331,0.000103217010127992,0.000345723055317179,0.000878918052606198,0,6.14288126083591e-05,0.000403070771571749,3.7230636378323e-05,0.00015901260787772
"m__C00065_Ser",0.000942078939506095,0.000896086034675081,0.000785801419903572,0.000187639902907837,0.000362902136570852,0.00069677526535588,0.000668432293756669,0.000257774759774991,0.000581714454427683,5.56220598420939e-05,0.000325941311865782,0.000408038227874559,0.000214857347639491,0.000219954612776897,0.00032692609180738,0.000462036323912324
"m__C00077_Ornithine",0.000504927338582387,0.000498808576607974,0.000701228889331208,0.000242797287279539,0.000452317491703795,0.000727126049295713,0.000443609798699317,0.000343821913527184,0.00075080393737262,0.000566402286914096,0.000494951700063514,0.00106542254773068,0.000570340422682789,0.000372842376475245,0.000469328789523529,0.000546981960385972
"m__C00079_Phe",0.000162056156500359,0.000111604762238784,7.19152666996854e-05,8.36571842440752e-05,0.000183003583518181,0.000209421842879807,0.000148670977013858,3.74581460917787e-05,0.000120501895385656,0.000101916980219027,0.00011557733649847,0.000294323660903621,0.000139792017733458,2.47367066508855e-05,0.000123624661991393,0.000128550745237936
"m__C00082_Tyr",0.000308133055379703,0.000196991872573219,0.000313961857319947,0.000177407539744011,0.000185835675603818,0.000461498710937723,0.000262339471356596,0.000165102331796468,0.000237170090725298,0.000322540200021886,0.000273173992801365,0.000154597777809543,0.000260038808043452,0.000448849742446888,0.000168021945629915,0.000262377538145989
"m__C00086_Urea",1.99385480339038e-06,1.03753114432198e-06,9.7850135678626e-07,1.91354646063651e-06,3.28136203690111e-06,4.06903541982762e-06,3.56670154335483e-06,7.01632592576122e-07,1.11984157584153e-06,6.23857086598764e-07,6.37414116755083e-06,0,7.82839578113352e-06,4.79711301491078e-06,2.82461967526934e-06,2.74067557727331e-06
"m__C00093_Glycerophosphate",0.000699424510778955,0.000386988090301433,0.000900401079966,0.000356534298319235,0.000374502494135611,0.000142394911530342,0.000344630329815369,0.000319597342357707,0.00136805975828797,0.00164642490118337,0.00166501006684567,0.00209975989241376,0.000752647168538139,0.0019828931351705,0.000160616407396662,0.000879992292469381
"m__C00097_Cys",0.599693669310198,0.420755718556881,0.499317985169858,0.380086274791515,0.530937032527831,1,0.280916789177902,0.362786134449251,0.710737597092416,1,0.597979767283785,0.491866658021676,0.665500043445403,0.774688264796747,0.698621894449822,0.600925855271552
"m__C00104_IDP",0.032990174726487,0.0329739004488742,0,0.0137160371089496,0.027010196144691,0.0426674507965034,0.0305398738762145,0.0227363154135398,0.0390864312121293,0.0363483338235464,0.0252100317287868,0,0,0.0275638734533119,0.0259347364739139,0.0237851570137965
"m__C00105_UMP",0.00567581545134141,0.0099252686221653,0.00451676286875822,0.00321310995036358,0.00787930390091547,0.000894716253396414,0.00671320412114166,0.00144802851525724,0.00539932109492684,0.000666557178269544,0.00132816514008432,0.00344923473435782,0.0042870304789804,0.0190671329614315,0.00166055012854007,0.00507494675999532
"m__C00109_2-Oxobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00122_Fumarate",0.0144209134502421,0.00949208930843802,0.0161942807298165,0.00418767784823523,0.00685959545637493,0.0119092654403328,0.00549444741986012,0.00386713275093733,0.0074774334691074,0.00175900268955455,0.00670213525499271,0.00653940411363162,0.00954131287675069,0.00605537046586567,0.00621812523879662,0.00778121243419575
"m__C00123_Leu",4.78885488476701e-05,3.59757682865077e-05,2.47631984265656e-05,2.68365672519789e-05,3.93915250994746e-05,3.63059728646683e-05,3.84608966092608e-05,1.93001665549489e-05,4.18358188753513e-06,6.31126064856567e-06,6.64920816514999e-05,0,3.99781308719594e-05,1.15040126545171e-05,2.05092546560041e-05,2.78600644207437e-05
"m__C00127_Glutathione(ox)",0.0256281150339048,0.000505358535905927,0.0470228810309628,0.000800373160995617,0.0463411224755865,0.00604217818698721,0.00376267316594916,0.0189539711550428,0.00525386704815032,0.0261249167674822,0.0151545799236733,0,0.00637666254996123,0.0371240527005488,0.000485689474478075,0.0159717627473086
"m__C00128_CMP-N-acetylneuraminate",0.0868870602590062,0.0133283580851827,0.00271759105120276,0.015472497337909,0.0830486373354164,0.142944181267151,0.00735513290729378,0.0770299464401421,0.0110936704788554,0.00982840326717197,0.000535784115584005,0,0.0404995212297213,0.0532860749635822,0.0202836766643707,0.0376207023601726
