"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.0194027751742759,0.0164179285899011,0.0654664320836933,0.0515594636692073,0.0565025445437476,0.106661013316191,0.0811292121529312,0.367861224592051,0.0786510091335261,0.105632037259141,0.0581511384381323,0.100186281508233,0.101984143485822,0.196813602327433,0.10973188013168,0.101076712427064
"m__2-Hydroxyoctanoate",0.0567434792658013,0.0118079758842459,0.0181212837090963,0.0142601701286311,0.0423667636696111,0.0601398028354835,0.0428313969633554,0.0824085259348809,0.071812043929064,0.0960320621503368,0.0557680393532514,0.0646162931279775,0.0854706706214664,0.100829647721522,0.170091132448228,0.0648866191828634
"m__3-Indoxyl sulfate",0.00413356447102687,0.0119231918648203,0.0121027089014447,0.0235835430917154,0.0251250696664738,0,0.0902899467507623,0.0872197726189229,0.00904240251547878,0.0177369922661517,0.0187738932699475,0.0511290052695584,0.0108015890003552,0.0582601970535998,0.070717787419806,0.0327226442773376
"m__C00003_NAD+",0.0239002210709562,0.0031320799003046,0.0495263748300353,0,0.105318343126845,0.0633425881905615,0.0677230778677263,0.125127315976959,0.0234883636067423,0.0709702742360786,0.144028262444673,0.0968676550350143,0.293718373869119,0.158222615291488,0.0943412185094895,0.0879804509303995
"m__C00016_FAD",0.00386651294158677,0,0,0.0224022286937327,0,0.00721543588338674,0.00900215885083461,0.0122464658252952,0.0189675366399537,0.0217904624498192,0,0.0148428078256106,0,0,0.0157275791497389,0.00840407921733056
"m__C00020_AMP",0.0304734846876093,0.0174383926359952,0.069333657040846,0.0887468502091657,0.0824229484930366,0.026920017082337,0.08315374259079,0.297740349269542,0.0963854385824279,0.0101706165970592,0.0860726407310682,0.101140026233728,0.037681073680448,0.0193007872482184,0.031204540977653,0.0718789710706616
"m__C00022_Pyruvate",0,0,0,0,0,0.00670960204109076,0,0.0104004377190311,0,0,0,0,0,0,0,0.00114066931734145
"m__C00026_2-Oxoglutarate",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00610335184073292,0,0.000406890122715528
"m__C00037_Gly",0.0462100404723445,0.00689990762294705,0.0447127771615684,0.0172209206378501,0.0625166660644916,0.0818683796108877,0.0364092961023022,0.245224476662727,0.0540041109654211,0.0324206209732588,0.0875033223897467,0.0332063561308709,0,0.0366808620349043,0.056162867034157,0.0560693735908985
"m__C00041_Ala",0.0661627784552147,0.0262212425670044,0.089277604264717,0.0710479475232666,0.0458787795495232,0.135757325596185,0.0213104300280965,0.12637121536071,0.0868962858704611,0.06038107226245,0.124029886595117,0.15775679113532,0.0560438665384945,0.113159798554401,0.114092410133019,0.086292495628932
