"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0,0.0671039010426812,0,0.195284197431949,0.22051248064306,0.373386638239486,0.0259358428833789,0.380847415198257,0,0.636490003866476,0.379233265385598,0.205005016515939,0.238596306468635,0.195997599069503,0.0851986606788797,0.200239421828256
"m__2-Hydroxyoctanoate",0,0.0332327533939891,0,0.00552489328715929,0.156966833856627,0.157250377978016,0,0,0,0.151453668396832,0,0.246214953982657,0.245417364956928,0.0871079246797621,0,0.072211251368798
"m__3-Indoxyl sulfate",0,0,0,0.0144304477741991,0,0.00385978963008557,0.0291799962052345,0,0,0,0,0,0,0.002853369452668,0,0.00335490687081248
"m__C00003_NAD+",0.185780723577016,0,0,0.0893729028903409,0.148978999081667,0.109087142427051,0.205228186248111,0.0125065623960029,0,0.184379554622269,0,0,0.76527917972714,0.10491023379926,0,0.120368232317924
"m__C00016_FAD",0,0,0,0,0,0.00942383382279863,0,0,0,0.0754972440024072,0,0,0,0,0,0.00566140518834706
"m__C00020_AMP",0,0.0826919876315357,0.0439730951010134,0.0346025086151293,0.0570550216512379,0.138696828634954,0.070006342903519,0.00584848659668311,0.133461569604485,0.446195789776546,0,0,0.0805250328196753,0.120654309727928,0,0.080914064870847
"m__C00037_Gly",0.136376137404176,0.0176926168775551,0,0.0683878196647742,0.220370649923738,0.137646113968579,0.170879040967101,0.129410065778352,0,0.131970223144822,0.195119888472939,0.130894784903063,0.27250778598427,0.0843884261062633,0,0.113042903546375
"m__C00041_Ala",0,0.0349342063663814,0,0.031324683934825,0.0718415501184812,0.0961099253778069,0.0370771536494874,0,0,0,0,0,0.151334546655981,0.0388352215714558,0,0.0307638191782946
"m__C00047_Lys",0.207372491059286,0.141706203551601,0.145692740478994,0.02819357502096,0.189818997461621,0.304782202446825,0.0538807700747457,0.164783758047405,0,0.366534325642788,0.387246404055558,0,0.119089547393845,0.0948982352189301,0.128646939110013,0.155509745970838
"m__C00055_CMP",0.219323174489979,0.0270455448056182,0.0414216561969477,0.202176247710513,0.0425736756508642,0.0940368343621878,0.449517024943037,0.0403743220762172,0.20708774006021,0.206683927550549,0,0.247799348532495,0.0981309380086178,0.0782817119108073,0.314627074724448,0.151271948068166
"m__C00064_Gln",0.260174313604743,0.0244709121507275,0.401052907968625,0.0650795400730581,0.0821095160205046,0.122729956095993,0,0.08268250310465,0.32203901173051,0.204438363825962,0.341964404814788,0,0.219518258734137,0.0595262298924348,0,0.145719061201076
"m__C00065_Ser",0.345626764596761,0.026005814713454,0.0527443194005936,0.329605016380169,0.243467042345483,0.261866815528561,0.48318748346773,0.256894759001656,0.251181874805357,0.182475022042739,0,0,0.0342983107679665,0.0183279680774613,0,0.165712079408529
"m__C00077_Ornithine",0,0.284576177699926,0,0.173029057841884,0.316337138446726,0.057940699594573,0.1407751671015,0.0338286850487584,0,0.358907209325603,0.391775350208543,0,0.311092202672515,0.0449732718871623,0.180028378380327,0.152884222547168
"m__C00079_Phe",0,0.491617189908212,0.104384386716486,0.319233566080848,0.671643398451199,0.289755120606103,0.0306194736644547,0.621019828116762,0.411633426762172,0.0376072901247115,0,0.292792489816317,0.404022896501006,0.126277012365642,0.393035616693832,0.27957611305385
"m__C00082_Tyr",0,0.101189494459133,0.11476687155302,0.0045219361478037,0.406867230184891,0.90933960799795,0.0714745236672528,0.0547202668199949,0.194614159659504,0.0531135363509039,0.441571968007276,0.943006500264949,0.216251618804294,0.304597229335922,0.0827847439288579,0.259921312478783
"m__C00086_Urea",0,0.222812820125708,0,0.249033093643418,0.284784846864245,0.125687365263607,0.0352003458803322,0.117509622733859,0,0.561557837758952,0.180970277337797,0,0.477387000152959,0.101769881681004,0,0.157114206096125
"m__C00093_Glycerophosphate",0,0.0027338161713188,0,0.0472549137849506,0,0.0980008505508766,0.0477044694536567,0.0573820979164192,0.135069158102356,0.327324313941852,0,0,0.0446137819506163,0.00968706612547564,0,0.0513180311998349
"m__C00105_UMP",0.349947701011714,0.33604551311508,0.118553231889784,0.0839951636971966,0.271326864349081,0.0654876909250548,0.0260271868928877,0.0661725528887607,0.0615890117305097,0.306655642454419,0,0.222297443124319,0.0475257632371634,0.250783323309216,0.154625978811386,0.157402204495771
"m__C00122_Fumarate",0.548293351935799,0.632448539518926,0,0.0568361568713293,0.159328940493077,0.0997704374506694,0.166587719307702,0,0,0.161251038694128,0.178947615593014,0,0.255137240621985,0.0271856118441047,0,0.152385776822049
"m__C00123_Leu",0,0,0.185725010937937,0.0163074727147725,0.127510045128096,0.139288046414086,0.476283450559115,0,0,0,0,0.131302586629262,0.00642076731739385,0.14812522182345,0,0.0820641734349408
"m__C00127_Glutathione(ox)",0,0,0,0.0211374994642663,0.0419666474593048,0.0361791666705395,0,0,0,0,0,0,0,0.00805092273242164,0,0.00715561575510215
"m__C00134_Putrescine",0,0.420977655344415,0,0.265065628706967,0.449214323782733,0.260045178227419,0.465095752655772,0,0.243791882072044,0.0838687525777545,0,0,0.0343238245851033,0.201270234321465,0,0.161576882151578
"m__C00140_N-Acetylglucosamine",0.239395620242557,0.0724031430110183,0,0.103254011095798,0.269435295890023,0.107105688846926,0.194518362225461,0.120725878783753,0,0.235597856406564,0,0,0.112232427463032,0.071190784713833,0.142942860631102,0.111253461954005
"m__C00156_p-Hydroxybenzoate",0,0.238313119922698,0,0.0135980393563261,0,0.0800930620617384,0.093211966173664,0,0.0866911813557563,0,0,0,0,0.086596277221855,0,0.0399002430728025
"m__C00163_Propionate",0,0.170164694249591,0.0961463308614318,0.0648482270845,0.123177908649664,0.0879502063975858,0.316274839812775,0,0.220188186442437,0.18042369734423,0,0.0854838121361859,0.544024743734042,0.0807477966422799,0,0.131295362890315
"m__C00178_Thymine",0,0.150113900845585,0.0414977618092773,0.241412498658452,0.235244600077259,0.268975962431778,0.0730305416880768,0.112597340671322,0,0.23760601918827,0,0.174494148189535,0.449029953137155,0.0450459973410029,0,0.135269914935847
"m__C00183_Val",0.198290193142331,0.118644421359793,0,0.125704166609108,0.239088296948269,0.115487155422752,0.092268542579729,0,0,0.0912582287414351,0.217464237228359,0.581723195740898,0.455193944814468,0.103406267011525,0,0.155901909973244
"m__C00188_Thr",0.142161406304393,0.0848751642930529,0,0.0424939811868033,0.174520111273832,0.103053541865042,0.0309475801215442,0.110403942477829,0,0.135550030922653,0,0,0.296085632400467,0.112388989602344,0,0.0821653586965307
"m__C00191_Glucuronate",0,0.101798836969766,0,0.0199436744637616,0.0285758048950852,0.0281145944086546,0,0,0,0,0,0,0.0609543533032796,0,0,0.0159591509360365
"m__C00214_Thymidine",0,0.00367906321969662,0.0533762408830001,0.052182291317997,0.114698959120536,0.15866278378559,0.367923440997718,0.0868260620958307,0.114623595972179,0.26515141366822,0,0,0.41615482917966,0.110403386987916,0.123726409630192,0.124493898457236
"m__C00242_Guanine",0,0.0533957611917123,0,0.0672854568046327,0.180297220117901,0.587823138144047,0.0967742508498775,0.272905368428491,0.52143743382124,0.258356708718091,0,0.120025772790719,0.421563015796456,0.114918133674265,0.188748181289015,0.192235362775096
"m__C00255_Riboflavin",0.849409309029093,0.57945650752564,0.0624849374794844,0.445285206913639,0.278711055616358,0.492511628744091,0.103621232418705,0.213237502567301,0.126385798816568,0.54135439973235,0.639442157741117,0.441058434919077,0.223798520264946,0.360056750370326,0.483835186211491,0.389376575223346
