"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.000947546497598084,0.00571947178119264,0.000739497493559004,0.00148007781919474,0.000729984840680865,0.000915519493123341,0.00104427938090104,0.000763862654465368,0.000813876057399973,0.000575398208881965,0.00129497041900149,0.00350415112114282,0.000848287356280866,0.000317788704029578,0.000985707127600657,0.0013786945970035
"m__3-Indoxyl sulfate",0.00042169495539471,0,0.000341248535103378,0.000153412574695887,4.68758506673273e-05,5.67751016948518e-05,0.000412450337854111,0.000377999003364619,2.96725173275062e-05,2.49929517378697e-05,0.000335592706549413,0,0.000174988555084857,0.000242594504659452,0.00017004881642508,0.000185889760703937
"m__C00003_NAD+",0.00146194264875963,0,0.00533206248806771,0.00503126841327202,0.00272382483921549,0.00494203245125647,0.00585426201799896,0.0110967903731074,0.00411197849157735,0.00276453071339404,0.00538674571088097,0,0.00409344286246752,0.00285087050310599,0.00046185263256818,0.00374077360971145
"m__C00016_FAD",0.170397067100684,0.186233387978154,0.129069055818755,0.15514581353255,0.0834667190869284,0.154809992666286,0.170559927541528,0.146299168014849,0.134536090712214,0.134314142105758,0.148093200075203,0.458105525037667,0.17416412140964,0.0373150776356549,0.149949427509007,0.162163914414992
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00026_2-Oxoglutarate",0.000443343500570159,0,0.000213426293829595,0.000136863218849767,0.000213132597906979,0.000200324838843631,0.0061027803197617,0.000155535609457455,0.000812617392202219,0.000243018736683104,0.000172857970799605,0,0.000806921907816759,0.00101272102779536,0.000559235611848921,0.00073818526842435
"m__C00037_Gly",0.000111816544740797,0,5.22482327735693e-05,1.61758259536328e-05,5.46214218716734e-06,4.35684480647506e-06,1.23774488882557e-05,8.95680547959267e-05,0.000121227274550968,6.73655417286325e-05,8.9503805635669e-05,0,3.73279456992015e-05,9.77755700090447e-06,1.00232696399169e-06,4.12139697150128e-05
"m__C00041_Ala",1.92580935377206e-05,0,3.45463361849174e-05,6.15496785428199e-05,3.29534965395535e-05,6.69227424013861e-05,7.00343175468169e-05,1.12558614643402e-05,3.29880278897168e-05,6.90611515796266e-05,4.05812505326299e-07,0,6.86732841927083e-05,2.46511726348505e-05,3.60653870486392e-05,3.52243574712281e-05
"m__C00064_Gln",0.000646123841961764,0,0.000812891953283908,0.000723320655517291,0.000361990075346823,0.000254497407380782,0.000540775752785409,0.000739832206556917,0.000295828133265979,0.00070814679755523,0.000661682311412442,0,0.000634669724468816,0.000177172605909208,0.000522417044797228,0.000471956567349453
"m__C00065_Ser",0.00196149402904887,0.00637613183986105,0.00187107541632188,0.00173137575013108,0.000901955579038319,0.00135186057457584,0.00223318917168046,0.00288943371182735,0.00159322142741164,0.00161259845889837,0.00211365227407539,0.00566174496205345,0.00143815106654341,0.000573123182976777,0.00217994266555095,0.00229926334066632
"m__C00077_Ornithine",0.00152894147819513,8.1115486056107e-05,0.00157621973170012,0.00143807233456305,0.000301802015088279,0.00129975193771938,0.00172649129318106,0.00113157835572863,0.00111183876803761,0.00092793493286168,0.00141178856046829,0,0.0014508772707361,0.000384278102976627,0.00191499333156925,0.00108571223992542
