"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.215917704475208,0.353440920313792,0.334599805594979,1,0.468842356959177,0.346348363025592,0.370152731590004,0.186274885867366,0.319942954012889,0.394545616943428,0.372215456812854,0.693996851213495,0.263634968808488,0.19703319193474,0.483724607065233,0.400044694307816
"m__3-Indoxyl sulfate",0.0357846018466904,0.0091342308467674,0.0177865287165191,0.0398336931929424,0.0425037437216348,0.0607879810830209,0.0193994153216681,0.0341139273182994,0.109791217781047,0.121461805121228,0.0998375708977465,0.00838112897375397,0.0678175739546776,0.00139713816555816,0.025510617497367,0.0462360782959281
"m__C00003_NAD+",0.114031988558619,0.198211083299574,0.39098180141605,0.0719980262843992,0.185282698636577,0.168277833097623,0.128685035765226,0.183298278237045,0.189331492409272,0.408126595757342,0.202083111772016,0.0979852478286686,0.0729797979911211,0.297432974309303,0.0529043358128682,0.184107353411714
"m__C00016_FAD",0,0.0112421302729445,0.0565858183594078,0.00740046050468961,0.00955862111991326,0.0533036799830787,0.0242731634206753,0.00997251067709367,0.0126832669832517,0.0911029952291808,0.0505294102412587,0.016497401410591,0.0596481246048322,0,0.0528261445066929,0.0303749151542407
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00026_2-Oxoglutarate",0.0107675745141707,0,0.0181421562104165,0.0134907916377356,0,0.0128410113885435,0,0.017946638025424,0,0,0,0,0.053304816406551,0,0,0.00843286587885608
"m__C00037_Gly",0.114681966440541,0.0914143689528461,0.430611752734165,0.103514068574907,0.112575390363745,0.170417228850933,0.149049537945936,0.124861781551374,0.0975854481744114,0.256428619063906,0.217207120441979,0.0591239079927105,0.24294460023511,0.223910196499369,0.0960168699148878,0.166022857182455
"m__C00041_Ala",0.225022418993912,0.21060583019791,0.280578194394851,0.171954102674944,0.184796038327223,0.209311238595611,0.209975277277277,0.120390170865853,0.116879182428409,0.582643160082455,0.418419329907852,0.304650292844854,0.304997023491064,0.273749145435641,0.27155882559822,0.259035348741072
"m__C00064_Gln",0.236681721700461,0.112096971627879,0.174967790212019,0.0835362432376735,0.103184076745556,0.144496819085844,0.12661564368523,0.0902557112790412,0.116009799220216,0.483449527085416,0.320360851048191,0.11300910315847,0.561345655490595,0.124719118231282,0.313062690916043,0.206919448181594
"m__C00065_Ser",0.344681253254011,0.272826203629308,0.604248065590783,0.111225638631886,0.30531997284317,0.222884726872636,0.508936449017675,0.349791418222225,0.285154923065348,0.46865232590822,0.19468923602173,0.17484701465417,0.37914004055471,0.326380297486644,0.360837919460852,0.327307699014225
"m__C00077_Ornithine",0.247157916620487,0.170729585864695,0.229516499513328,0.21450795186485,0.0552417969739469,0.282513206638821,0.194753014411265,0.16839310102248,0.210382695380256,0.270811619877651,0.20181753472298,0.0928045729791974,0.206965071548182,0.149152655833476,0.153601140592512,0.189889890922942
"m__C00079_Phe",0.0785034100752996,0.196471781890018,0.476296937787936,0.175693078436741,0.22254902273501,0.0718739942997641,0.248044343083137,0.201009975909943,0.166509075423942,0.260829441314347,0.458557501990119,0.158449805848411,0.2688505357477,0.142340032172885,0.117469405257407,0.216229889464844
"m__C00082_Tyr",0.101904711951305,0.234605784755415,0.452623013808918,0.0634547097199723,0.14775795995548,0.123648130186981,0.0636523082100372,0.201571352216205,0.183675437207935,0.375885720011978,0.271561488035894,0.0803027016207444,0.3596344733113,0.072081812480218,0.288827865443351,0.201412497927716
"m__C00086_Urea",0.0288942116544058,0.100097018862227,0.597630657588107,0.0950054972963484,0.113545070452861,0.15622715965074,0.146944081496612,0.153745861858864,0.0861810655832349,0.330956503618094,0.234240368923102,0.0497632090063383,0.469251606827481,0.0842899980587213,0.25838812154103,0.193677362161211
"m__C00097_Cys",0.0100584372835405,0,0.0208782694432374,0.00727624224870766,0,0,0,0.0203512328817668,0.012694248166787,0,0.0396364943486432,0.00963051886681859,0,0,0,0.00803502954930007
"m__C00109_2-Oxobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00122_Fumarate",0.105718165680958,0,0.401424506457531,0.0513849398788334,0.141528450661093,0.120359054410096,0,0.101785802986504,0.135370786334173,0.398019286161469,0.194065991012265,0.0801217666090284,0.05768622165353,0.0642352768232255,0.196988878695855,0.136579275157637
"m__C00123_Leu",0.186168644402941,0.321347606957995,0.153127936387913,0.0764129114679498,0.110028356007713,0.226110590437334,0.14603397516054,0.192829529779583,0.183129356473545,0.217624110546047,0.464924767342599,0.11219393672226,0.35599923256267,0.186236294450909,0.203498096808516,0.209044356367234
"m__C00140_N-Acetylglucosamine",0.0925171772933366,0.0832765163106555,0.311995057036087,0.0380166247003525,0.0968263126748311,0.0847598181070767,0.139384081885001,0.0922656687844707,0.229832387019012,0.395425298182048,0.251977388959609,0.116389024603222,0.327799047483581,0.0260690032154422,0.118912989004918,0.160363093017309
"m__C00160_Glycolate",0.0200136994288996,0,0.0372317817402683,0.00752133916992047,0,0.0123974715899846,0,0.0177092869446824,0.0118596782181055,0.0499735150546397,0.0179793494812281,0.00872193771017449,0.00982620328110492,0,0.00768612578830283,0.0133946925604874
"m__C00163_Propionate",0.0672335953492387,0.0828532732918291,0.163818930001403,0.091253871435647,0.183458448272631,0.221092436258633,0.152102916817711,0.105757715847623,0.109079094469919,0.295164653260991,0.449582128048714,0.0521994720611266,0.178524094679233,0.0361182164337849,0.193872306264095,0.158807410166172
"m__C00166_Phenylpyruvate",0,0,0,0,0,0,0,0,0.00922419416963758,0,0.011244615752607,0,0,0,0,0.00136458732814964
"m__C00183_Val",0.234924780087116,0.119923548633292,0.296816677952363,0.106561722129927,0.273687361184219,0.25730833086773,0.20473742758212,0.0319366524126114,0.191517190276261,0.276177482708101,0.218871614953538,0.126426619882754,0.516286558848478,0.100823181494028,0.194424425519416,0.21002823830213
"m__C00188_Thr",0.331959688583742,0.481403364779669,0.4828165550462,0.149658611394071,0.314439669479019,0.165764459423692,0.342544599527604,0.118764649540217,0.370875149655321,0.33540110209499,0.284876678718344,0.24278290997428,0.710403912668205,0.230339621480664,0.368950625144089,0.328732106500674
"m__C00214_Thymidine",0.111226143170145,0.0774298486398212,0.29708799635436,0.0573161756528874,0.0913439947748739,0.0887405425955776,0.105587875431962,0.10935419505952,0.0633351394478665,0.299617784378206,0.182350287407039,0.0451810947036281,0.333751328950703,0.0401736835369743,0.0548815235270742,0.130491840908709
"m__C00257_Gluconate",0.0188478569273689,0,0,0.00623196674079125,0,0,0.0121246345760426,0,0.0110690330035651,0.0935652173203709,0,0.00327844061924306,0.053537649320142,0,0.0282762954669436,0.0151287395982978
"m__C00262_Hypoxanthine",0.185509014481917,0.18593311365679,0.327693446823271,0.130360532289252,0.188956965070359,0.249738097054618,0.0895894421038931,0.171807124486766,0.11208120133157,0.225047189128679,0.208462629649642,0.104325860777307,0.197540959858299,0.0631762987320107,0.179360342298681,0.174638814516204
"m__C00294_Inosine",0.226291761474089,0.263217460437411,0.535274178398308,0.258242990512329,0.226712937202196,0.106770137131916,0.146960427139254,0.270869671443956,0.270871209869574,0.345949101893273,0.170458156832792,0.214665093411501,0.189147927655333,0.103330708653721,0.329889736141437,0.243910099879806
"m__C00299_Uridine",0.217808418087009,0.113153051621117,0.521498262928082,0.083571895441709,0.253744989739508,0.278329716888718,0.20189192356989,0.166600928603009,0.165906310079625,0.592688889789091,0.250529701735863,0.144556947464397,0.323394989041296,0.0730712342741844,0.267323118805149,0.243604691871243
"m__C00300_Creatine",0.178039922851016,0.298410800004125,0.320866943409709,0.116748859013421,0.146176280896393,0.20762011669331,0.257465772600329,0.0453942696187756,0.130217057147927,0.216182677967765,0.296910176377197,0.14140834207696,0.310568645678023,0.0733738592446603,0.196288177092543,0.19571146004481
"m__C00314_Pyridoxine",0.101448529286851,0.122553004371681,0.213011211981377,0.0158694556481257,0.150731283612215,0.0828204072988462,0.131636969571115,0.103886057958456,0.110473425319561,0.258930120947115,0.291749406656988,0.101232163977017,0.177148816305007,0.0742384425509579,0.140449495508709,0.138411919399601
"m__C00322_2-Oxoadipate",0,0,0,0,0,0,0,0,0,0.00878393808004388,0.013974396012181,0,0,0,0,0.00151722227281499
"m__C00327_Citrulline",0.262101598884886,0.406144578481751,0.409103619776401,0.10070094517117,0.142946882390775,0.474223363966215,0.231441481779337,0.179774398690052,0.0606133994024044,0.364691376521287,0.241547450009964,0.155295689660628,0.316287099170614,0.255741941717229,0.413152031192332,0.267584390454336
"m__C00329_Glucosamine",0.121194952328285,0.112927200956421,0.0860768666518402,0.0571427344367544,0.0569929881859508,0.140760433783285,0.10063598635892,0.123407327251178,0.149358027719489,0.314902054473776,0.20597395097136,0.0237468382187173,0.266095605880884,0.077178975446502,0.100802386854069,0.129146421967829
"m__C00366_Urate",0.142714525577076,0.0825308329997783,0.232093745642407,0.0266301887300354,0.0974936608419471,0.15702840812777,0.0915739387997119,0.119883059149847,0.0541071810634794,0.289393602877364,0.286753174646882,0.070465145823676,0.263973251627488,0.0495840551791357,0.071627372227184,0.135723476220919
"m__C00388_Histamine",0.256491297361083,0.308833362792192,0.377668182045785,0.212532126270929,0.308926177649034,0.25610064540222,0.155932168162265,0.197208159763367,0.320326665037214,0.300896308864461,0.381541628596551,0.214122185089336,0.372474513615215,0.394817948740977,0.370225487813776,0.29520645714696
"m__C00407_Ile",0.165904802925156,0.0890889895001569,0.246516150349107,0.0817246118925549,0.134349914177478,0.23584205633351,0.0870492597214089,0.0707869746513444,0.174246678293972,0.396020200515532,0.293054688588071,0.050276760290732,0.142695448769188,0.191918175478144,0.117735082950496,0.165147319629123
"m__C00408_Pipecolate",0.201733203669569,0.0847462047776073,0.330375772938439,0.185449303814585,0.288754960792652,0.211955437928979,0.197369549333476,0.147788352133404,0.172877656642751,0.359069260820966,0.323438716806233,0.0810520007590673,0.299315086073067,0.149138704596205,0.357141735472756,0.22601372977065
"m__C00417_cis-Aconitate",0.113130029688152,0.193537773324616,0.310428469136344,0.0195894542771196,0.0692983211096215,0.02704178238239,0.0694383916562998,0.0325481026863636,0.0395711172226045,0.330633031278105,0.244887480570463,0.00955665440509353,0.138098560416586,0.0113731285015399,0.114930781549076,0.114937538546958
"m__C00491_Cystine",0.166863597174288,0.0648808396729539,0.229586172485946,0.0728848049483919,0.0669531764044147,0.0711360345416571,0.0631049668511565,0.260931614240791,0.0923622838748841,0.423311938726283,0.0776834820591079,0.0105144924830803,0.232190341320219,0.0422890571217389,0.169168222170865,0.136257401605052
"m__C00575_cAMP",0.00998415351906461,0,0,0,0,0,0,0,0,0.0191138492621755,0.0341882703589676,0.00970385747808049,0,0,0,0.00486600870788588
"m__C00581_Guanidinoacetate",0.0391788588462983,0.00381607866487171,0.259208911010963,0.0853458600133015,0.169548038807942,0.136008142784,0.0584994737339536,0.0804211799424664,0.0302511640608796,0.19153477107354,0.129833856593796,0.119807296591799,0.259839137622228,0.00808109962426133,0.170471173658087,0.116123002868559
"m__C00584_Prostaglandin E2",0,0,0,0,0,0,0,0.00846998573507825,0,0,0,0,0,0.0165295219587164,0,0.00166663384625297
"m__C00628_2,5-Dihydroxybenzoate",0.290732097012375,0.0615591800097294,0.207294546125283,0.0797943825109264,0.0641860774061013,0.0318490874571111,0.0582162885759805,0.0794243515027279,0.0848894010544105,0.100506259318722,0.16233264931022,0.114924040431584,0.220232590045715,0.168530207628652,0.208619687566221,0.128872723063717
"m__C00647_Pyridoxamine 5'-phosphate",0.0714910998474401,0.00811931630823769,0.156895014585881,0.0573510721297977,0.0801399781742406,0.0389373430484625,0.185235253548715,0.164159789003289,0.198482323070531,0.243671850653309,0.218298574579803,0.0267221037998622,0.306354484668638,0.117927115489567,0.131969724078584,0.133717002865757
"m__C00719_Betaine",0.0242970834198529,0.158573875843141,0.177861788701166,0.069178653168351,0.140270935155551,0.182108021740137,0.0823571684132379,0.128764050114186,0.0822111372010295,0.434084927545606,0.343440292812429,0.120570258945407,0.176158957642545,0.0243577344219516,0.138956464926065,0.152212756670044
"m__C00745_Nicotine",0.00765694187674361,0,0,0,0,0.0128543874420732,0,0.0805525446350016,0,0.0374631445538639,0,0,0.0342287668830868,0,0,0.0115170523593846
"m__C00785_Urocanate",0.0471230207559802,0.0774555641166688,0.34126787550219,0.0346376723651679,0.0202877899598587,0.205616358451386,0.0145897290817477,0.0579634610872989,0.156035798095399,0.144900708893184,0.213314099854166,0.0520068124745429,0.132585074793702,0.0548486407441527,0.240722691586369,0.119557019850788
"m__C00791_Creatinine",0.244637826589439,0.206625094629552,0.311983536491787,0.128039758818125,0.145254357810323,0.176973856738356,0.205520780841855,0.159891683391612,0.374605829230931,0.413639881734636,0.268047639292619,0.26328592803015,0.268401937065274,0.204158616226365,0.23856206214267,0.240641919268913
