"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m___DCA",0.984820677887511,1,1,1,0.889759026001042,0.832986361400955,0.875996658544066,0.979717850892725,0.873767630454692,0.857781132444322,1,1,0.936488600016549,1,1,0.948754529176124
"m__3-Indoxyl sulfate",0.2434019176249,0.182825546871504,0.230333242745842,0.167905665421747,0.182576124280905,0.237336380019114,0.202728325624317,0.198759391914296,0.220378129895584,0.220515900817688,0.181035038213306,0.161682082585433,0.153204458583397,0.170874416811783,0.187996096514911,0.196103514528315
"m__C00003_NAD+",0.539611543521853,0.458036193453739,0.581633638707454,0.421601907007748,0.626467475831741,0.679416525805549,0.586073030498877,0.681058435668982,0.603796549793866,0.588200162051796,0.613263820670559,0.552645715265045,0.784489305875736,0.612886245870462,0.612821012954577,0.596133437531865
"m__C00016_FAD",0.148236796632944,0.0511623525315889,0.109300058896482,0.0858380120206939,0.0782770708501528,0.147280479181821,0.0541657210228653,0.126273944415297,0.0853409689266133,0.121649214835092,0.0643207667732356,0.118598855813586,0.0921470787981827,0.0928144227335268,0.135717897935404,0.100741576091166
"m__C00022_Pyruvate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00026_2-Oxoglutarate",0.0201651846944746,0.0172166064473256,0.0125997566880736,0.0259935894534737,0.0223206671765631,0.0149926484730176,0.0145182303605607,0.0238606347086352,0.0277186315303618,0.00866503151141765,0.0193339399580786,0.0405427576382941,0.0227284918026838,5.77520487259285e-05,0.0227878039766855,0.0195667817645581
"m__C00037_Gly",0.689909204246536,0.632486006724935,0.701539277946701,0.474953889527535,0.581234883621071,0.661250284682413,0.613479302480908,0.6063840103733,0.713949498711959,0.54271472946738,0.501609834574359,0.662307616813193,0.690874507573518,0.63624549700561,0.602830622416392,0.620784611077721
"m__C00041_Ala",0.772355210338393,0.735052535736851,0.613922845487684,0.579365743148034,0.797455016958949,0.676889328192672,0.662591309746449,0.777059318958667,0.850141848840377,0.67529483725441,0.689297204193061,0.669152765329775,0.661612823644906,0.664415597339291,0.656197374016734,0.698720250612417
"m__C00064_Gln",0.63948080038973,0.501083963766267,0.687389227873105,0.451958025480513,0.653589846221466,0.743242734374615,0.75102077192775,0.686624024628021,0.708517638629413,0.69351382108667,0.581293053190531,0.502109152820654,0.686555286788303,0.716441446466755,0.620181630033133,0.641533428245128
"m__C00065_Ser",1,0.85441089550698,0.94813836482815,0.584738230140204,0.971452242844725,0.992552205719881,1,1,0.86226973179193,0.676644024364215,0.695881380659384,0.885384021594581,0.736884889235155,0.674100016438569,0.729427400917005,0.840792226936052
"m__C00077_Ornithine",0.688575918030482,0.620117443056292,0.76765603509711,0.476524919553865,0.683390788700529,0.815305116228166,0.746770853672238,0.594050214223671,0.704682630819527,0.755244262433468,0.678815970757748,0.606263260781196,0.690073754462149,0.595648974517292,0.461048199205877,0.658944556102641
