"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii",0,0,0,0,0.391426869133815,0,0,0.0476903575284676,0,0,0,0,0.214131176820912,0,0,0.0435498935655463
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris",0.00433096903686307,0,0,0,0.0313699046952088,0,0,0,0.0320692884051779,0,0.132597104488769,0,0.0255826061399501,0,0,0.0150633248510646
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A",0,0,0,0,0.0220408115088903,0.118101242599412,0.0071942910474615,0.0407401349267924,0.0575969257722459,0,0,0,0,0,0,0.0163782270569868
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0.0374689382296805,0,0,0.0885031905943473,0.0137276338144106,0,0,0.0174807936590401,0,0.145047080173762,0,0,0,0,0,0.0201485090980827
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001838165",0.0233490401359874,0,0.0501200002863075,0.286691402770662,0.0072165986398107,0.362699002408663,0,0,0.0231609817198584,0.0376651334550223,0,0,0,0,0.0178339452078897,0.0539157403082801
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp018382595",0.00186069293561276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124046195707517
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium minimum",0.0304776821105511,0,0,0,0,0,0.00906686402168371,0.00658955989247689,0,0,0.0341148396358378,0.234770557319636,0,0,0,0.0210013001986791
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium parmae",0,0,0,0,0,0,0.0052145429124681,0.0222292276036765,0,0,0,0,0,0,0,0.00182958470107631
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini",0.0211448989117876,0,0,0,0,0,0,0.0208711943562613,0,0.0542118995612653,0,0,0,0,0,0.00641519952195428
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scaligerum",0.0190044012260437,0,0.0756929835021049,0,0,0,0,0,0,0.0964133737299768,0,0,0,0,0,0.0127407172305417
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932445",0.00344673264476413,0,0,0,0.0538068577205126,0.117337956200125,0,0.00292172943166,0,0,0,0,0,0,0,0.0118342183998041
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Galliscardovia",0.00550926886447072,0,0,0,0.002501491879425,0,0.0342336029944172,0,0.0308191181779886,0.231638500329689,0,0,0,0,0.378136336175202,0.0455225545614128
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia",0.00308304072186266,0,0,0,0,0,0,0,0,0.0581992381084652,0,0,0,0,0,0.00408548525535519
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia aeria",0,0,0,0,0.0559259974446155,0,0,0,0,0,0,0,0,0,0,0.00372839982964103
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa",0.00193635966869184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129090644579456
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa",0,0,0,0,0,0,0.0607750652866344,0,0,0.324539936659561,0,0,0,0,0,0.025687666796413
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia sp015265375",0.00352774625214879,0,0,0,0,0,0,0,0,0,0,0,0.305463064174338,0,0,0.0205993873617658
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia sp902373285",0.00468751324986921,0,0,0.15825895858085,0,0,0,0.0784843235155621,0,0,0,0,0,0,0,0.0160953863564188
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Actinoplanes",0.0042051568572517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000280343790483447
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes endophyticus",0,0,0,0,0,0,0,0,0.0207517023555428,0,0,0,0,0,0,0.00138344682370285
