"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__2-Hydroxyoctanoate",0,0,0,0,0,0,2.70237998977622e-09,0,0,2.91382018522577e-09,0,0,1.02915659021859e-09,9.1086565213146e-11,0,4.49096222028915e-10
"m__C00020_AMP",3.005152552198e-08,2.50919817719409e-08,1.08818808022992e-08,6.75199869499612e-09,0,1.69503275530595e-08,1.74695019080481e-08,1.95191286970533e-08,1.1703356118529e-08,2.35252126021076e-08,2.22828326051386e-08,2.90614046833177e-08,1.39620125622423e-08,1.34206619015186e-09,4.60123556557808e-08,1.8307039024443e-08
"m__C00047_Lys",0,0,0,0,0,0,1.93037153081456e-10,0,0,1.00272661642271e-10,0,0,2.53928838951603e-10,8.65926941509595e-12,0,3.70598615393617e-11
"m__C00077_Ornithine",0,0,0,0,0,2.48243899915982e-09,1.19055789952473e-09,4.62867946198193e-10,0,7.73516075710463e-10,0,0,7.85335258016351e-10,5.24527067614075e-11,0,3.83144592358064e-10
"m__C00079_Phe",0,0,3.71117304807662e-10,0,0,1.17650802876943e-09,3.85682690274077e-10,0,0,3.44368785247325e-10,0,0,3.6567617425419e-10,1.86020051843179e-11,0,1.77463665902467e-10
"m__C00093_Glycerophosphate",4.72341103762693e-10,6.48162190263494e-09,1.12506851951326e-08,1.62105175781302e-10,0,0,2.59847350941456e-09,0,5.75707870286613e-10,2.81932435648534e-09,0,0,2.11635378672008e-09,1.61438313312847e-10,1.03711701108064e-09,1.84501121497411e-09
"m__C00104_IDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00105_UMP",0,0,0,0,0,0,1.03885397510454e-08,0,0,1.25172114908967e-08,0,0,9.95913628570041e-09,8.07254573820428e-10,0,2.24480947343086e-09
"m__C00127_Glutathione(ox)",0,0,1.80746378139686e-08,0,0,0,5.06481923255192e-08,0,6.76156977565765e-09,5.46551158856826e-08,0,0,2.96863344964216e-08,3.07238993661117e-09,0,1.08598826822574e-08
"m__C00128_CMP-N-acetylneuraminate",0,7.6876817456801e-08,4.90977139151864e-07,0,0,0,9.94195420701724e-08,0,0,1.25574992912297e-07,0,0,4.61254787968828e-08,5.06198822910274e-09,0,5.6269063907808e-08
"m__C00130_IMP",0,4.24285482140564e-08,2.5422659683661e-07,0,0,0,5.83746023906925e-08,0,0,4.20609211860998e-08,0,0,2.90635512288064e-08,3.22236847476802e-09,0,2.86251058887355e-08
"m__C00144_GMP",1.31233625098487e-07,2.05010755940338e-07,1.25338665409962e-07,1.88491863235664e-08,9.1305000583869e-08,0,9.64553315806621e-08,1.19384257951892e-07,0,8.3370207007683e-08,0,1.61086145278855e-07,7.68945794344701e-08,6.50075608848067e-09,1.91173248331164e-07,8.71067839352952e-08
"m__C00156_p-Hydroxybenzoate",0,0,1.35182432423487e-09,8.40287184866628e-12,0,1.93593810346769e-09,2.44710098501382e-09,9.24893696803141e-10,0,2.29271849917945e-09,0,0,7.16788969106537e-10,8.13521018889684e-11,0,6.50601303436209e-10
"m__C00242_Guanine",0,2.01268705328995e-08,0,0,0,0,1.55670111709765e-08,0,0,1.40335593193666e-08,0,0,1.0725711677698e-08,8.8160627604375e-10,0,4.08898393179896e-09
"m__C00263_Homoserine",0,0,0,0,0,0,1.70849278040209e-08,0,0,1.66817200613553e-08,0,0,5.23332967805222e-09,1.18424448097263e-09,0,2.67894813496007e-09
"m__C00327_Citrulline",1.93448821691432e-09,3.34209796530666e-09,2.2515304192678e-09,1.18949682899423e-09,0,6.84731584007542e-09,2.31682196569454e-09,2.66548346871087e-09,7.88185965275457e-10,1.75015365063263e-09,0,0,1.66940387149988e-09,1.27378520404308e-10,3.72089332496944e-09,1.9068833358497e-09
"m__C00357_N-Acetylglucosamine 6-phosphate",0,6.94257268088936e-09,1.60086779061266e-08,0,0,2.80921659786116e-09,6.75183936880714e-09,6.45540648020311e-09,1.90985796185984e-09,7.48745190482775e-09,0,4.61818545905116e-10,3.04986995619498e-09,3.97564578821146e-10,3.40245918887821e-09,3.71178234469163e-09
"m__C00378_Thiamine",0,0,2.01846558669704e-10,1.47382762857982e-11,0,1.02784662122543e-09,3.96448183758293e-10,3.92986597904946e-11,0,3.45044313756979e-10,0,0,2.39795755743503e-10,3.27174197229616e-11,0,1.53182385930211e-10
"m__C00489_Glutarate",0,0,0,0,0,0,2.52721569610723e-10,0,0,1.20527676786907e-10,0,0,5.8260002724139e-11,7.30411595283988e-13,0,2.88159773811369e-11
"m__C00588_Phosphorylcholine",0,0,2.8631268246588e-10,0,0,6.94442655587261e-09,8.84629413007637e-09,0,2.62441336887107e-09,1.20735257364903e-08,0,0,7.60620097709647e-09,6.35541496366033e-10,0,2.60111432981592e-09
"m__C00612_N1-Acetylspermidine",0,0,0,0,0,0,5.62823720933964e-09,0,0,5.09541340752668e-09,0,0,1.96837868715435e-09,3.29998386087965e-10,1.718720758009e-09,9.82716563207842e-10
"m__C00711_Malate",1.02895158245387e-09,0,7.50681694492857e-09,6.20834032853237e-10,0,0,5.31588807521701e-09,4.07406183967698e-09,2.25906218721422e-10,4.76219205745024e-09,0,0,3.51542658312865e-09,1.65935881688249e-10,0,1.81440088107455e-09
"m__C00860_Histidinol",0,0,0,0,0,0,2.6807147849779e-07,0,0,1.42365517524861e-07,0,0,6.8308069715091e-08,1.14339105303553e-08,0,3.26785984178732e-08
"m__C01005_O-Phosphoserine",0,0,0,0,0,0,3.06823723026323e-09,0,0,1.54302311138644e-08,0,0,1.00630509563575e-08,9.70758208825706e-11,0,1.91057300809118e-09
"m__C01089_3-Hydroxybutyrate",0,0,0,0,0,0,1.62032271546817e-10,0,0,1.99574173746084e-10,0,0,1.25578867964827e-10,1.03886341804413e-11,0,3.31715964958779e-11
"m__C01118_o-Succinylhomoserine",0,0,0,0,0,0,5.05824544304753e-09,0,0,7.85864110045416e-09,0,0,7.53601508846569e-09,1.92025743812491e-10,0,1.37632849171866e-09
"m__C01180_4-Methylthio-2-oxobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C02155_Gly-Leu",0,1.43310893663454e-09,9.43301519883655e-09,0,0,2.81449210632531e-08,1.80244552037199e-08,1.42572328493747e-09,0,6.06250030815946e-09,0,0,9.82269935073844e-09,2.54868297433768e-10,0,4.97341944291422e-09
"m__C02421_Isonicotinamide",0,0,0,1.26125294922399e-08,0,0,1.75094894474044e-07,0,0,2.08786124584127e-07,0,0,1.21637392971384e-07,1.1045262010357e-08,0,3.52784135688101e-08
"m__C02470_Xanthurenate",0,0,0,0,0,8.88149645890232e-09,9.14460159024268e-08,0,0,9.63450103094728e-08,0,0,4.31560764021811e-08,5.33968850815937e-09,0,1.63445525054095e-08
"m__C02504_2-Isopropylmalate",0,0,0,1.73429331618091e-09,0,1.00910106819116e-07,3.75043817237158e-08,0,3.56596768553923e-08,4.91631078770478e-08,0,0,2.71893899891116e-08,3.87163680302958e-09,0,1.70688395589063e-08
"m__C03570_Mannosamine",0,0,0,0,0,0,8.62728090205415e-09,0,0,4.74930720036052e-09,0,0,2.74438886950557e-09,2.65792659888252e-10,0,1.09245130878723e-09
"m__C03793_N6,N6,N6-Trimethyllysine",0,0,0,0,0,0,4.74029763403495e-09,1.20555846942025e-09,0,3.17750863448867e-09,0,0,1.1773282624847e-09,2.0084913129997e-10,0,7.00102808781903e-10
"m__C04259_N-alpha,N-alpha-Dimethylhistidine",2.24430432004629e-08,1.35278123533713e-08,3.69940668082628e-08,0,0,6.64063613745618e-08,5.55387745036888e-08,2.00768690989671e-07,5.66438161207808e-09,6.5463028998423e-08,0,0,4.4400274255637e-08,4.64182371367584e-09,7.20829722637812e-08,3.91954153382409e-08
"m__C04501_N-Acetylglucosamine 1-phosphate",6.32048730993088e-08,2.83595890938096e-08,2.55392585983853e-08,6.19609325749431e-09,2.20021462209639e-08,6.08505732226832e-08,2.02779192167362e-08,2.30527087755483e-08,7.0549428442637e-09,2.2505369365091e-08,2.23983870791925e-08,3.7895783527686e-08,1.47026985038815e-08,1.78850444118286e-09,4.31144757555174e-08,2.65962215334496e-08
"m__C05127_1-Methylhistamine",0,0,7.59470354646440e-09,0,0,1.88332641639906e-09,2.73025757127291e-08,0,0,2.33031055446193e-08,0,0,1.73357187940862e-08,2.26858904079038e-09,3.16869701650625e-09,5.52378107143965e-09
"m__C05629_3-Phenylpropionate",0,0,0,0,0,4.6232578812045e-10,8.31886820942368e-10,6.89284387547919e-10,0,9.94432242907782e-10,0,0,4.51677104229801e-10,2.81644929267769e-11,0,2.3051805577834e-10
"m__C05635_5-Hydroxyindoleacetate",0,4.42690351321263e-09,5.07688061898257e-09,1.29849819657548e-09,0,1.68956754911309e-08,5.20687697408606e-09,1.55632136218433e-09,3.69862996489154e-09,5.57847965674066e-09,0,0,3.71804850060159e-09,3.84287458904863e-10,6.41643001976442e-09,3.61713545047167e-09
