"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__2-Hydroxyoctanoate",0.00431281387731279,0.00194958757139788,0.00186018853676267,0.00172031527474953,0.00108309995253229,0.00442324476735297,0.00428422158565383,0.0010645502518484,0.0023534554400686,0.00425857317728676,0.00328456407385465,0.00402770558114035,0.00170556793263923,0.00230881942211508,0.00275235894053803,0.0027592710923502
"m__C00020_AMP",0.00933558465091595,0.0129149981166695,0.00766018008182328,0.00765602463231202,0.00882968278915819,0.0052590945397832,0.0148357548796899,0.00606673384350059,0.0225621134554549,0.017626763808093,0.0201500732303978,0.011614871013605,0.00800254573699648,0.0143950273922162,0.0143496334569995,0.0120839387751744
"m__C00047_Lys",9.33981298789259e-05,7.42409341588184e-05,5.06478823353137e-05,2.72274172929671e-05,1.69460906485291e-05,8.23479127746284e-06,0.000152248255900073,3.29475602820501e-05,0,2.26335342662029e-05,0.000156467932988237,0.000152116565157939,0.000193678123025518,0.000107246188913372,9.62018892721541e-05,7.89490196931709e-05
"m__C00077_Ornithine",0.000152798706165688,0.000407538431470489,0.000134301886170891,0.000150105558850979,4.33383771316075e-05,0.000272638002981093,0.000921701351035387,0.000172269085167574,0,0.000543363279138033,0.00102907325452834,0.00014439060563758,0.000454050635467988,0.000525758883056672,0.000125111767563371,0.000338429321624379
"m__C00079_Phe",9.5667053276705e-05,0.000231720296002782,0.000239127375010137,6.80789548379575e-05,0.000204449787890307,0.000322585892799807,0.000234591615055736,7.12301418893758e-05,0,0.000342019573168559,0.000321584311970962,5.39803456096515e-05,0.000303931350640998,0.000189075214785976,7.31794471472424e-05,0.00018341475733908
"m__C00093_Glycerophosphate",0.00114217976047498,0.00350564152124315,0.00340950291731583,0.00112469923588295,0.0026158862959818,0.0019888474056435,0.00311470467262854,0.000584259455333233,0.00166843354125886,0.00222355403768132,0.00321129953911021,0.0019575665638514,0.0017073688154061,0.00221607103195422,0.00176156673303501,0.00214877210178674
"m__C00104_IDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00105_UMP",0.00499295607624478,0.00503640202522605,0.00607651913061531,0.00342250633110634,0.00349926348907209,0.00515394010842271,0.00056790236548919,0.00117736778539331,0,0.00447658692413591,0.00717246850381192,0.0050552843798494,0.00492138436716356,0.00441320570140084,0.00648620212930713,0.00416346595448257
"m__C00127_Glutathione(ox)",0.0269862585812915,0.017299065356725,0.00263140556639983,0.0194900697096735,0.0128607034537241,0.0353658919484331,0.034799430963994,0.00290938123482362,0.0400596126751345,0.0300166899054334,0.0292095811683823,0.0113204412365792,0.0149059372358918,0.0392283203357474,0.0213030875419273,0.022559058460944
"m__C00128_CMP-N-acetylneuraminate",0.0121769665678911,0.169532113091417,0.162696273018976,0.0377795783915579,0.0372652151096931,0.0324357681212174,0.0861899240186828,0.00371473636265586,0.0286571605599588,0.103293803054,0.104713041708969,0.015548276831951,0.0308457227752701,0.0554189643017397,0.00627395915535311,0.0591027668712889
"m__C00130_IMP",0.0449643409009619,0.101477172354681,0.107022133645305,0.0232917377127056,0.0413975955371657,0.0326506461464155,0.074844652353774,0.0179103679504148,0.0600099373024864,0.0398868247280752,0.0753413215202552,0.0550464428099639,0.0307708662465704,0.0560683919550736,0.0321970449343513,0.0528586317398799
"m__C00144_GMP",0.086825525249744,0.118012988503217,0.0842459243310917,0.043764636527581,0.113646758731729,0.122057940127912,0.107877715897775,0.0895740144324759,0.0100645219110366,0.0765423029355721,0.15833624688734,0.105089426065934,0.0703618890498221,0.0900804116319367,0.137932560048325,0.0942941908220995
"m__C00156_p-Hydroxybenzoate",0.00378093627934012,0.0022375490331844,0.00220745780749891,0.00139356586003047,0.00224781105397843,0.0038803336740877,0.00301521440660065,0.00237901148705147,0.00521556092412812,0.0026560752585972,0.00446252444588123,0.00227907218542874,0.00127005488083187,0.00202145625871398,0.00229439951162474,0.0027560682044652
"m__C00242_Guanine",0.00665186463042886,0.032750845249935,0.0167735980177522,0.0120547973452272,0.0225169781923726,0.00175869185518495,0.0310348078459896,0.00382598211369643,0.00316018457716161,0.0232525332007366,0.0272434274960447,0.0277634577461419,0.019608552810947,0.0226727230495818,0.00967401651907812,0.0173828307100186
"m__C00263_Homoserine",0.0188835188998511,0.0157196749968776,0.017216945252832,0.0137824214589982,0.0206641934353386,0.0132738913673906,0.0300325755176108,0.0179056745629489,0.0137545108078326,0.0251061120383696,0.033787758304942,0.0111922176384216,0.0153177836302925,0.0308166865177273,0.0220818390344277,0.0199690535642574
"m__C00327_Citrulline",0.00163622966219591,0.00158445883006545,0.00100128285697918,0.000956104497438283,0.0011120092072765,0.00201431641790228,0.00183894259431027,0.00111311451103258,0.000611656621322752,0.0014027082522627,0.00149866432704044,0.00135786117392571,0.00119931738376116,0.00126444152067054,0.00208149103448731,0.00137817325937807
"m__C00357_N-Acetylglucosamine 6-phosphate",0.00242715871325548,0.00946688162148411,0.00808834738821348,0.00259851118743425,0.00834039113517879,0.00216920931182059,0.00900506058008615,0.00346307884142388,0.00795380401142704,0.0078131418826916,0.0107001349707108,0.00684647308674688,0.00347744323970435,0.0029712600450024,0.00539853648709061,0.00604796216681803
"m__C00378_Thiamine",0.000691021598689896,0.000461996632795766,0.000419601778927788,0.000286517680979532,0.000479197630452218,0.000511282431385805,0.000602202639574837,0.000267857534846506,0.000909657307704379,0.000514147741667576,0.000641082867022387,0.000442252284024198,0.000354672464134792,0.000711519786258196,0.000419028766383702,0.000514135942989839
"m__C00489_Glutarate",0.0007731356855064,0.000653208844304791,0.000595546303919667,0.000309567523557461,0.000667635786761979,0.000676569743381638,0.000692748804678389,0.000291930163701675,0.000851273327819595,0.000702651492468361,0.000605403828898664,0.000505126732985123,0.000540088941506049,0.000601843847764923,0.000384510111617166,0.000590082742591459
"m__C00588_Phosphorylcholine",0.00125096283126298,0.00255458094148093,0.00253625807278346,0.00180489843924298,0.00184286557703352,0.000683476585644677,0.00570487218184854,0.00140055096162901,0.0100308928383662,0.00504529968015455,0.00488716937649388,0.0019729367776396,0.00289215119474869,0.00587261958233585,0.000337691690278139,0.00325448178206286
"m__C00612_N1-Acetylspermidine",0.00258813546871886,0.0048583346394239,0.00357031953501301,0.00363595059264702,0.00588229298991459,0.00315468008137923,0.00830793703233352,0.00226736785881128,0.00302822507646589,0.00830609678135323,0.0102425399509579,0.00369054953711092,0.00344052342314575,0.00737852239052488,0.00636582690368939,0.00511448681743263
"m__C00711_Malate",0.00450871588145122,0.0032444309340945,0.00487034809610045,0.00232475950857479,0.00125174880322106,0.00327165925048113,0.00573215922182498,0.00369821436379991,0.00309211567593151,0.00423371960245906,0.00430133629181291,0.00301335185990743,0.00340919151690709,0.00275465501448937,0.00419342756020543,0.00359332223875072
"m__C00860_Histidinol",0.29881548719568,0.17861581284532,0.187292121507967,0.108409076880205,0.237429866559825,0.110792833307529,0.441704578355065,0.137136765700717,0.0329084936846459,0.254374225032267,0.260512248572622,0.208832083508029,0.14479373900846,0.269524931291919,0.266658056288064,0.209186687982554
"m__C01005_O-Phosphoserine",0.00680868621089248,0.000718128212349284,0.0246596924450079,0.0018676029812732,0.00897788238826063,0.0139789715794527,0.00611139121873638,0.00103702739253454,0,0.0203751620795251,0.0106746437677098,0.00780691372044984,0.01432580214837,0.000263541393383872,0.00394006130281376,0.00810303378938396
"m__C01089_3-Hydroxybutyrate",4.92126089390981e-06,7.99036505023492e-05,8.23925586011238e-05,5.38392904863976e-05,9.06017387997263e-05,0.00106923896599489,9.24252234985378e-05,0.000178556969938622,0,7.58391089715862e-05,0.000743821440792384,1.50649995266216e-05,6.09596503709813e-05,9.44755083937283e-05,0.000419172977684045,0.000204080889630327
"m__C01118_o-Succinylhomoserine",0.000630040650914049,0.00602939534298683,0.00877859043330055,0.00389152262813807,0.00377585258218904,0.00195993138200676,0.00808334590892377,5.76761030987946e-05,0,0.00657863178963771,0.0193046677771451,0.00194385739101706,0.0051810795889626,0.00341001562382411,0.00463059463017004,0.00495034678882097
