"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__2-Hydroxyoctanoate",0.231088405881065,0.237289942349743,0.235581666639793,0.331321220586292,0.199394657588323,0.258015170881812,0.267987035259946,0.258864912780114,0.310602407503689,0.244324361707607,0.302193825986538,0.224044773893432,0.32136684622881,0.196602155896892,0.29973739568555,0.26122765192464
"m__C00020_AMP",0.681430682981659,0.748276670493608,0.732142459257002,0.80208655127894,0.580059505479393,0.777406846368716,0.696514767194957,0.775480123556354,0.852494125415293,0.876775590480611,0.852830937231302,0.677781326142679,0.753651565501433,0.666424216350604,0.784561848104603,0.750527814389144
"m__C00047_Lys",0.592407922288887,0.647615384254816,0.82835590362378,0.73127849724795,0.628893488136926,0.775004822659032,0.709446686259686,0.716757624880272,0.661549614786443,0.729430746130249,0.792071161503629,0.613266410127971,0.989003729672072,0.66109923140047,0.660178231758736,0.715757296982061
"m__C00077_Ornithine",0.632763876885554,0.605764087018013,0.810392799800732,0.657650710411177,0.636297205130079,0.766082652619304,0.662810921301711,0.704413914635876,0.702010511379737,0.623394302560099,0.726021473032805,0.55892169089118,0.879005252725947,0.559882276780856,0.651557496020211,0.678464611412885
"m__C00079_Phe",0.617429633663723,0.653354403047544,0.664081580744251,0.74877444760735,0.560535176529976,0.734195054746226,0.652053789959601,0.691769933870633,0.733937182014666,0.647823972813043,0.816259803935411,0.59425012236966,0.988831746424054,0.619400724186487,0.642376952361863,0.691004968284966
"m__C00093_Glycerophosphate",0.647472815673308,0.505822017535039,0.624185584286566,0.56318173500974,0.793891289506493,0.763114659530552,0.734132655744706,0.646959022194326,0.74347154776012,0.840453258939852,0.790876601988484,0.582345882610696,0.868882849688827,0.645523751264838,0.642017925460495,0.692822106479603
"m__C00104_IDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m__C00105_UMP",0.681503571269516,0.595232506032898,0.585844366303602,0.749940562773895,0.797100759012442,0.717645269226343,0.74435175877846,0.733547494885944,0.644503400245315,0.940363941540789,0.872016142768378,0.773959969154173,0.851934180722523,0.583899634904509,0.701111001881421,0.731530303966681
"m__C00127_Glutathione(ox)",0.241940024638286,0.264679539140008,0.288232934107719,0.329617706319765,0.281859319611239,0.28768112839321,0.304502120090243,0.314645713655518,0.401573755638302,0.38529738067191,0.346414490800462,0.277929227669017,0.347453406255159,0.355706432229917,0.323178641741674,0.316714121397495
"m__C00128_CMP-N-acetylneuraminate",0.127071908425473,0.0567698727935334,0.0543865216978761,0.100689443971396,0.0677918865516522,0.064669241863561,0.0839729256614371,0.135230313795361,0.0955783166109737,0.111636802332944,0.0808956896713075,0.0626928090389972,0.0675567200546825,0.0762295932323322,0.0946402712120551,0.0853208211275722
