"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__2-Hydroxyoctanoate",0,0,0,0,0,0,0,0,0,0,0,0,0.0142698694801348,0,0,0.000951324632008984
"m__C00020_AMP",0,0.126451506753784,0.196200218187739,0.0249477980192532,0,0.0855713382606441,0,0,0,0.0363733064633463,0,0,0.00521454669658993,0,0,0.0316505809587571
"m__C00047_Lys",0,0,0,0,0,0,0,0.0211602981539338,0,0.0609061797819858,0,0,0.0101839651628031,0,0,0.00615002953991485
"m__C00077_Ornithine",0,0,0,0.00306688754562422,0,0,0,0,0,0,0.0120822268276733,0,0.0111284321338305,0,0,0.00175183643380853
"m__C00079_Phe",0,0,0,0,0,0,0,0,0,0,0,0,0.00318323797054964,0,0,0.000212215864703309
"m__C00093_Glycerophosphate",0.0772167396534215,0,0,0,0.0477706585593505,0.0780398666635238,0,0,0.128141234209394,0.146776419047622,0.140341636437558,0.031614664145265,0.0424315156148819,0.0248824314530795,0,0.0478143443856064
"m__C00105_UMP",0,0,0,2.93639383039904e-05,0,0.0132549565495274,0,0,0,0,0,0,0.0121991898163753,0,0,0.00169890068694711
"m__C00242_Guanine",0,0,0,0,0,0,0,0,0,0,0,0.0328248617592531,0,0.0047842383411191,0,0.00250727334002481
"m__C00263_Homoserine",0,0,0,0.00691494168079141,0,0,0,0,0,0,0,0,0,0,0.0438156505443912,0.00338203948167884
"m__C00327_Citrulline",0,0,0,0,0,0,0,0.0115393415524774,0,0.053026153878737,0,0,0.00475208171405927,0.00703578801860268,0,0.00509022434425842
"m__C00357_N-Acetylglucosamine 6-phosphate",0,0,0,0.000604283694851253,0,0,0,0.00606025412885934,0,0,0,0,0,0,0,0.000444302521580706
"m__C00489_Glutarate",0,0,0,0,0,0.132746603505792,0,0.0621722287392231,0,0,0,0,0.0206942579042562,0,0,0.0143742060099514
"m__C00588_Phosphorylcholine",0,0,0,0.00995580300292858,0,0,0,0,0,0.312061609002366,0,0,0.0405845066892682,0.0693273188604317,0,0.0287952825036663
"m__C00612_N1-Acetylspermidine",0,0,0,0.000298797866019952,0,0,0.249404488266934,0,0,0,0,0.148230038250597,0.0105115256781265,0.0127042095096893,0,0.0280766039714244
"m__C00711_Malate",0,0,0,0,0.0306944696296532,0,0,0,0,0,0,0,0.00559990531873476,0,0,0.0024196249965592
"m__C00860_Histidinol",0,0,0,0,0,0,0,0.00578995119097776,0,0,0,0,0,0,0,0.000385996746065184
