"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__2-Hydroxyoctanoate",0,0,0,0.0495220109680375,0,0.0245103931370725,0,0,0,0,0,0,0.0928385493957974,0,0,0.0111247302333938
"m__C00020_AMP",0.122544796104976,0.291605445178992,0.145145639238775,0.475602404909189,0.136897585791235,0.0247154194716079,0.0723214217977874,0.1813945183926,0.29096304974554,0.246190692415254,0.181387567038533,0,0.440357513787903,0.133147649874258,0.628770183409607,0.224736259143751
"m__C00047_Lys",0.119131058540461,0.289767930454511,0.329998188209137,0.377116300964367,0.0472054205898964,0.146504563044027,0.184663353779672,0.216260799664201,0.163362916907363,0,0.170480544565492,0,0.756268169463316,0.646257610849499,0.169446445093576,0.241097553475035
"m__C00077_Ornithine",0.10565093099743,0.0624832071812706,0.520519496042239,0.199755608581348,0.0399839207289832,0.117336246880035,0.154472753351139,0,0.0387612513648612,0,0.0563811602747734,0.110569028280417,0.156949095444765,0,0,0.104190846608484
"m__C00079_Phe",0.139995008468044,0.166526987538858,0.345850072225776,0.0564545459633247,0.0798234283197478,0.19120207161927,0.152882765685254,0.0702011820095241,0,0.228779026569065,0.217629686826245,0,0.914576914511789,0,0.0186668177276677,0.172172567164304
"m__C00093_Glycerophosphate",0.360585171953872,0.0530115664361199,0.257141879110808,0.138910435259399,0.083093658065767,0.231707732752857,1,0.0640220704562595,0.157998282786472,0.48569382599508,0.214644734878688,0.271430889667681,0.469527666735605,0,0.0310162459430383,0.254585610669443
"m__C00105_UMP",0.123691474689427,0.0808223822444295,0.260951292328862,0.25483110478353,0.0418430890745252,0.105109247716825,0.475761717526197,0,0.186996137790417,0,0.0997713428156865,0.488698430109593,0.13282194332394,0.301580409218002,0.0761992043997905,0.175271851734748
"m__C00127_Glutathione(ox)",0.0161924831328762,0,0,0.0146072789210244,0,0,0,0,0,0,0,0,0.0381671683256512,0,0,0.00459779535863679
"m__C00144_GMP",0.0195348215994018,0,0,0,0,0,0,0,0,0,0,0.191381992381298,0.0333083551458264,0,0,0.0162816779417684
"m__C00156_p-Hydroxybenzoate",0,0,0.0912896073936197,0.0326794723489699,0,0,0,0,0,0,0,0,0,0,0,0.00826460531617264
"m__C00242_Guanine",0.0889025299106931,0.584118324065255,0.133073863952284,0.247498720950099,0.25272829193044,0.0256179407544392,0.142218507241481,0.0075750531554149,0.333813015015141,0.295526163026671,0.172687471121352,0.337913256522898,0.364123748388875,0.121592605970106,0.0183719764541613,0.208384097897287
"m__C00263_Homoserine",0.158497009900084,0.306157149758233,0.304892591817892,0.316339685649876,0.0179121182490243,0.167456839857213,0.0191085998255485,0.0876779254126789,0.114738563450001,0,0.412842128684328,0,0.286828029964184,0.241323601269404,0,0.162251616255898
"m__C00327_Citrulline",0.103419227086398,0.194545140588335,0.0740221530203008,0.294509265358198,0.0369168840775177,0.312294526014725,0.223287635885765,0.466251302374267,0.30215429861451,0.22574372400276,0.0445877920337914,0,0.19031280495113,0,0.351477252100665,0.187968133740558
"m__C00357_N-Acetylglucosamine 6-phosphate",0.0316879777088852,0.18464161613988,0.381659418872809,0.119177456650274,0.108920771130649,0.0279195037469698,0.0814539433810835,0.0872932851703675,0.675545921224984,0.238191529040316,0.220085662931202,0.0776162514754601,0.25971271122326,0,0.0729624258683364,0.171124564970965
"m__C00378_Thiamine",0.0961299895516285,0.0174616710438207,0.234049034852577,0.157912147888172,0.042210204331077,0.0477479338645664,0.0307259681212443,0,0,0,0.0133638288860108,0,0.0586579879378772,0.0738669857521019,0.0143815938804633,0.0524338230739693
"m__C00489_Glutarate",0.345684609851205,0.355658874135847,0.711409251783328,0.197810819230879,0.111624048520201,0.176617821711481,0.173541857831086,0.0173071631501552,0.496986849595026,0.243495698385536,0,0.111217906847671,0.501933539038093,0,0.0212821198724261,0.230971370663529
"m__C00588_Phosphorylcholine",0.204606140930374,0.0266161111670181,0.564421231162954,0.188664018969892,0,0.0602898449929195,0.0437829028366029,0.135264191770939,0,0,0.0742474066748793,0,0.311998183479017,0.455292773995777,0.0364914218501271,0.1401116151887
"m__C00612_N1-Acetylspermidine",0.485910319492389,0.273219086148478,0.656132836421006,0.771683879493989,0.50766755738382,0.385404826495899,0.647318587405266,0.136974067243304,0.646417547346941,0.227477241572541,0.44072076477989,0.653518153858777,0.489077243636883,0.692457744244982,0.646190923569693,0.510678051939591
