"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp001064145",0,0.00242554569515661,0.000274485816902404,0.000353968732513341,0,0.00217619688039844,0,0.00160035852709972,0,0,0,0.00138905137832136,0.000498031480063004,0.000910077546818901,0,0.000641847737151585
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum",0,1.15986478383471e-05,2.44345122926902e-05,0.00014293214518565,0,1.7542929407419e-05,0,0.000118866122807755,0,0,0,9.92076041922008e-06,5.79638903856186e-06,8.87417858396843e-06,0,2.26643790382407e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium callitrichos",0,0.0138419533912332,0.00846164074177062,0.0249608682974799,0,0.0381741099177071,0,0.0152921635279029,0,0.0218044927275825,0,0.0377236946578313,0.00860992223067403,0.0168538065092127,0,0.0123815101334263
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cebidarum",0,0.00728610435246966,0.00357493643131203,0.0120108707495982,0,0.0205417232031247,0,0.00685622982833145,0,0.00212054785111991,0,0.0219099483530513,0.0039427254317309,0.00848828323741913,0,0.00578209129587715
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium felsineum",0,0.00831137456757125,0.00421017885069075,0.0139383908378825,0,0.0178073748361606,0,0.00849011492055188,0,0,0,0.0184777631186304,0.00473423826910844,0.0100141833541308,0,0.0057322412503151
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium goeldii",0,0.0132014090885925,0.00618483699953414,0.019025761287786,0,0.0308501497688433,0,0.01283310121609,0,0,0,0.0302768713368815,0.00762386981069245,0.0157267028015155,0,0.00904818015399569
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium hapali",0,0.0166800869962074,0.01632244901074,0.0504433993469511,0,0.021409290310596,0,0.0307565599515819,0,0,0.00163219127013475,0.0172402280373422,0.0088669876808355,0.0177744080720821,0,0.0120750400450981
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris",0,0.00133674777116276,0.000399896035418918,0.00169688570266375,0,0.00516807981284937,0,0.000961782518171554,0,0,0,0.00327106289234007,0.000583033911989522,0.00130865758778217,0,0.000981743082158541
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium jacchi",0.00829715160712982,0.0146416905088376,0.00702671827526778,0.021597433439981,0.00622799609125408,0.0340689809478892,0.00586225685972919,0.0137420661411426,0,0.0437696206210468,0,0.0321573226506638,0.00733299961440628,0.0169149605772936,0.000561842980456954,0.0141467360210066
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum",0,1.12064756622479e-05,4.41528603383476e-06,1.47082732012379e-05,0,5.7379543795982e-05,0,7.86932360465586e-06,0,0,0,7.37987385296595e-05,5.54126274208638e-06,1.13023186155743e-05,0,1.24147481456852e-05
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium minimum",0,0.00208551235946925,0.000869622024646398,0.00239954475481752,0,0.0019416700459544,0,0.00137358696082543,0,0,0,0.00202486595007416,0.00113134825937892,0.00197449618755173,0,0.000920043102847854
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium myosotis",0,0.0110389355351151,0.00477878883117148,0.0163100633046264,0.00236502848126145,0.0313069223378291,0.00531382422083002,0.00958740084263271,0,0.0126612437989644,0.00184096514982004,0.0346294012286088,0.00548648025561982,0.0116774935552547,0,0.0097997698361156
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_B",0,0.00605989156382271,0.00277848983567241,0.00830248812902629,0,0.0118691997735546,0,0.00505246991709314,0,0.0150533310096305,0,0.0115285989032241,0.00322228325496153,0.00598027333534492,0,0.00465646838148868
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum_C",0,0.00746105308544366,0.00320057855994254,0.0102334947483017,0,0.0358934243216127,0,0.00568958426713104,0,0.00136718384974986,0,0.0370655693745956,0.00409488284707069,0.00829445826242981,0,0.00755334862108517
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium ramosum",0,0.00149330038819613,0.000490887742263422,0.00126948784817086,0,0.00791709284149981,0,0.000960642268615078,0,0,0,0.00696590977834792,0.000789806341933116,0.00140491763105289,0,0.00141946965600528
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932375",0,0.00591471868855568,0.00191613580113891,0.00736913973911846,0,0.0240387362895917,0,0.0045141296406403,0,0,0,0.0178820283086319,0.00279611756494535,0.0065645955860626,0,0.00473304010791233
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp012932425",0,0.00910703142327555,0.00526948586715683,0.0177356989805541,0.00587371965530678,0.014201065247726,0,0.0105451602441148,0,0.0030243967233243,0.00670465294090378,0.01540566782721,0.0046561132314634,0.00978768407430292,0.00110447891081774,0.00689434367507708
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium sp018555385",0,0.0150041268051157,0.00506510526939211,0.0173913907274842,0,0.0593914206128873,0,0.0109642954689611,0,0.0154327509840377,0,0.0397241627018176,0.0070357249968773,0.0136616723810289,0,0.0122447099965068
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum_A",0.00120911296333396,0.0248980347993534,0.017722532591012,0.0472021355326687,0.00941333707652635,0.0461940623603194,0.00389476862935143,0.0272642555197139,0,0.0819898862522032,0.128640338684131,0.0363390905928357,0.0205125861714007,0.0358635777896666,0.0282120258285322,0.0339570496527366
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Parascardovia",0,0.00328268897832246,0.0006776709084747,0.00389060237079243,0,0.0459192794773151,0,0.00195659784351992,0,0,0,0.00231224508971453,0.0017868919773938,0.0053550992142794,0,0.00434540505732083
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Parascardovia;s__Parascardovia denticolens",0,0.00312211252418991,0.000659898194207665,0.00368293163182761,0,0.0437095192129256,0,0.00186007786214831,0,0,0,0.00226545440442295,0.00170688564244918,0.00501141003466664,0,0.00413455263378919
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium",0,0.0384557833492155,0.0205290777482717,0.0550548039658419,0,0.0872096033206102,0,0.0399373713577538,0,0,0.0280998059525867,0.0281683583408609,0.018561419821346,0.0304508317421203,0,0.0230978037065738
"t__d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium acidifaciens",0,0.0382232455211382,0.0179225785362258,0.0537681040978439,0,0.0901441606912309,0,0.038539511458423,0,0,0.0265106593592769,0.0269845681947296,0.022563598492761,0.0296721826742682,0,0.0229552406017265
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp900555335",0,0.00284640106638619,0.00080583595225025,0.00105711481101703,0,0.00224745184673553,0,0.00204783433573108,0,0,0,0.00296202812779146,0.00107413064761569,0.00216550714393235,0,0.00101375359543064
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens",0.00923641392588626,0.0116210344938961,0.00385989312540374,0.0170764151791455,0.0103004695830405,0.0177573431433816,0.0058771781805538,0.00960189922022718,0,0.023026725748672,0.00607458527619453,0.00973979911131535,0.00302633166930147,0.010270781836589,0,0.00916459136624046
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_AA",0,0.000853277912913528,0.000792460203387827,0.000979378345795462,0,0.00533547333629704,0,0.000116351835821932,0,0,0,0.0016768862625107,0.000420315556034586,5.45691485473977e-05,0,0.000681914173420565
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_E",0.00130292818169336,0.00213151477266948,0.00152576392924936,0.00249757657773122,0,0.000654859135434499,0.000381272729732701,0.00338509833928238,0,0.00188976232598071,0,0.0020333805721997,0.00131304776054274,0.00430801604936824,0,0.00142821469159229
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_H",0,0.00309373246478406,0.00127066493225364,0.000835013790926961,0,0.00202299134022661,0.0236204797952233,0.00046993203538691,0,0,0,0.000952502812972495,0.001529234873175,0.00125175291443802,0,0.0023364203306258
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_I",0.00142361540395654,0.0342144339221034,0.0171660167390329,0.045239687206164,0,0.0305900859787836,0.00592125978262539,0.0253859521242836,0,0,0.00968416275820601,0.0484242147910026,0.017696424041419,0.0289584669607518,0,0.0176469546472219
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_L",0,0.00224956112832276,0.00085203667900954,0.00261335397376698,0,0.00425269187631446,0,0.00185979462341599,0,0.00235987363768249,2.65455563299966e-05,0.00223849669479637,0.000990148246301786,0.00166772116128401,0.000627896681729291,0.00131587468393025
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_M",0,0.0006886564099478,0.000264191780892303,0.000871071313454592,0,0.000904717954568146,0,0.000556125048513223,0.00011945141181633,0.000465944201033798,0.00180293589097024,0.000662648186456654,0.000322379297681061,0.000641564966752929,0.000193776479968535,0.000499564196137041
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_N",0,0.00886286519426823,0.000561304617956624,0.0062265248984384,0,0.0816351038831803,0,0.0239790929907325,0,0,0,0.0205280375311901,0.00474692515921662,0.00383024093132114,0,0.0100246730137536
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_O",0,0.0178076785767306,0.016109682533069,0.0414064015299045,0,0.035388180914609,0,0.0181127172949663,0,0,0,0.0452094658784967,0.0142465789877435,0.0238101361732514,0,0.0141393894592514
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_P",0,0.0118582717193747,0.00334937030880148,0.00937313157373523,0,0.0198525011384482,0,0.00569783502665363,0.00418984762977144,0,0.0195001538303235,0.0198146629011972,0.00704675760813043,0.00579815528672281,0.0044752643369088,0.0073970634240045
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_R",0.00129364490556468,0.0127370185376056,0.00409217028273542,0.0150691060806885,0.01627130737261,0.00629219416184929,0,0.00903877551181924,0.00954699464558072,0.0148105061067019,0.00105920281117501,0.0138067582977626,0.00428007170091428,0.00977049054207622,0.011418212675436,0.00863243024216796
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_T",0.00482229608568857,0.00655843403846047,0.00324810788988177,0.0168387201821176,0,0.015786771801636,0,0.00872463960063978,0,0,0.00136423997683605,0.00139823736074401,0.0054903052936297,0.00708291792927505,0,0.00475431134392727
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_V",0.236576023218379,0.156459031810645,0.0572873650128265,0.191070676115578,0.309555804840094,0.187455968443005,0.253691532846514,0.133659012645307,0.477353611399764,0.528984889444379,0.294464061011666,0.167379251599426,0.0679458407725974,0.092911964721391,0.250479713602785,0.227018316498957
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_W",0.0608042973149863,0.0220147999840564,0.00817106984853023,0.0368066515408099,0.112244905202003,0.0361136092442305,0.0362639653102868,0.0244823827415493,0,0.105093146369952,0.148852228791547,0.0256472748173718,0.00878742999462958,0.0215771386805372,0.00574087220411512,0.0435066514696403
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_Y",0,0.00626482559390484,0.00192766170486251,0.0069686883009032,0,0.00672048055105053,0,0.00252554933529252,0,0,0,0.00824991945882105,0.00329025777448503,0.000999050307871057,0,0.00246309553514605
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_Z",0,0.00378722558296197,0.000883544417600673,0.00462865050884622,0,0.00173342252464746,0,0.0040560822007801,0,0,0,0.00952743930972048,0.00122247075229266,0.00219759532654692,0,0.0018690953748931
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella bouchesdurhonensis",0,0.00235188667227115,0.000572575439000284,0.00272503766534498,0,0.0012851500950567,0,0.0014922530183195,0,0,0,0.00160105654662372,0.000732980357963793,0.00135318762557607,0,0.00080760849467708
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp000434535",0,0.0045932601059458,0.00202861299933694,0.0155765907982501,0,0.0166209773902967,0,0.000121144279787258,0,0,0,0.0109743471494375,0.00165635504897128,0.00223666614093011,0,0.00358719692753038
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp000763055",0,0.00474293298233618,0.00232645387809768,0.00293546512358166,0,0.0106388697661939,0.00805144006147049,0.00657212436176447,0,0,0,0.00234547203862123,0.000443943875802618,0.00721318161203782,0.00311446039692426,0.00322562293978869
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035",0,0.0234135459879039,0.00858237284300475,0.00846248662525889,0,0.0211128452580846,0,0.011646630729383,0,0,0,0.00226464579318557,0.0119825999373444,0.0173832478517652,0,0.00698989166839536
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002391315",0,0.00750460146482031,0.00367550079342054,0.00955998711125137,0,0.0713997553438196,0,0.00630076233419293,0,0,0,0.00903328870108084,0.00818730837956203,0.00636164499511689,0.00107326957867096,0.00820640791346236
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003459245",0,0.00152871265731646,0.00114081847641528,0.00204797085625979,0,0.0175032835369216,0,0.000151141368134463,0,0,0,0.000434828543839752,0.00110640743520419,0.00232921687773167,0,0.00174949198345488
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003466125",0,0.0136790180316327,0.00141019272261526,0.014177500772577,0,0.0204859589631155,0.00743411551169439,0.0126341649292815,0,0,0.00206291219491869,0.0125693759634722,0.0047115093672795,0.0132671236049667,0.00696342652119926,0.00729301990551684
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp003471585",0.093618875106295,0.0786921125575557,0.026628507319709,0.0691838808512452,0.203353784191331,0.103339295154115,0.0953516776363254,0.0805398336659321,0.0392816150167471,0.218464560267989,0.275777568075216,0.0894699494380976,0.0250801128297806,0.0803400257259985,0.118282609563386,0.106493627159981
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp014871605",0,0.00398200023493629,0.00184874258423046,0.00395688950739983,0,0.0107582287620337,0,0.00263458872322866,0,0,0,0.00115599147207777,0.00310777633978748,0.00307390733545501,0.00344309979877679,0.0022640816505284
"t__d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp018380015",0,0.000875060336428103,0.00026921170653345,0.00104029713020648,0,0.00473227724922584,0,0.000860700673757151,2.59914346563649e-06,0.00252362613878696,0,0.000855312494798519,0.000991671538831834,0.000288035829562203,0,0.000829252816106411
