"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__metabolite_1",0.52711837367868,0.602745863868592,0.544729714570827,0.454113650400988,0.525896820300157,0.473765163183132,0.450400274614612,0.491114721497319,0.459125676778185,0.535688321821907,0.4963006103458,0.461561906705108,0.476665812247641,0.453837264693453,0.597692394860232,0.503383771304442
"m__metabolite_10",0.38878832033635,0.655339786221165,0.362544946965952,0.377368114897156,0.645570474234416,0.543066891774323,0.443773193891706,0.392213351304735,0.415001147289535,0.329872881211304,0.443473842643936,0.480119334116765,0.378850000606801,0.412322124370772,0.503390740651136,0.451446343367737
"m__metabolite_100",0.372511050324579,0.863882322176213,0.544832205799784,0.45170164284056,0.473893589151872,0.561227833607438,0.735730755329605,0.591218377611559,0.405279677550605,0.425659472818983,0.439347593200002,0.462727507733646,0.50025691813784,0.501775499102313,0.556511839404706,0.52577041898598
"m__metabolite_11",0.572321429031245,0.691330026229786,0.612225007246045,0.526258120603134,0.558975831393067,0.501302808504699,0.575968418559528,0.707533413845303,0.541818153012856,0.528435131326693,0.464371067575165,0.63659773566126,0.672206334173514,0.563719745726202,0.728850054972452,0.592127551857397
"m__metabolite_12",0.535153586773042,0.691408378980246,0.542143237472933,0.553047620784767,0.468281868868983,0.412068873714258,0.611566011390822,0.617496923219149,0.587556728494138,0.497231557291547,0.469322587581721,0.374664169137199,0.562397025026059,0.619616763328544,0.567691099371599,0.540643095429
"m__metabolite_13",0.553874410178626,0.791031143136414,0.576053906565641,0.447391593105472,0.627712386050908,0.480024252832006,0.460324338610541,0.645122944073669,0.707264875417833,0.54965325547298,0.354045496866554,0.51091880096632,0.531923568034334,0.397927205673029,0.47570710478863,0.540598352118197
"m__metabolite_14",0.626899028060871,0.486736142192369,0.550824292163014,0.443194816453188,0.69140263492851,0.576711462637385,0.441550103068568,0.397596782743007,0.538613301477481,0.610465231840558,0.383714482812641,0.488347847014017,0.46203244809512,0.61237772696472,0.486896845033501,0.519824209698997
"m__metabolite_15",0.731552319978312,0.568358981822833,0.636906974323705,0.393458146572352,0.46731477572442,0.525727973066223,0.461961927248479,0.639541226297576,0.545454410100814,0.525777942856064,0.444466877323709,0.675283735933587,0.577570342463842,0.529656577443955,0.633500038662448,0.557102149987888
"m__metabolite_16",0.567469645592464,0.519742879942997,0.508091437592193,0.359258360711441,0.5584089526653,0.456438882556154,0.60749499849527,0.405607246489791,0.588100578286824,0.485017300178503,0.428167246147598,0.445306785095563,0.538089182717984,0.41790591831994,0.529338457177874,0.494295858131326
"m__metabolite_17",0.865745956847371,0.729737896603479,1,0.456574926041525,0.90972825227638,0.836402268559601,0.872500257143242,0.87453988250988,0.965668450293576,0.672275492284106,1,0.91973919546635,0.935956817779359,0.511230913830518,0.922845519582733,0.831529721947875
