"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"t__taxa_1",0.292539266766612,0.233350262201625,0.353612501848323,0.339127593181783,0.497662701340981,0.378914219503925,0.235893445281236,0.392541990187328,0.555184588952424,0.40932453980475,0.317281152527913,0.327096301715186,0.409219611703608,0.359489919001207,0.258316039870139,0.357303608925803
"t__taxa_10",0.57907356225064,0.408300676779466,0.484581305094408,0.569688564951527,0.822223623339898,0.509409249514074,0.539833981939885,0.775335911746049,0.697303268812316,0.658558133453997,0.658841024538774,0.742114055056489,0.531766909758595,0.488784593676965,0.768967132365073,0.615652132885211
"t__taxa_11",0.391055804853351,0.164988493470689,0.229523347467746,0.219475087073331,0.38805645410245,0.309927221234039,0.250995398270224,0.361830822580157,0.292221180901548,0.255625655401381,0.316377444510292,0.264374821846029,0.254936085866119,0.260513066572519,0.316261551533215,0.285077495712206
"t__taxa_12",0.550963232396378,0.253678164484335,0.346163095883676,0.504536138578288,0.45869227490624,0.627871420014264,0.569563016629127,0.594390917810673,0.681404323105638,0.48776744349354,0.334704611411437,0.40112082367657,0.4547716314609,0.416531408388861,0.826015803420486,0.500544953710694
"t__taxa_13",0.547303497020091,0.321579255620753,0.29495439163774,0.297500227171543,0.644696834953279,0.451343112695438,0.419049016166079,0.613542746074741,0.418934886553419,0.48178813762162,0.315103280637568,0.280832927526501,0.5422719554678,0.346662659255186,0.519130043413341,0.43297953145434
"t__taxa_14",0.371665637690992,0.267779419596539,0.370810589372925,0.380307910784578,0.45025372194311,0.237307679256895,0.388885934665726,0.584563229362487,0.579135157848301,0.58300825131795,0.214072266510474,0.447669874590112,0.407586039373816,0.354292394226588,0.399874911050545,0.402480867839403
"t__taxa_15",0.39711612006776,0.386267349042663,0.316794121548821,0.389404709984171,0.830033478726097,0.436167170303941,0.342059767056161,0.563720026712615,0.455881009955472,0.381894788158858,0.35606858841713,0.307951835054715,0.25664336401754,0.338088291021317,0.419172366678203,0.411817532449698
"t__taxa_16",0.42181257059279,0.278803851369416,0.36025611698677,0.412638043092237,0.464687269954193,0.462525459816571,0.432913955831931,0.661213307417988,0.48506706423959,0.563450988179414,0.490466002067058,0.470359711338885,0.447822465129127,0.442817976996764,0.585094439054481,0.465328614804481
"t__taxa_17",0.78595956352469,0.540794714725164,0.582780250557466,0.699596394614309,0.936313577813202,0.727601252439915,0.535479425384088,0.891220028588205,0.823259848975293,0.755621456813238,0.704061038909278,0.684837515278551,0.757027814396416,0.783131018751846,1,0.747178926718111
"t__taxa_18",0.51280128753003,0.510292425741747,0.468614208021381,0.638156948795359,0.962765346404107,0.664627127540657,0.345032905849278,0.908663250567342,0.608351731992078,0.70890598977408,0.529553929824114,0.349331988725366,0.562008754693272,0.473285362231433,0.497833017884208,0.58268161837163
"t__taxa_19",0.425485117607176,0.114758269303477,0.301646587365682,0.222801294717478,0.375202015439835,0.361917771713313,0.237494299292196,0.437121720658317,0.179515322977104,0.417862638710193,0.353584938466655,0.289353679792482,0.342723942246066,0.23247117192093,0.382738871304245,0.31164517610101
"t__taxa_2",0.260722784099567,0.20144449210184,0.194633075154914,0.255254435750832,0.348484957498355,0.209182433524356,0.276156043671976,0.38129392838803,0.34116857483871,0.335191715108766,0.201436911984288,0.16489375718428,0.278738491294345,0.283734578480283,0.233107562796838,0.264362916125159
"t__taxa_20",0.405212780955624,0.138795983135396,0.359109925137143,0.331115571853153,0.414780806819375,0.387918483739287,0.245739407980227,0.4535452375589,0.508341514052367,0.429028684433336,0.341063210588812,0.283174892398068,0.420931396672583,0.348071168244315,0.286583609901351,0.356894178231329
"t__taxa_21",0.257198245311326,0.148993940550665,0.179674372171316,0.29304781894009,0.375243697197002,0.247346805955914,0.160123259078458,0.250070794297458,0.231324765545475,0.375391082812811,0.243051131143493,0.17960189247975,0.205412021359309,0.240006396956103,0.502661994266946,0.259276547871074
