"Feature","Importance_Model_1","Importance_Model_2","Importance_Model_3","Importance_Model_4","Importance_Model_5","Importance_Model_6","Importance_Model_7","Importance_Model_8","Importance_Model_9","Importance_Model_10","Importance_Model_11","Importance_Model_12","Importance_Model_13","Importance_Model_14","Importance_Model_15","Mean_Importance"
"m__metabolite_1",0.274187108382228,0.501904747298471,0.192808279900558,0.193351206727504,0.209544237639928,0.509399096115715,0.704253462291883,0.166861372936375,0.276671104709659,0.578741083514797,0.440304341517395,0.545440807593124,0.560488196140968,0.161595222128735,0.161801411867119,0.365156778584297
"m__metabolite_10",0.204043713915726,0.394272422344793,0.165329159398762,0.197308495708118,0.387038294101602,0.569662551868396,0.550655842813542,0.187920701129069,0.104201467477275,0.640474352767479,0.677721224803127,0.599375770223995,0.446584311824774,0.15019743224859,0.157632841633789,0.362161238817269
"m__metabolite_100",0.21180686932885,0.608755536845469,0.260549400330224,0.219540779748714,0.225463918758949,0.559669678751029,0.535298930588537,0.234624557141088,0.161032875850712,0.604587769649438,0.54307893913535,0.521897541523654,0.606589849603216,0.259536906633276,0.230360240022214,0.385519586260715
"m__metabolite_11",0.429780852542695,0.638320916319987,0.18795886108421,0.483242403358752,0.177955208541602,0.46604365799916,0.533513568942055,0.477043252494905,0.28590624215736,0.551066855038258,0.700249368107517,0.510224037292613,0.393847454795265,0.345121756400337,0.355010475769553,0.435685660722951
"m__metabolite_12",0.254757782887974,0.624992375740123,0.267675047029212,0.293911162163702,0.168469064911416,0.481005689221683,0.6961150145742,0.3171626884772,0.308999832305559,0.407780057663062,0.497469131486972,0.406642279042737,0.367309096039777,0.294074990086833,0.28306903282591,0.377962216297091
"m__metabolite_13",0.225201706509003,0.51576971146737,0.162873607763881,0.279109294361517,0.26425907602744,0.485976741009474,0.51135772802067,0.270536421069027,0.185796747242929,0.537878347653872,0.406573049348575,0.66013101038292,0.533790625998334,0.234242635102288,0.199415516057237,0.364860814534303
"m__metabolite_14",0.251870326616511,0.435265365820468,0.252145891652141,0.232957954403826,0.153009591960694,0.513383468080006,0.553968867643044,0.252943385944514,0.243811555916211,0.434979358472657,0.589153917975581,0.546327069210815,0.362121922645824,0.149399383018118,0.308608759179907,0.351996454569354
"m__metabolite_15",0.399126750123625,0.427947624830138,0.152069335005409,0.276072599452028,0.217122051587415,0.45910247950399,0.536657757622594,0.283827801877187,0.207684251666527,0.656790013904855,0.392534991922747,0.743526652706006,0.539161593360807,0.18565375781353,0.336274189001397,0.38757012335855
"m__metabolite_16",0.297385734639609,0.497511033680631,0.129555270213948,0.185169380678465,0.218090015250863,0.62196908184178,0.681370250564207,0.24279951281547,0.322125795153751,0.39805420036927,0.60157346247636,0.607053124593401,0.37784108346679,0.188521733339209,0.397180322806607,0.384413333459357
"m__metabolite_17",0.722497517868241,0.757768516167255,0.516282622699242,0.341961273362127,0.373631102634228,1,0.950537524334559,0.866804377420946,0.555836789747782,0.580140309352238,0.730169125992717,0.612221781115416,0.56605805453793,0.271531609711194,0.641744882988675,0.632479032528837
"m__metabolite_18",0.327105625723777,0.742464257078335,0.309673055027667,0.545339530028307,0.420895946050554,0.830288773623606,0.629196661579424,0.480583614074473,0.286085424128779,0.471221977678701,0.845142015882758,0.828925092617267,0.684619094479002,0.635979985555494,0.31663117571709,0.556943481949682
"m__metabolite_19",0.379275284291026,0.654104029135279,0.282887694049989,0.250596117377046,0.127933297210922,0.568466509830215,0.48951058048425,0.228932201125333,0.198202492977758,0.590861743813228,0.664667444405404,0.64465160585387,0.487899264274314,0.296918423056617,0.231718087569035,0.406441651696952
"m__metabolite_2",0.234634079226374,0.423087682180949,0.156510060361988,0.167851327486467,0.205893155549153,0.731256602978438,0.828518018340572,0.201763518999099,0.178085064391969,0.761554689737209,0.604548915927923,0.815157090694617,0.437966907295025,0.249011304412526,0.263442739712795,0.41728541048634
"m__metabolite_20",0.290995648493679,0.629665441516159,0.335047258974993,0.418969118796675,0.245968580369802,0.760976290517208,0.728636669246561,0.174237765731487,0.45624204854492,0.712259820722696,0.45856538958064,0.493121850982914,0.695531816969093,0.232911223643112,0.252329699444143,0.459030574902272
"m__metabolite_21",0.266789458435003,0.469968862184369,0.205931455789614,0.216492524583631,0.183243085570966,0.396590165054422,0.674300427606602,0.194872839384545,0.188654496691607,0.362556062412904,0.540916072586412,0.649143494210037,0.41065658229278,0.188647937809879,0.5101799882798,0.363929563526171
"m__metabolite_22",0.23930002376589,0.557092017882522,0.0992697313290029,0.196324673668194,0.156248358262908,0.572847152775516,0.781663651560411,0.184777834108176,0.219269550195956,0.46181419222995,0.722616280188087,0.741945611805717,0.575232105133408,0.19120691347397,0.194665793352132,0.392951592648789
"m__metabolite_23",0.35927956059877,0.551174945148264,0.168399416760244,0.216816109973787,0.155364859465551,0.545849119702797,0.662886026656516,0.13352177977439,0.178593553256669,0.584060089597888,0.672666659669104,0.437317288698972,0.575325931713678,0.29920286783168,0.168936098934187,0.3806262871855
